Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1996-10-03,6.0,6.0,5.25,5.25,716500.0,0.0,1.0,30.0,30.0,26.25,26.25,143300.0
1996-10-04,5.63,5.63,5.0,5.0,108000.0,0.0,1.0,28.15,28.15,25.0,25.0,21600.0
1996-10-07,5.63,5.63,5.0,5.0,81500.0,0.0,1.0,28.15,28.15,25.0,25.0,16300.0
1996-10-08,5.63,5.63,5.0,5.0,46000.0,0.0,1.0,28.15,28.15,25.0,25.0,9200.0
1996-10-09,5.5,5.5,5.0,5.0,7500.0,0.0,1.0,27.5,27.5,25.0,25.0,1500.0
1996-10-10,5.0,5.0,5.0,5.0,500.0,0.0,1.0,25.0,25.0,25.0,25.0,100.0
1996-10-11,5.0,5.5,5.0,5.19,5500.0,0.0,1.0,25.0,27.5,25.0,25.950000000000003,1100.0
1996-10-14,5.19,5.5,5.0,5.0,8000.0,0.0,1.0,25.950000000000003,27.5,25.0,25.0,1600.0
1996-10-15,5.06,5.06,5.0,5.0,8000.0,0.0,1.0,25.299999999999997,25.299999999999997,25.0,25.0,1600.0
1996-10-16,5.13,5.5,5.0,5.0,22000.0,0.0,1.0,25.65,27.5,25.0,25.0,4400.0
1996-10-17,5.25,5.38,5.0,5.0,6500.0,0.0,1.0,26.25,26.9,25.0,25.0,1300.0
1996-10-18,5.0,5.38,5.0,5.38,2500.0,0.0,1.0,25.0,26.9,25.0,26.9,500.0
1996-10-21,5.13,5.13,5.0,5.0,14000.0,0.0,1.0,25.65,25.65,25.0,25.0,2800.0
1996-10-22,5.0,5.38,5.0,5.0,12000.0,0.0,1.0,25.0,26.9,25.0,25.0,2400.0
1996-10-23,5.0,5.0,4.75,4.75,9000.0,0.0,1.0,25.0,25.0,23.75,23.75,1800.0
1996-10-24,5.25,5.25,4.75,4.75,19500.0,0.0,1.0,26.25,26.25,23.75,23.75,3900.0
1996-10-25,4.75,5.0,4.75,4.75,7500.0,0.0,1.0,23.75,25.0,23.75,23.75,1500.0
1996-10-28,4.75,5.25,4.75,5.25,5500.0,0.0,1.0,23.75,26.25,23.75,26.25,1100.0
1996-10-29,5.25,5.25,4.75,4.75,6000.0,0.0,1.0,26.25,26.25,23.75,23.75,1200.0
1996-10-30,4.75,4.75,4.75,4.75,5500.0,0.0,1.0,23.75,23.75,23.75,23.75,1100.0
1996-10-31,4.75,4.75,4.25,4.75,27500.0,0.0,1.0,23.75,23.75,21.25,23.75,5500.0
1996-11-01,4.25,4.25,4.25,4.25,11000.0,0.0,1.0,21.25,21.25,21.25,21.25,2200.0
1996-11-04,4.25,4.25,4.25,4.25,0.0,0.0,1.0,21.25,21.25,21.25,21.25,0.0
1996-11-05,4.25,4.75,4.25,4.5,9000.0,0.0,1.0,21.25,23.75,21.25,22.5,1800.0
1996-11-06,4.25,4.81,4.25,4.63,28000.0,0.0,1.0,21.25,24.049999999999997,21.25,23.15,5600.0
1996-11-07,5.25,5.25,4.75,5.25,38500.0,0.0,1.0,26.25,26.25,23.75,26.25,7700.0
1996-11-08,5.25,5.25,4.75,5.13,64500.0,0.0,1.0,26.25,26.25,23.75,25.65,12900.0
1996-11-11,4.88,5.25,4.88,5.0,32000.0,0.0,1.0,24.4,26.25,24.4,25.0,6400.0
1996-11-12,5.25,6.0,4.88,5.75,144500.0,0.0,1.0,26.25,30.0,24.4,28.75,28900.0
1996-11-13,5.63,5.75,5.25,5.63,20000.0,0.0,1.0,28.15,28.75,26.25,28.15,4000.0
1996-11-14,5.75,5.75,4.88,5.38,9500.0,0.0,1.0,28.75,28.75,24.4,26.9,1900.0
1996-11-15,5.38,5.38,5.13,5.25,13000.0,0.0,1.0,26.9,26.9,25.65,26.25,2600.0
1996-11-18,5.38,5.38,5.0,5.0,1500.0,0.0,1.0,26.9,26.9,25.0,25.0,300.0
1996-11-19,5.38,5.38,5.25,5.25,0.0,0.0,1.0,26.9,26.9,26.25,26.25,0.0
1996-11-20,5.25,5.25,4.88,4.88,2500.0,0.0,1.0,26.25,26.25,24.4,24.4,500.0
1996-11-21,4.88,4.88,4.88,4.88,0.0,0.0,1.0,24.4,24.4,24.4,24.4,0.0
1996-11-22,4.94,5.13,4.75,5.13,15500.0,0.0,1.0,24.700000000000003,25.65,23.75,25.65,3100.0
1996-11-25,5.13,5.13,4.75,5.13,5000.0,0.0,1.0,25.65,25.65,23.75,25.65,1000.0
1996-11-26,5.0,5.5,4.75,5.38,19000.0,0.0,1.0,25.0,27.5,23.75,26.9,3800.0
1996-11-27,5.13,5.25,5.0,5.13,14000.0,0.0,1.0,25.65,26.25,25.0,25.65,2800.0
1996-11-29,5.13,5.13,5.13,5.13,0.0,0.0,1.0,25.65,25.65,25.65,25.65,0.0
1996-12-02,5.25,5.25,4.63,5.25,2500.0,0.0,1.0,26.25,26.25,23.15,26.25,500.0
1996-12-03,4.75,5.25,4.75,4.88,4000.0,0.0,1.0,23.75,26.25,23.75,24.4,800.0
1996-12-04,5.0,5.0,4.75,4.75,3000.0,0.0,1.0,25.0,25.0,23.75,23.75,600.0
1996-12-05,4.75,4.75,4.75,4.75,1500.0,0.0,1.0,23.75,23.75,23.75,23.75,300.0
1996-12-06,4.25,4.5,4.25,4.5,0.0,0.0,1.0,21.25,22.5,21.25,22.5,0.0
1996-12-09,5.0,5.0,4.63,4.63,500.0,0.0,1.0,25.0,25.0,23.15,23.15,100.0
1996-12-10,4.38,4.75,3.75,4.5,48000.0,0.0,1.0,21.9,23.75,18.75,22.5,9600.0
1996-12-11,4.5,4.5,4.5,4.5,0.0,0.0,1.0,22.5,22.5,22.5,22.5,0.0
