Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1991-11-15,7.5,7.5,7.5,7.5,105700.0,0.0,1.0,3.75,3.75,3.75,3.75,211400.0
1991-11-18,7.5,7.5,7.5,7.5,68200.0,0.0,1.0,3.75,3.75,3.75,3.75,136400.0
1991-11-19,7.5,7.5,7.5,7.5,87600.0,0.0,1.0,3.75,3.75,3.75,3.75,175200.0
1991-11-20,7.75,7.75,7.75,7.75,63600.0,0.0,1.0,3.875,3.875,3.875,3.875,127200.0
1991-11-21,8.0,8.0,8.0,8.0,25100.0,0.0,1.0,4.0,4.0,4.0,4.0,50200.0
1991-11-22,8.0,8.0,8.0,8.0,46200.0,0.0,1.0,4.0,4.0,4.0,4.0,92400.0
1991-11-25,8.0,8.0,8.0,8.0,44500.0,0.0,1.0,4.0,4.0,4.0,4.0,89000.0
1991-11-26,8.0,8.0,8.0,8.0,14400.0,0.0,1.0,4.0,4.0,4.0,4.0,28800.0
1991-11-27,8.0,8.0,8.0,8.0,42100.0,0.0,1.0,4.0,4.0,4.0,4.0,84200.0
1991-11-29,8.0,8.0,8.0,8.0,9000.0,0.0,1.0,4.0,4.0,4.0,4.0,18000.0
1991-12-02,8.0,8.0,8.0,8.0,6000.0,0.0,1.0,4.0,4.0,4.0,4.0,12000.0
1991-12-03,8.0,8.0,8.0,8.0,66200.0,0.0,1.0,4.0,4.0,4.0,4.0,132400.0
1991-12-04,8.25,8.25,8.25,8.25,33000.0,0.0,1.0,4.125,4.125,4.125,4.125,66000.0
1991-12-05,8.25,8.25,8.25,8.25,24100.0,0.0,1.0,4.125,4.125,4.125,4.125,48200.0
1991-12-06,8.25,8.25,8.25,8.25,26000.0,0.0,1.0,4.125,4.125,4.125,4.125,52000.0
1991-12-09,8.25,8.25,8.25,8.25,2800.0,0.0,1.0,4.125,4.125,4.125,4.125,5600.0
1991-12-10,8.5,8.5,8.5,8.5,19500.0,0.0,1.0,4.25,4.25,4.25,4.25,39000.0
1991-12-11,8.5,8.5,8.5,8.5,53700.0,0.0,1.0,4.25,4.25,4.25,4.25,107400.0
1991-12-12,8.5,8.5,8.5,8.5,24800.0,0.0,1.0,4.25,4.25,4.25,4.25,49600.0
1991-12-13,8.62,8.62,8.62,8.62,28700.0,0.0,1.0,4.31,4.31,4.31,4.31,57400.0
1991-12-16,8.62,8.62,8.62,8.62,11200.0,0.0,1.0,4.31,4.31,4.31,4.31,22400.0
1991-12-17,8.75,8.75,8.75,8.75,31100.0,0.0,1.0,4.375,4.375,4.375,4.375,62200.0
1991-12-18,9.25,9.25,9.25,9.25,57000.0,0.0,1.0,4.625,4.625,4.625,4.625,114000.0
1991-12-19,10.5,10.5,10.5,10.5,126900.0,0.0,1.0,5.25,5.25,5.25,5.25,253800.0
1991-12-20,12.25,12.25,12.25,12.25,111900.0,0.0,1.0,6.125,6.125,6.125,6.125,223800.0
1991-12-23,12.5,12.5,12.5,12.5,35900.0,0.0,1.0,6.25,6.25,6.25,6.25,71800.0
1991-12-24,15.0,15.0,15.0,15.0,67600.0,0.0,1.0,7.5,7.5,7.5,7.5,135200.0
1991-12-26,19.25,19.25,19.25,19.25,147300.0,0.0,1.0,9.625,9.625,9.625,9.625,294600.0
1991-12-27,14.5,14.5,14.5,14.5,147100.0,0.0,1.0,7.25,7.25,7.25,7.25,294200.0
1991-12-30,14.0,14.0,14.0,14.0,48800.0,0.0,1.0,7.0,7.0,7.0,7.0,97600.0
1991-12-31,14.0,14.0,14.0,14.0,13900.0,0.0,1.0,7.0,7.0,7.0,7.0,27800.0
1992-01-02,14.25,14.25,14.25,14.25,14400.0,0.0,1.0,7.125,7.125,7.125,7.125,28800.0
1992-01-03,15.0,15.0,15.0,15.0,38900.0,0.0,1.0,7.5,7.5,7.5,7.5,77800.0
1992-01-06,15.0,15.0,15.0,15.0,40200.0,0.0,1.0,7.5,7.5,7.5,7.5,80400.0
1992-01-07,14.75,14.75,14.75,14.75,30900.0,0.0,1.0,7.375,7.375,7.375,7.375,61800.0
1992-01-08,14.75,14.75,14.75,14.75,9100.0,0.0,1.0,7.375,7.375,7.375,7.375,18200.0
1992-01-09,14.75,14.75,14.75,14.75,19800.0,0.0,1.0,7.375,7.375,7.375,7.375,39600.0
1992-01-10,14.75,14.75,14.75,14.75,10400.0,0.0,1.0,7.375,7.375,7.375,7.375,20800.0
1992-01-13,14.75,14.75,14.75,14.75,9200.0,0.0,1.0,7.375,7.375,7.375,7.375,18400.0
1992-01-14,14.75,14.75,14.75,14.75,12000.0,0.0,1.0,7.375,7.375,7.375,7.375,24000.0
1992-01-15,14.75,14.75,14.75,14.75,23600.0,0.0,1.0,7.375,7.375,7.375,7.375,47200.0
1992-01-16,15.38,15.38,15.38,15.38,48900.0,0.0,1.0,7.69,7.69,7.69,7.69,97800.0
1992-01-17,15.75,15.75,15.75,15.75,22800.0,0.0,1.0,7.875,7.875,7.875,7.875,45600.0
1992-01-20,15.75,15.75,15.75,15.75,3400.0,0.0,1.0,7.875,7.875,7.875,7.875,6800.0
1992-01-21,17.25,17.25,17.25,17.25,38800.0,0.0,1.0,8.625,8.625,8.625,8.625,77600.0
1992-01-22,18.25,18.25,18.25,18.25,40900.0,0.0,1.0,9.125,9.125,9.125,9.125,81800.0
1992-01-23,18.25,18.25,18.25,18.25,22200.0,0.0,1.0,9.125,9.125,9.125,9.125,44400.0
1992-01-24,18.25,18.25,18.25,18.25,23300.0,0.0,1.0,9.125,9.125,9.125,9.125,46600.0
1992-01-27,18.25,18.25,18.25,18.25,41100.0,0.0,1.0,9.125,9.125,9.125,9.125,82200.0
1992-01-28,17.25,17.25,17.25,17.25,21400.0,0.0,1.0,8.625,8.625,8.625,8.625,42800.0
1992-01-29,17.5,17.5,17.5,17.5,42200.0,0.0,1.0,8.75,8.75,8.75,8.75,84400.0
1992-01-30,18.5,18.5,18.5,18.5,25400.0,0.0,1.0,9.25,9.25,9.25,9.25,50800.0
1992-01-31,18.5,18.5,18.5,18.5,4300.0,0.0,1.0,9.25,9.25,9.25,9.25,8600.0
1992-02-03,18.5,18.5,18.5,18.5,7600.0,0.0,1.0,9.25,9.25,9.25,9.25,15200.0
1992-02-04,18.5,18.5,18.5,18.5,19600.0,0.0,1.0,9.25,9.25,9.25,9.25,39200.0
1992-02-05,19.25,19.25,19.25,19.25,34500.0,0.0,1.0,9.625,9.625,9.625,9.625,69000.0
1992-02-06,20.5,20.5,20.5,20.5,33800.0,0.0,1.0,10.25,10.25,10.25,10.25,67600.0
