Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1992-06-05,14.0,16.75,14.0,16.75,762500.0,0.0,1.0,2.333333333333333,2.7916666666666665,2.333333333333333,2.7916666666666665,4575000.0
1992-06-08,16.5,17.25,16.25,16.25,300400.0,0.0,1.0,2.75,2.875,2.708333333333333,2.708333333333333,1802400.0
1992-06-09,16.0,16.75,15.75,16.12,226700.0,0.0,1.0,2.6666666666666665,2.7916666666666665,2.625,2.6866666666666665,1360200.0
1992-06-10,15.75,16.25,15.75,15.75,33900.0,0.0,1.0,2.625,2.708333333333333,2.625,2.625,203400.0
1992-06-11,16.25,17.0,16.0,16.25,125300.0,0.0,1.0,2.708333333333333,2.833333333333333,2.6666666666666665,2.708333333333333,751800.0
1992-06-12,17.0,17.0,16.25,17.0,96500.0,0.0,1.0,2.833333333333333,2.833333333333333,2.708333333333333,2.833333333333333,579000.0
1992-06-15,16.5,17.0,16.5,16.5,39800.0,0.0,1.0,2.75,2.833333333333333,2.75,2.75,238800.0
1992-06-16,16.88,17.0,16.5,16.75,135900.0,0.0,1.0,2.813333333333333,2.833333333333333,2.75,2.7916666666666665,815400.0
1992-06-17,16.5,17.0,15.75,15.75,206800.0,0.0,1.0,2.75,2.833333333333333,2.625,2.625,1240800.0
1992-06-18,15.75,16.5,15.75,16.0,111000.0,0.0,1.0,2.625,2.75,2.625,2.6666666666666665,666000.0
1992-06-19,15.75,16.0,15.75,16.0,5100.0,0.0,1.0,2.625,2.6666666666666665,2.625,2.6666666666666665,30600.0
1992-06-22,15.75,16.0,15.75,16.0,42000.0,0.0,1.0,2.625,2.6666666666666665,2.625,2.6666666666666665,252000.0
1992-06-23,16.25,16.25,15.75,15.75,20600.0,0.0,1.0,2.708333333333333,2.708333333333333,2.625,2.625,123600.0
1992-06-24,16.0,16.75,16.0,16.0,2100.0,0.0,1.0,2.6666666666666665,2.7916666666666665,2.6666666666666665,2.6666666666666665,12600.0
1992-06-25,16.75,17.25,16.0,17.0,95600.0,0.0,1.0,2.7916666666666665,2.875,2.6666666666666665,2.833333333333333,573600.0
