Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1995-10-25,4.688,4.688,4.688,4.688,400.0,0.0,1.0,1.4335804822611131,1.4335804822611131,1.4335804822611131,1.4335804822611131,800.0
1995-10-26,4.75,4.75,4.75,4.75,500.0,0.0,1.0,1.4529396868931324,1.4529396868931324,1.4529396868931324,1.4529396868931324,1000.0
1995-10-27,4.625,4.625,4.625,4.625,500.0,0.1,1.0,1.4263602847170407,1.4263602847170407,1.4263602847170407,1.4263602847170407,1000.0
1995-10-30,4.75,4.75,4.75,4.75,700.0,0.0,1.0,1.4623134913247025,1.4623134913247025,1.4623134913247025,1.4623134913247025,1400.0
1995-10-31,4.75,4.75,4.75,4.75,1800.0,0.0,1.0,1.4623134913247025,1.4623134913247025,1.4623134913247025,1.4623134913247025,3600.0
1995-11-01,4.75,4.75,4.75,4.75,600.0,0.0,1.0,1.4623134913247025,1.4623134913247025,1.4623134913247025,1.4623134913247025,1200.0
1995-11-02,4.625,4.625,4.625,4.625,2500.0,0.0,1.0,1.4263602847170407,1.4263602847170407,1.4263602847170407,1.4263602847170407,5000.0
1995-11-03,4.75,4.75,4.75,4.75,200.0,0.0,1.0,1.4623134913247025,1.4623134913247025,1.4623134913247025,1.4623134913247025,400.0
1995-11-06,4.75,4.75,4.75,4.75,1500.0,0.0,1.0,1.4623134913247025,1.4623134913247025,1.4623134913247025,1.4623134913247025,3000.0
1995-11-07,4.75,4.75,4.75,4.75,2800.0,0.0,1.0,1.4623134913247025,1.4623134913247025,1.4623134913247025,1.4623134913247025,5600.0
1995-11-08,4.75,4.75,4.625,4.625,1100.0,0.0,1.0,1.4649105626823662,1.4649105626823662,1.4263602847170407,1.4263602847170407,2200.0
1995-11-09,4.75,4.75,4.75,4.75,1100.0,0.0,1.0,1.4623134913247025,1.4623134913247025,1.4623134913247025,1.4623134913247025,2200.0
1995-11-10,4.75,4.75,4.75,4.75,600.0,0.0,1.0,1.4623134913247025,1.4623134913247025,1.4623134913247025,1.4623134913247025,1200.0
1995-11-13,4.75,4.75,4.75,4.75,500.0,0.0,1.0,1.4623134913247025,1.4623134913247025,1.4623134913247025,1.4623134913247025,1000.0
