Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1990-03-26,11.75,12.12,11.75,12.12,141400.0,0.0,1.0,5.875,6.06,5.875,6.06,282800.0
1990-03-27,12.0,12.12,11.62,12.12,137600.0,0.0,1.0,6.0,6.06,5.81,6.06,275200.0
1990-03-28,12.0,12.5,11.75,11.88,214600.0,0.0,1.0,6.0,6.25,5.875,5.94,429200.0
1990-03-29,11.62,11.88,11.62,11.75,94500.0,0.0,1.0,5.81,5.94,5.81,5.875,189000.0
1990-03-30,11.62,11.88,11.5,11.88,45100.0,0.0,1.0,5.81,5.94,5.75,5.94,90200.0
1990-04-02,11.5,11.75,11.25,11.25,32600.0,0.0,1.0,5.75,5.875,5.625,5.625,65200.0
1990-04-03,11.75,11.88,11.75,11.75,83800.0,0.0,1.0,5.875,5.94,5.875,5.875,167600.0
1990-04-04,11.88,12.0,11.75,11.75,74900.0,0.0,1.0,5.94,6.0,5.875,5.875,149800.0
1990-04-05,11.62,11.88,11.38,11.62,60800.0,0.0,1.0,5.81,5.94,5.69,5.81,121600.0
1990-04-06,11.62,11.62,11.25,11.25,72400.0,0.0,1.0,5.81,5.81,5.625,5.625,144800.0
1990-04-09,11.12,11.25,10.5,10.5,263400.0,0.0,1.0,5.56,5.625,5.25,5.25,526800.0
1990-04-10,10.62,10.62,10.38,10.38,119000.0,0.0,1.0,5.31,5.31,5.19,5.19,238000.0
1990-04-11,10.5,11.5,10.5,11.5,235800.0,0.0,1.0,5.25,5.75,5.25,5.75,471600.0
1990-04-12,11.88,11.88,11.5,11.62,212500.0,0.0,1.0,5.94,5.94,5.75,5.81,425000.0
1990-04-16,11.62,11.88,11.38,11.5,203500.0,0.0,1.0,5.81,5.94,5.69,5.75,407000.0
1990-04-17,11.12,11.38,11.0,11.12,181400.0,0.0,1.0,5.56,5.69,5.5,5.56,362800.0
1990-04-18,11.25,11.25,11.0,11.12,58700.0,0.0,1.0,5.625,5.625,5.5,5.56,117400.0
1990-04-19,11.12,11.12,11.0,11.12,44900.0,0.0,1.0,5.56,5.56,5.5,5.56,89800.0
1990-04-20,11.12,11.88,11.0,11.88,640700.0,0.0,1.0,5.56,5.94,5.5,5.94,1281400.0
1990-04-23,11.88,11.88,11.25,11.38,109700.0,0.0,1.0,5.94,5.94,5.625,5.69,219400.0
1990-04-24,11.5,11.62,11.25,11.5,279200.0,0.0,1.0,5.75,5.81,5.625,5.75,558400.0
1990-04-25,11.5,12.0,11.12,11.12,332800.0,0.0,1.0,5.75,6.0,5.56,5.56,665600.0
1990-04-26,11.5,11.62,11.25,11.5,231500.0,0.0,1.0,5.75,5.81,5.625,5.75,463000.0
1990-04-27,11.5,12.5,11.5,12.25,265700.0,0.0,1.0,5.75,6.25,5.75,6.125,531400.0
1990-04-30,13.12,13.25,12.5,12.88,644300.0,0.0,1.0,6.56,6.625,6.25,6.44,1288600.0
1990-05-01,13.25,13.5,13.0,13.25,325700.0,0.0,1.0,6.625,6.75,6.5,6.625,651400.0
1990-05-02,13.25,13.38,13.0,13.12,340500.0,0.0,1.0,6.625,6.69,6.5,6.56,681000.0
1990-05-03,13.38,13.5,13.12,13.25,178300.0,0.0,1.0,6.69,6.75,6.56,6.625,356600.0
1990-05-04,13.25,13.38,13.0,13.12,195400.0,0.0,1.0,6.625,6.69,6.5,6.56,390800.0
1990-05-07,13.25,13.62,13.12,13.38,863700.0,0.0,1.0,6.625,6.81,6.56,6.69,1727400.0
1990-05-08,13.5,14.0,13.38,13.75,586200.0,0.0,1.0,6.75,7.0,6.69,6.875,1172400.0
1990-05-09,13.88,14.75,13.62,14.62,592200.0,0.0,1.0,6.94,7.375,6.81,7.31,1184400.0
1990-05-10,14.75,15.25,14.75,15.12,472900.0,0.0,1.0,7.375,7.625,7.375,7.56,945800.0
1990-05-11,15.25,15.25,14.25,14.75,214600.0,0.0,1.0,7.625,7.625,7.125,7.375,429200.0
1990-05-14,14.75,15.5,14.75,15.0,406200.0,0.0,1.0,7.375,7.75,7.375,7.5,812400.0
1990-05-15,14.75,15.0,14.62,14.62,68800.0,0.0,1.0,7.375,7.5,7.31,7.31,137600.0
1990-05-16,14.5,14.75,14.25,14.62,93200.0,0.0,1.0,7.25,7.375,7.125,7.31,186400.0
1990-05-17,15.38,15.62,15.0,15.38,442100.0,0.0,1.0,7.69,7.81,7.5,7.69,884200.0
1990-05-18,15.62,16.0,15.38,15.75,366700.0,0.0,1.0,7.81,8.0,7.69,7.875,733400.0
1990-05-21,15.75,16.75,15.62,16.5,518400.0,0.0,1.0,7.875,8.375,7.81,8.25,1036800.0
1990-05-22,16.62,16.88,16.25,16.38,393500.0,0.0,1.0,8.31,8.44,8.125,8.19,787000.0
1990-05-23,16.38,17.38,16.12,17.0,593700.0,0.0,1.0,8.19,8.69,8.06,8.5,1187400.0
1990-05-24,17.0,17.62,16.88,17.62,290100.0,0.0,1.0,8.5,8.81,8.44,8.81,580200.0
1990-05-25,17.0,17.25,16.5,16.62,348300.0,0.0,1.0,8.5,8.625,8.25,8.31,696600.0
1990-05-29,16.75,16.88,16.5,16.88,69900.0,0.0,1.0,8.375,8.44,8.25,8.44,139800.0
1990-05-30,17.0,17.12,16.25,16.25,295300.0,0.0,1.0,8.5,8.56,8.125,8.125,590600.0
1990-05-31,16.12,16.5,16.0,16.12,212200.0,0.0,1.0,8.06,8.25,8.0,8.06,424400.0
1990-06-01,16.38,16.38,15.25,15.5,229500.0,0.0,1.0,8.19,8.19,7.625,7.75,459000.0
1990-06-04,15.75,15.75,15.38,15.62,62400.0,0.0,1.0,7.875,7.875,7.69,7.81,124800.0
