Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1977-01-03,38.88,39.12,38.88,39.12,39750.0,0.0,1.0,18.881101685197,18.997651695599,18.881101685197,18.997651695599,47699.999999996
1977-01-04,39.12,39.25,39.0,39.25,28333.0,0.0,1.0,18.997651695599,19.060782951234,18.939376690398,19.060782951234,33999.599999997
1977-01-05,39.25,39.25,38.88,39.0,12750.0,0.0,1.0,19.060782951234,19.060782951234,18.881101685197,18.939376690398,15299.999999999
1977-01-06,38.88,38.88,38.37,38.75,32333.0,0.0,1.0,18.881101685197,18.881101685197,18.633432913092,18.817970429562,38799.599999997
1977-01-07,38.75,38.88,38.37,38.88,17000.0,0.0,1.0,18.817970429562,18.881101685197,18.633432913092,18.881101685197,20399.999999998
1977-01-10,38.88,39.38,38.88,39.25,35583.0,0.0,1.0,18.881101685197,19.123914206869,18.881101685197,19.060782951234,42699.599999997
1977-01-11,39.25,39.5,39.25,39.38,18333.0,0.0,1.0,19.060782951234,19.18218921207,19.060782951234,19.123914206869,21999.599999998
1977-01-12,39.38,39.38,38.88,39.38,29000.0,0.0,1.0,19.123914206869,19.123914206869,18.881101685197,19.123914206869,34799.999999997
1977-01-13,39.38,39.87,39.38,39.63,28583.0,0.0,1.0,19.123914206869,19.361870478107,19.123914206869,19.245320467705,34299.599999997
1977-01-14,39.63,39.87,39.5,39.75,17167.0,0.0,1.0,19.245320467705,19.361870478107,19.18218921207,19.303595472906,20600.399999998
1977-01-17,39.25,39.25,38.63,38.88,28000.0,0.0,1.0,19.060782951234,19.060782951234,18.759695424361,18.881101685197,33599.999999997
1977-01-18,38.88,39.0,38.63,39.0,28333.0,0.0,1.0,18.881101685197,18.939376690398,18.759695424361,18.939376690398,33999.599999997
1977-01-19,39.0,39.12,38.75,39.12,16333.0,0.0,1.0,18.939376690398,18.997651695599,18.817970429562,18.997651695599,19599.599999999
1977-01-20,39.12,39.38,38.37,38.88,66000.0,0.0,1.0,18.997651695599,19.123914206869,18.633432913092,18.881101685197,79199.999999994
1977-01-21,38.88,39.0,38.5,38.88,16000.0,0.0,1.0,18.881101685197,18.939376690398,18.696564168726,18.881101685197,19199.999999999
1977-01-24,38.88,39.0,38.63,39.0,20000.0,0.0,1.0,18.881101685197,18.939376690398,18.759695424361,18.939376690398,23999.999999998
1977-01-25,39.0,39.38,39.0,39.25,20750.0,0.0,1.0,18.939376690398,19.123914206869,18.939376690398,19.060782951234,24899.999999998
1977-01-26,39.12,39.12,38.75,38.88,19000.0,0.0,1.0,18.997651695599,18.997651695599,18.817970429562,18.881101685197,22799.999999998
1977-01-27,38.88,39.0,38.5,39.0,22000.0,0.0,1.0,18.881101685197,18.939376690398,18.696564168726,18.939376690398,26399.999999998
1977-01-28,38.88,39.0,38.5,39.0,22000.0,0.0,1.0,18.881101685197,18.939376690398,18.696564168726,18.939376690398,26399.999999998
1977-01-31,38.88,38.88,38.5,38.63,15000.0,0.0,1.0,18.881101685197,18.881101685197,18.696564168726,18.759695424361,17999.999999999
1977-02-01,38.63,38.88,38.63,38.88,16750.0,0.0,1.0,18.759695424361,18.881101685197,18.759695424361,18.881101685197,20099.999999998
1977-02-02,38.88,39.0,38.63,38.63,59750.0,0.0,1.0,18.881101685197,18.939376690398,18.759695424361,18.759695424361,71699.999999995
1977-02-03,38.63,39.0,38.25,38.63,155167.0,0.0,1.0,18.759695424361,18.939376690398,18.575157907891,18.759695424361,186200.39999999
1977-02-04,38.63,39.0,38.5,38.75,29583.0,0.0,1.0,18.759695424361,18.939376690398,18.696564168726,18.817970429562,35499.599999997
1977-02-07,38.75,39.0,38.63,38.88,17167.0,0.0,1.0,18.817970429562,18.939376690398,18.759695424361,18.881101685197,20600.399999998
1977-02-08,38.88,39.12,38.75,39.0,19583.0,0.0,1.0,18.881101685197,18.997651695599,18.817970429562,18.939376690398,23499.599999998
1977-02-09,39.0,39.0,38.63,38.75,14333.0,0.0,1.0,18.939376690398,18.939376690398,18.759695424361,18.817970429562,17199.599999999
1977-02-10,38.75,39.25,38.75,39.25,13583.0,0.0,1.0,18.817970429562,19.060782951234,18.817970429562,19.060782951234,16299.599999999
1977-02-11,39.25,39.25,38.88,39.12,20583.0,0.0,1.0,19.060782951234,19.060782951234,18.881101685197,18.997651695599,24699.599999998
1977-02-14,39.12,39.12,38.88,39.0,14333.0,0.0,1.0,18.997651695599,18.997651695599,18.881101685197,18.939376690398,17199.599999999
1977-02-15,39.0,39.0,38.75,39.0,14000.0,0.0,1.0,18.939376690398,18.939376690398,18.817970429562,18.939376690398,16799.999999999
1977-02-16,39.0,39.12,38.75,39.0,21000.0,0.0,1.0,18.939376690398,18.997651695599,18.817970429562,18.939376690398,25199.999999998
1977-02-17,39.0,39.12,38.88,38.88,18583.0,0.0,1.0,18.939376690398,18.997651695599,18.881101685197,18.881101685197,22299.599999998
1977-02-18,38.88,39.25,38.75,39.25,21750.0,0.0,1.0,18.881101685197,19.060782951234,18.817970429562,19.060782951234,26099.999999998
1977-02-22,39.25,39.25,39.0,39.25,14583.0,0.0,1.0,19.060782951234,19.060782951234,18.939376690398,19.060782951234,17499.599999999
1977-02-23,39.25,39.38,39.12,39.38,36750.0,0.0,1.0,19.060782951234,19.123914206869,18.997651695599,19.123914206869,44099.999999997
1977-02-24,39.38,39.38,39.12,39.38,67000.0,0.0,1.0,19.123914206869,19.123914206869,18.997651695599,19.123914206869,80399.999999994
1977-02-25,39.25,39.25,39.0,39.0,15000.0,0.0,1.0,19.060782951234,19.060782951234,18.939376690398,18.939376690398,17999.999999999
1977-02-28,39.0,39.25,38.5,38.88,29167.0,0.0,1.0,18.939376690398,19.060782951234,18.696564168726,18.881101685197,35000.399999997
1977-03-01,38.88,39.25,38.63,39.0,39167.0,0.0,1.0,18.881101685197,19.060782951234,18.759695424361,18.939376690398,47000.399999996
1977-03-02,39.0,39.38,39.0,39.38,30167.0,0.0,1.0,18.939376690398,19.123914206869,18.939376690398,19.123914206869,36200.399999997
1977-03-03,39.38,39.38,39.12,39.38,56750.0,0.0,1.0,19.123914206869,19.123914206869,18.997651695599,19.123914206869,68099.999999995
1977-03-04,39.38,39.63,39.25,39.63,36167.0,0.0,1.0,19.123914206869,19.245320467705,19.060782951234,19.245320467705,43400.399999997
1977-03-07,39.63,39.75,39.38,39.63,17583.0,0.0,1.0,19.245320467705,19.303595472906,19.123914206869,19.245320467705,21099.599999998
1977-03-08,39.63,39.87,39.38,39.38,36167.0,0.0,1.0,19.245320467705,19.361870478107,19.123914206869,19.123914206869,43400.399999997
1977-03-09,39.38,39.38,39.12,39.25,18000.0,0.0,1.0,19.123914206869,19.123914206869,18.997651695599,19.060782951234,21599.999999998
1977-03-10,39.25,39.38,38.88,39.12,21167.0,0.0,1.0,19.060782951234,19.123914206869,18.881101685197,18.997651695599,25400.399999998
1977-03-11,39.12,39.38,39.12,39.25,20583.0,0.0,1.0,18.997651695599,19.123914206869,18.997651695599,19.060782951234,24699.599999998
1977-03-14,39.25,39.5,39.12,39.5,24000.0,0.0,1.0,19.060782951234,19.18218921207,18.997651695599,19.18218921207,28799.999999998
1977-03-15,39.63,40.0,39.63,39.75,86000.0,0.0,1.0,19.245320467705,19.425001733742,19.245320467705,19.303595472906,103199.99999999
1977-03-16,39.75,40.25,39.75,40.0,71333.0,0.0,1.0,19.303595472906,19.546407994578,19.303595472906,19.425001733742,85599.599999994
1977-03-17,40.0,40.13,39.63,39.87,34000.0,0.0,1.0,19.425001733742,19.488132989376,19.245320467705,19.361870478107,40799.999999997
1977-03-18,39.87,40.0,39.75,39.75,18750.0,0.0,1.0,19.361870478107,19.425001733742,19.303595472906,19.303595472906,22499.999999998
1977-03-21,39.75,40.13,39.75,39.87,26333.0,0.0,1.0,19.303595472906,19.488132989376,19.303595472906,19.361870478107,31599.599999998
1977-03-22,39.87,39.87,39.5,39.63,27583.0,0.0,1.0,19.361870478107,19.361870478107,19.18218921207,19.245320467705,33099.599999998
1977-03-23,39.63,39.87,39.63,39.75,24333.0,0.0,1.0,19.245320467705,19.361870478107,19.245320467705,19.303595472906,29199.599999998
1977-03-24,39.75,39.75,39.63,39.75,25750.0,0.0,1.0,19.303595472906,19.303595472906,19.245320467705,19.303595472906,30899.999999998
1977-03-25,39.75,39.75,39.12,39.38,17000.0,0.0,1.0,19.303595472906,19.303595472906,18.997651695599,19.123914206869,20399.999999998
