Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1997-01-13,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3525.2770220445086,3525.2770220445086,3525.2770220445086,3525.2770220445086,0.0
1997-01-14,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3525.2770220445086,3525.2770220445086,3525.2770220445086,3525.2770220445086,0.0
1997-01-15,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3525.2770220445086,3525.2770220445086,3525.2770220445086,3525.2770220445086,0.0
1997-01-16,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3525.2770220445086,3525.2770220445086,3525.2770220445086,3525.2770220445086,0.0
1997-01-17,1.06,1.06,1.06,1.06,0.0,0.0,1.0,3736.7936433671794,3736.7936433671794,3736.7936433671794,3736.7936433671794,0.0
1997-01-20,1.5,1.5,1.5,1.5,0.0,0.0,1.0,5287.915533066763,5287.915533066763,5287.915533066763,5287.915533066763,0.0
1997-01-21,1.25,1.25,1.25,1.25,0.0,0.0,1.0,4406.596277555635,4406.596277555635,4406.596277555635,4406.596277555635,0.0
1997-01-22,1.25,1.25,1.25,1.25,0.0,0.0,1.0,4406.596277555635,4406.596277555635,4406.596277555635,4406.596277555635,0.0
1997-01-23,1.25,1.25,1.25,1.25,0.0,0.0,1.0,4406.596277555635,4406.596277555635,4406.596277555635,4406.596277555635,0.0
1997-01-24,1.25,1.25,1.25,1.25,0.0,0.0,1.0,4406.596277555635,4406.596277555635,4406.596277555635,4406.596277555635,0.0
1997-01-27,0.88,0.88,0.88,0.88,0.0,0.0,1.0,3102.2437793991676,3102.2437793991676,3102.2437793991676,3102.2437793991676,0.0
1997-01-28,0.88,0.88,0.75,0.88,0.0,0.0,1.0,3102.2437793991676,3102.2437793991676,2643.9577665333813,3102.2437793991676,0.0
1997-01-29,0.88,0.88,0.88,0.88,0.0,0.0,1.0,3102.2437793991676,3102.2437793991676,3102.2437793991676,3102.2437793991676,0.0
