Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1993-11-01,41.0,43.5,41.0,43.5,799.0,0.0,1.0,2.0576650695637,2.1831324518542,2.0576650695637,2.1831324518542,7802.7343749998
1993-11-02,43.5,43.5,43.5,43.5,0.0,0.0,1.0,2.1831324518542,2.1831324518542,2.1831324518542,2.1831324518542,0.0
1993-11-03,41.0,41.0,41.0,41.0,1044.0,0.0,1.0,2.0576650695637,2.0576650695637,2.0576650695637,2.0576650695637,10195.3125
1993-11-04,41.0,41.0,41.0,41.0,492.0,0.0,1.0,2.0576650695637,2.0576650695637,2.0576650695637,2.0576650695637,4804.6874999999
1993-11-05,41.5,41.5,41.5,41.5,1495.0,0.0,1.0,2.0827585460218,2.0827585460218,2.0827585460218,2.0827585460218,14599.609375
1993-11-08,41.5,41.5,41.5,41.5,0.0,0.0,1.0,2.0827585460218,2.0827585460218,2.0827585460218,2.0827585460218,0.0
1993-11-09,41.5,41.5,41.5,41.5,0.0,0.0,1.0,2.0827585460218,2.0827585460218,2.0827585460218,2.0827585460218,0.0
1993-11-10,43.5,43.5,43.5,43.5,20.0,0.0,1.0,2.1831324518542,2.1831324518542,2.1831324518542,2.1831324518542,195.3125
1993-11-11,42.0,42.0,42.0,42.0,389.0,0.0,1.0,2.1078520224799,2.1078520224799,2.1078520224799,2.1078520224799,3798.8281249999
1993-11-12,42.0,42.0,42.0,42.0,123.0,0.0,1.0,2.1078520224799,2.1078520224799,2.1078520224799,2.1078520224799,1201.171875
1993-11-15,42.0,42.0,42.0,42.0,0.0,0.0,1.0,2.1078520224799,2.1078520224799,2.1078520224799,2.1078520224799,0.0
1993-11-16,42.0,42.0,42.0,42.0,0.0,0.0,1.0,2.1078520224799,2.1078520224799,2.1078520224799,2.1078520224799,0.0
1993-11-17,42.0,42.0,42.0,42.0,0.0,0.0,1.0,2.1078520224799,2.1078520224799,2.1078520224799,2.1078520224799,0.0
1993-11-18,42.0,42.63,42.0,42.63,7188.0,0.0,1.0,2.1078520224799,2.1394698028171,2.1078520224799,2.1394698028171,70195.312499998
1993-11-19,42.63,42.63,42.63,42.63,0.0,0.0,1.0,2.1394698028171,2.1394698028171,2.1394698028171,2.1394698028171,0.0
1993-11-22,42.63,42.63,42.63,42.63,0.0,0.0,1.0,2.1394698028171,2.1394698028171,2.1394698028171,2.1394698028171,0.0
1993-11-23,42.63,42.63,42.63,42.63,0.0,0.0,1.0,2.1394698028171,2.1394698028171,2.1394698028171,2.1394698028171,0.0
1993-11-24,42.75,42.75,42.75,42.75,123.0,0.0,1.0,2.145492237167,2.145492237167,2.145492237167,2.145492237167,1201.171875
1993-11-26,42.75,42.75,42.75,42.75,0.0,0.0,1.0,2.145492237167,2.145492237167,2.145492237167,2.145492237167,0.0
1993-11-29,42.75,42.75,42.75,42.75,0.0,0.0,1.0,2.145492237167,2.145492237167,2.145492237167,2.145492237167,0.0
1993-11-30,42.75,42.75,42.75,42.75,0.0,0.0,1.0,2.145492237167,2.145492237167,2.145492237167,2.145492237167,0.0
1993-12-01,42.5,42.5,42.5,42.5,1126.0,0.0,1.0,2.132945498938,2.132945498938,2.132945498938,2.132945498938,10996.09375
1993-12-02,42.5,42.5,42.5,42.5,0.0,0.0,1.0,2.132945498938,2.132945498938,2.132945498938,2.132945498938,0.0
1993-12-03,42.5,42.5,42.5,42.5,0.0,0.0,1.0,2.132945498938,2.132945498938,2.132945498938,2.132945498938,0.0
1993-12-06,43.5,43.5,43.5,43.5,61.0,0.0,1.0,2.1831324518542,2.1831324518542,2.1831324518542,2.1831324518542,595.70312499999
1993-12-07,41.5,41.5,41.5,41.5,61.0,0.0,1.0,2.0827585460218,2.0827585460218,2.0827585460218,2.0827585460218,595.70312499999
1993-12-08,41.0,41.0,41.0,41.0,20.0,0.0,1.0,2.0576650695637,2.0576650695637,2.0576650695637,2.0576650695637,195.3125
1993-12-09,41.0,41.0,41.0,41.0,0.0,0.0,1.0,2.0576650695637,2.0576650695637,2.0576650695637,2.0576650695637,0.0
1993-12-10,41.5,41.5,41.5,41.5,3871.0,0.0,1.0,2.0827585460218,2.0827585460218,2.0827585460218,2.0827585460218,37802.734374999
1993-12-13,41.5,41.5,41.5,41.5,0.0,0.32,1.0,2.098818370955,2.098818370955,2.098818370955,2.098818370955,0.0
1993-12-14,41.5,41.5,41.5,41.5,13332.0,0.0,1.0,2.098818370955,2.098818370955,2.098818370955,2.098818370955,130195.3125
1993-12-15,41.5,41.5,41.5,41.5,0.0,0.0,1.0,2.098818370955,2.098818370955,2.098818370955,2.098818370955,0.0
1993-12-16,41.5,41.5,41.5,41.5,0.0,0.0,1.0,2.098818370955,2.098818370955,2.098818370955,2.098818370955,0.0
1993-12-17,41.5,43.5,41.5,43.5,799.0,0.0,1.0,2.098818370955,2.199966244254,2.098818370955,2.199966244254,7802.7343749998
1993-12-20,43.5,43.5,43.5,43.5,0.0,0.0,1.0,2.199966244254,2.199966244254,2.199966244254,2.199966244254,0.0
1993-12-21,43.5,43.5,43.5,43.5,0.0,0.0,1.0,2.199966244254,2.199966244254,2.199966244254,2.199966244254,0.0
1993-12-22,43.5,43.5,43.5,43.5,0.0,0.0,1.0,2.199966244254,2.199966244254,2.199966244254,2.199966244254,0.0
1993-12-23,43.5,43.5,43.5,43.5,0.0,0.0,1.0,2.199966244254,2.199966244254,2.199966244254,2.199966244254,0.0
1993-12-27,43.5,43.5,43.5,43.5,0.0,0.0,1.0,2.199966244254,2.199966244254,2.199966244254,2.199966244254,0.0
