Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1992-03-17,12.75,12.88,12.62,12.62,74200.0,0.0,1.0,6.375,6.44,6.31,6.31,296800.0
1992-03-18,12.75,13.12,12.75,13.12,121600.0,0.0,1.0,6.375,6.56,6.375,6.56,486400.0
1992-03-19,13.12,13.5,13.12,13.5,123100.0,0.0,1.0,6.56,6.75,6.56,6.75,492400.0
1992-03-20,13.5,13.88,13.38,13.88,146700.0,0.0,1.0,6.75,6.94,6.69,6.94,586800.0
1992-03-23,13.75,13.75,13.62,13.62,18300.0,0.0,1.0,6.875,6.875,6.81,6.81,73200.0
1992-03-24,13.75,13.75,13.12,13.38,55900.0,0.0,1.0,6.875,6.875,6.56,6.69,223600.0
1992-03-25,13.62,13.75,13.5,13.75,36500.0,0.0,1.0,6.81,6.875,6.75,6.875,146000.0
1992-03-26,13.88,13.88,12.5,13.12,25900.0,0.0,1.0,6.94,6.94,6.25,6.56,103600.0
1992-03-27,13.0,13.0,12.25,12.25,44800.0,0.0,1.0,6.5,6.5,6.125,6.125,179200.0
1992-03-30,12.25,12.25,11.75,11.75,30900.0,0.0,1.0,6.125,6.125,5.875,5.875,123600.0
1992-03-31,11.75,12.38,11.75,12.38,22600.0,0.0,1.0,5.875,6.19,5.875,6.19,90400.0
1992-04-01,12.12,12.5,12.0,12.5,34600.0,0.0,1.0,6.06,6.25,6.0,6.25,138400.0
1992-04-02,12.75,13.38,12.75,13.38,129700.0,0.0,1.0,6.375,6.69,6.375,6.69,518800.0
1992-04-03,13.75,13.75,12.88,12.88,47300.0,0.0,1.0,6.875,6.875,6.44,6.44,189200.0
1992-04-06,12.88,13.12,12.88,13.0,18300.0,0.0,1.0,6.44,6.56,6.44,6.5,73200.0
1992-04-07,13.12,13.12,12.25,12.25,16800.0,0.0,1.0,6.56,6.56,6.125,6.125,67200.0
1992-04-08,12.12,12.88,11.62,12.88,38500.0,0.0,1.0,6.06,6.44,5.81,6.44,154000.0
1992-04-09,12.88,13.12,12.88,13.0,52600.0,0.0,1.0,6.44,6.56,6.44,6.5,210400.0
1992-04-10,13.12,13.25,13.0,13.12,25500.0,0.0,1.0,6.56,6.625,6.5,6.56,102000.0
1992-04-13,13.12,13.12,12.62,12.62,7600.0,0.0,1.0,6.56,6.56,6.31,6.31,30400.0
1992-04-14,12.38,12.62,12.25,12.62,13500.0,0.0,1.0,6.19,6.31,6.125,6.31,54000.0
1992-04-15,12.88,13.38,12.75,13.38,55100.0,0.0,1.0,6.44,6.69,6.375,6.69,220400.0
1992-04-16,13.5,13.5,13.12,13.5,25400.0,0.0,1.0,6.75,6.75,6.56,6.75,101600.0
1992-04-20,13.38,13.38,12.75,13.0,42600.0,0.0,1.0,6.69,6.69,6.375,6.5,170400.0
1992-04-21,12.75,13.0,12.5,12.88,21300.0,0.0,1.0,6.375,6.5,6.25,6.44,85200.0
1992-04-22,13.0,13.25,12.62,12.62,11400.0,0.0,1.0,6.5,6.625,6.31,6.31,45600.0
1992-04-23,12.62,12.75,12.12,12.12,36500.0,0.0,1.0,6.31,6.375,6.06,6.06,146000.0
1992-04-24,12.0,12.0,11.75,11.88,16400.0,0.0,1.0,6.0,6.0,5.875,5.94,65600.0
1992-04-27,11.88,12.0,11.62,11.75,15400.0,0.0,1.0,5.94,6.0,5.81,5.875,61600.0
1992-04-28,11.62,11.75,11.12,11.25,25400.0,0.0,1.0,5.81,5.875,5.56,5.625,101600.0
1992-04-29,11.0,11.0,10.5,10.75,62400.0,0.0,1.0,5.5,5.5,5.25,5.375,249600.0
1992-04-30,10.88,11.12,10.88,10.88,43200.0,0.0,1.0,5.44,5.56,5.44,5.44,172800.0
1992-05-01,11.0,11.25,11.0,11.25,8700.0,0.0,1.0,5.5,5.625,5.5,5.625,34800.0
1992-05-04,11.38,11.75,11.38,11.62,19900.0,0.0,1.0,5.69,5.875,5.69,5.81,79600.0
1992-05-05,11.62,11.62,11.5,11.5,14000.0,0.0,1.0,5.81,5.81,5.75,5.75,56000.0
1992-05-06,11.5,11.62,11.5,11.62,7600.0,0.0,1.0,5.75,5.81,5.75,5.81,30400.0
1992-05-07,11.75,11.75,11.5,11.62,4700.0,0.0,1.0,5.875,5.875,5.75,5.81,18800.0
1992-05-08,11.62,11.62,11.38,11.38,5100.0,0.0,1.0,5.81,5.81,5.69,5.69,20400.0
1992-05-11,11.25,11.38,11.25,11.25,12100.0,0.0,1.0,5.625,5.69,5.625,5.625,48400.0
1992-05-12,11.25,11.5,11.12,11.5,40500.0,0.0,1.0,5.625,5.75,5.56,5.75,162000.0
1992-05-13,11.5,11.5,11.25,11.25,6300.0,0.0,1.0,5.75,5.75,5.625,5.625,25200.0
1992-05-14,11.0,11.0,10.75,10.88,13700.0,0.0,1.0,5.5,5.5,5.375,5.44,54800.0
1992-05-15,10.88,11.0,10.88,11.0,14100.0,0.0,1.0,5.44,5.5,5.44,5.5,56400.0
1992-05-18,11.0,11.12,11.0,11.12,10400.0,0.0,1.0,5.5,5.56,5.5,5.56,41600.0
1992-05-19,11.0,11.25,10.88,11.12,26700.0,0.0,1.0,5.5,5.625,5.44,5.56,106800.0
1992-05-20,11.0,11.12,10.88,10.88,12200.0,0.0,1.0,5.5,5.56,5.44,5.44,48800.0
1992-05-21,10.75,11.0,10.75,10.75,5600.0,0.0,1.0,5.375,5.5,5.375,5.375,22400.0
1992-05-22,10.62,10.75,10.62,10.75,3300.0,0.0,1.0,5.31,5.375,5.31,5.375,13200.0
