Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1999-11-05,15.0,69.0,15.0,62.0,14121000.0,0.0,1.0,150.0,690.0,150.0,620.0,1412100.0
1999-11-08,68.13,74.38,64.63,65.5,3149000.0,0.0,1.0,681.3,743.8,646.3,655.0,314900.0
1999-11-09,66.38,67.88,55.0,61.06,1525000.0,0.0,1.0,663.8,678.8,550.0,610.6,152500.0
1999-11-10,59.31,63.0,56.5,58.25,753000.0,0.0,1.0,593.1,630.0,565.0,582.5,75300.0
1999-11-11,58.25,58.88,53.0,54.0,508000.0,0.0,1.0,582.5,588.8000000000001,530.0,540.0,50800.0
1999-11-12,54.25,58.13,47.0,52.0,876000.0,0.0,1.0,542.5,581.3000000000001,470.0,520.0,87600.0
1999-11-15,53.19,56.25,50.25,52.0,384000.0,0.0,1.0,531.9,562.5,502.5,520.0,38400.0
1999-11-16,52.13,53.0,50.06,50.63,329000.0,0.0,1.0,521.3000000000001,530.0,500.6,506.3,32900.0
1999-11-17,50.5,54.5,47.25,51.13,961000.0,0.0,1.0,505.0,545.0,472.5,511.3,96100.0
1999-11-18,52.88,53.44,48.63,49.75,500000.0,0.0,1.0,528.8000000000001,534.4,486.3,497.5,50000.0
1999-11-19,50.13,50.56,47.13,47.75,384000.0,0.0,1.0,501.3,505.6,471.3,477.5,38400.0
1999-11-22,48.75,52.75,47.5,51.13,714000.0,0.0,1.0,487.5,527.5,475.0,511.3,71400.0
1999-11-23,52.06,53.25,48.0,50.63,289000.0,0.0,1.0,520.6,532.5,480.0,506.3,28900.0
1999-11-24,49.38,52.5,48.69,51.5,381000.0,0.0,1.0,493.8,525.0,486.9,515.0,38100.0
1999-11-26,52.63,61.0,52.0,58.88,1063000.0,0.0,1.0,526.3000000000001,610.0,520.0,588.8000000000001,106300.0
1999-11-29,57.88,60.0,54.81,58.31,572000.0,0.0,1.0,578.8000000000001,600.0,548.1,583.1,57200.0
1999-11-30,60.75,61.13,52.25,54.0,999000.0,0.0,1.0,607.5,611.3000000000001,522.5,540.0,99900.0
1999-12-01,55.09,55.09,51.13,52.19,300000.0,0.0,1.0,550.9000000000001,550.9000000000001,511.3,521.9,30000.0
1999-12-02,51.5,54.69,51.06,53.88,217000.0,0.0,1.0,515.0,546.9,510.6,538.8000000000001,21700.0
1999-12-03,58.88,59.47,54.06,54.63,666000.0,0.0,1.0,588.8000000000001,594.7,540.6,546.3000000000001,66600.0
1999-12-06,55.5,55.5,51.5,53.44,252000.0,0.0,1.0,555.0,555.0,515.0,534.4,25200.0
1999-12-07,53.0,53.44,49.56,52.94,298000.0,0.0,1.0,530.0,534.4,495.6,529.4,29800.0
1999-12-08,52.69,52.94,50.5,51.63,238000.0,0.0,1.0,526.9,529.4,505.0,516.3000000000001,23800.0
1999-12-09,52.75,53.5,49.5,50.63,237000.0,0.0,1.0,527.5,535.0,495.0,506.3,23700.0
1999-12-10,50.75,51.75,48.5,49.88,356000.0,0.0,1.0,507.5,517.5,485.0,498.8,35600.0
1999-12-13,49.84,50.5,48.0,48.97,159000.0,0.0,1.0,498.40000000000003,505.0,480.0,489.7,15900.0
1999-12-14,49.75,49.75,42.5,43.5,494000.0,0.0,1.0,497.5,497.5,425.0,435.0,49400.0
1999-12-15,43.31,45.63,40.0,44.34,611000.0,0.0,1.0,433.1,456.3,400.0,443.40000000000003,61100.0
1999-12-16,45.13,46.5,42.06,45.94,266000.0,0.0,1.0,451.3,465.0,420.6,459.4,26600.0
1999-12-17,47.0,49.5,45.0,49.0,283000.0,0.0,1.0,470.0,495.0,450.0,490.0,28300.0
1999-12-20,49.5,50.0,44.75,45.13,160000.0,0.0,1.0,495.0,500.0,447.5,451.3,16000.0
1999-12-21,45.16,45.19,42.0,42.13,179000.0,0.0,1.0,451.59999999999997,451.9,420.0,421.3,17900.0
1999-12-22,41.75,42.25,40.75,41.5,99000.0,0.0,1.0,417.5,422.5,407.5,415.0,9900.0
1999-12-23,41.38,43.13,41.0,41.78,126000.0,0.0,1.0,413.8,431.3,410.0,417.8,12600.0
1999-12-27,42.13,43.0,38.0,39.25,384000.0,0.0,1.0,421.3,430.0,380.0,392.5,38400.0
1999-12-28,39.56,43.38,38.06,41.25,555000.0,0.0,1.0,395.6,433.8,380.6,412.5,55500.0
