Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1984-12-17,40.75,41.5,40.0,40.62,144300.0,0.0,1.0,2.2396684288817,2.2808893202109,2.1984475375526,2.2325234743847,1154400.0
1984-12-18,41.0,42.0,40.88,41.88,172300.0,0.0,1.0,2.2534087259914,2.3083699144303,2.2468133833788,2.3017745718176,1378400.0
1984-12-19,41.62,42.75,41.62,41.88,120500.0,0.0,1.0,2.2874846628235,2.3495908057594,2.2874846628235,2.3017745718176,964000.0
1984-12-20,41.25,41.5,40.0,40.75,88300.0,0.0,1.0,2.2671490231012,2.2808893202109,2.1984475375526,2.2396684288817,706400.0
1984-12-21,41.0,41.12,39.38,39.38,114000.0,0.0,1.0,2.2534087259914,2.2600040686041,2.1643716007206,2.1643716007206,912000.0
1984-12-24,39.5,40.75,39.5,40.38,25000.0,0.0,1.0,2.1709669433332,2.2396684288817,2.1709669433332,2.2193327891594,200000.0
1984-12-26,40.5,40.5,39.75,39.88,14200.0,0.0,1.0,2.225928131772,2.225928131772,2.1847072404429,2.19185219494,113600.0
1984-12-27,39.88,40.5,39.88,40.38,100400.0,0.0,1.0,2.19185219494,2.225928131772,2.19185219494,2.2193327891594,803200.0
1984-12-28,40.62,40.62,39.88,40.25,56200.0,0.0,1.0,2.2325234743847,2.2325234743847,2.19185219494,2.2121878346623,449600.0
1984-12-31,40.12,40.12,39.62,40.0,24500.0,0.0,1.0,2.2050428801653,2.2050428801653,2.1775622859459,2.1984475375526,196000.0
1985-01-02,39.88,39.88,38.75,38.75,33500.0,0.0,1.0,2.19185219494,2.19185219494,2.1297460520041,2.1297460520041,268000.0
1985-01-03,38.62,39.75,38.5,39.25,57100.0,0.0,1.0,2.1226010975071,2.1847072404429,2.1160057548944,2.1572266462235,456800.0
1985-01-04,39.0,39.5,39.0,39.12,23300.0,0.0,1.0,2.1434863491138,2.1709669433332,2.1434863491138,2.1500816917265,186400.0
1985-01-07,39.38,39.75,39.12,39.25,41900.0,0.0,1.0,2.1643716007206,2.1847072404429,2.1500816917265,2.1572266462235,335200.0
1985-01-08,39.25,40.0,39.25,39.38,57700.0,0.0,1.0,2.1572266462235,2.1984475375526,2.1572266462235,2.1643716007206,461600.0
1985-01-09,39.25,40.38,39.25,40.0,58300.0,0.0,1.0,2.1572266462235,2.2193327891594,2.1572266462235,2.1984475375526,466400.0
1985-01-10,40.25,41.38,40.12,41.38,54000.0,0.0,1.0,2.2121878346623,2.2742939775982,2.2050428801653,2.2742939775982,432000.0
1985-01-11,42.25,42.25,41.25,42.0,106800.0,0.0,1.0,2.32211021154,2.32211021154,2.2671490231012,2.3083699144303,854400.0
1985-01-14,42.0,42.88,41.0,42.75,128000.0,0.0,1.0,2.3083699144303,2.3567357602564,2.2534087259914,2.3495908057594,1024000.0
1985-01-15,42.75,42.75,41.75,42.38,122300.0,0.0,1.0,2.3495908057594,2.3495908057594,2.2946296173206,2.329255166037,978400.0
1985-01-16,42.0,42.62,41.5,41.62,115700.0,0.0,1.0,2.3083699144303,2.3424458512623,2.2808893202109,2.2874846628235,925600.0
1985-01-17,41.62,41.88,40.88,41.0,103700.0,0.0,1.0,2.2874846628235,2.3017745718176,2.2468133833788,2.2534087259914,829600.0
1985-01-18,41.12,41.62,40.75,41.25,62400.0,0.0,1.0,2.2600040686041,2.2874846628235,2.2396684288817,2.2671490231012,499200.0
1985-01-21,41.62,42.38,41.5,42.38,154900.0,0.0,1.0,2.2874846628235,2.329255166037,2.2808893202109,2.329255166037,1239200.0
1985-01-22,42.88,42.88,41.62,42.0,126200.0,0.0,1.0,2.3567357602564,2.3567357602564,2.2874846628235,2.3083699144303,1009600.0
1985-01-23,41.75,42.0,40.75,41.25,132900.0,0.0,1.0,2.2946296173206,2.3083699144303,2.2396684288817,2.2671490231012,1063200.0
1985-01-24,41.62,41.88,41.25,41.62,224100.0,0.0,1.0,2.2874846628235,2.3017745718176,2.2671490231012,2.2874846628235,1792800.0
