Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1990-01-12,32.0,32.0,31.88,32.0,10400.0,0.0,1.0,5.333333333333333,5.333333333333333,5.313333333333333,5.333333333333333,62400.0
1990-01-15,31.75,32.0,31.75,32.0,6600.0,0.0,1.0,5.291666666666666,5.333333333333333,5.291666666666666,5.333333333333333,39600.0
1990-01-16,32.0,32.0,32.0,32.0,300.0,0.0,1.0,5.333333333333333,5.333333333333333,5.333333333333333,5.333333333333333,1800.0
1990-01-17,32.0,32.0,32.0,32.0,0.0,0.0,1.0,5.333333333333333,5.333333333333333,5.333333333333333,5.333333333333333,0.0
1990-01-18,31.88,32.0,31.88,31.88,700.0,0.0,1.0,5.313333333333333,5.333333333333333,5.313333333333333,5.313333333333333,4200.0
1990-01-19,32.0,32.13,32.0,32.13,1300.0,0.0,1.0,5.333333333333333,5.355,5.333333333333333,5.355,7800.0
1990-01-22,32.0,32.0,31.88,31.88,500.0,0.0,1.0,5.333333333333333,5.333333333333333,5.313333333333333,5.313333333333333,3000.0
1990-01-23,31.62,32.0,31.62,31.88,6600.0,0.0,1.0,5.27,5.333333333333333,5.27,5.313333333333333,39600.0
1990-01-24,31.62,31.62,31.62,31.62,11200.0,0.0,1.0,5.27,5.27,5.27,5.27,67200.0
1990-01-25,31.5,31.62,31.5,31.62,5500.0,0.0,1.0,5.25,5.27,5.25,5.27,33000.0
1990-01-26,31.5,31.5,30.75,30.75,9200.0,0.0,1.0,5.25,5.25,5.125,5.125,55200.0
1990-01-29,31.0,31.0,30.75,30.75,2000.0,0.0,1.0,5.166666666666666,5.166666666666666,5.125,5.125,12000.0
1990-01-30,30.63,30.63,30.25,30.25,15300.0,0.0,1.0,5.1049999999999995,5.1049999999999995,5.041666666666666,5.041666666666666,91800.0
1990-01-31,30.25,30.25,30.25,30.25,6600.0,0.0,1.0,5.041666666666666,5.041666666666666,5.041666666666666,5.041666666666666,39600.0
1990-02-01,30.25,30.38,30.25,30.38,200.0,0.0,1.0,5.041666666666666,5.063333333333333,5.041666666666666,5.063333333333333,1200.0
1990-02-02,30.38,30.63,30.38,30.63,900.0,0.0,1.0,5.063333333333333,5.1049999999999995,5.063333333333333,5.1049999999999995,5400.0
1990-02-05,30.5,30.87,30.5,30.63,12400.0,0.0,1.0,5.083333333333333,5.145,5.083333333333333,5.1049999999999995,74400.0
1990-02-06,30.38,30.38,30.38,30.38,500.0,0.0,1.0,5.063333333333333,5.063333333333333,5.063333333333333,5.063333333333333,3000.0
1990-02-07,30.38,30.38,30.25,30.38,1900.0,0.0,1.0,5.063333333333333,5.063333333333333,5.041666666666666,5.063333333333333,11400.0
1990-02-08,30.38,30.38,30.38,30.38,0.0,0.0,1.0,5.063333333333333,5.063333333333333,5.063333333333333,5.063333333333333,0.0
1990-02-09,30.25,30.25,30.12,30.12,2000.0,0.0,1.0,5.041666666666666,5.041666666666666,5.02,5.02,12000.0
1990-02-12,30.12,30.12,30.12,30.12,0.0,0.0,1.0,5.02,5.02,5.02,5.02,0.0
1990-02-13,30.0,30.12,30.0,30.12,31000.0,0.0,1.0,5.0,5.02,5.0,5.02,186000.0
1990-02-14,30.0,30.0,30.0,30.0,10500.0,0.0,1.0,5.0,5.0,5.0,5.0,63000.0
1990-02-15,30.0,30.0,30.0,30.0,5300.0,0.0,1.0,5.0,5.0,5.0,5.0,31800.0
1990-02-16,30.0,30.0,30.0,30.0,12000.0,0.0,1.0,5.0,5.0,5.0,5.0,72000.0
1990-02-20,29.88,29.88,29.88,29.88,200.0,0.0,1.0,4.9799999999999995,4.9799999999999995,4.9799999999999995,4.9799999999999995,1200.0
1990-02-21,29.75,29.75,29.75,29.75,500.0,0.0,1.0,4.958333333333333,4.958333333333333,4.958333333333333,4.958333333333333,3000.0
1990-02-22,29.75,29.75,29.75,29.75,0.0,0.0,1.0,4.958333333333333,4.958333333333333,4.958333333333333,4.958333333333333,0.0
1990-02-23,29.75,29.75,29.5,29.5,2100.0,0.0,1.0,4.958333333333333,4.958333333333333,4.916666666666666,4.916666666666666,12600.0
1990-02-26,29.37,29.37,29.37,29.37,700.0,0.0,1.0,4.895,4.895,4.895,4.895,4200.0
1990-02-27,29.5,29.5,29.37,29.37,500.0,0.0,1.0,4.916666666666666,4.916666666666666,4.895,4.895,3000.0
1990-02-28,29.37,29.37,29.37,29.37,200.0,0.0,1.0,4.895,4.895,4.895,4.895,1200.0
1990-03-01,29.37,29.37,29.25,29.25,1100.0,0.0,1.0,4.895,4.895,4.875,4.875,6600.0
1990-03-02,29.25,29.5,29.13,29.5,7900.0,0.0,1.0,4.875,4.916666666666666,4.8549999999999995,4.916666666666666,47400.0
1990-03-05,29.5,29.5,29.5,29.5,900.0,0.0,1.0,4.916666666666666,4.916666666666666,4.916666666666666,4.916666666666666,5400.0
1990-03-06,29.37,29.5,29.37,29.37,13200.0,0.0,1.0,4.895,4.916666666666666,4.895,4.895,79200.0
1990-03-07,29.25,29.25,29.0,29.0,4000.0,0.0,1.0,4.875,4.875,4.833333333333333,4.833333333333333,24000.0
1990-03-08,29.13,29.13,28.88,29.13,2300.0,0.0,1.0,4.8549999999999995,4.8549999999999995,4.813333333333333,4.8549999999999995,13800.0
1990-03-09,29.13,29.13,29.13,29.13,3000.0,0.0,1.0,4.8549999999999995,4.8549999999999995,4.8549999999999995,4.8549999999999995,18000.0
1990-03-12,29.0,29.0,28.88,28.88,500.0,0.0,1.0,4.833333333333333,4.833333333333333,4.813333333333333,4.813333333333333,3000.0
1990-03-13,28.75,28.75,28.25,28.25,4400.0,0.0,1.0,4.791666666666666,4.791666666666666,4.708333333333333,4.708333333333333,26400.0
1990-03-14,28.12,28.12,28.12,28.12,1800.0,0.0,1.0,4.6866666666666665,4.6866666666666665,4.6866666666666665,4.6866666666666665,10800.0
1990-03-15,28.12,28.12,28.12,28.12,300.0,0.0,1.0,4.6866666666666665,4.6866666666666665,4.6866666666666665,4.6866666666666665,1800.0
1990-03-16,28.12,28.12,28.12,28.12,1800.0,0.0,1.0,4.6866666666666665,4.6866666666666665,4.6866666666666665,4.6866666666666665,10800.0
1990-03-19,28.12,28.12,28.12,28.12,100.0,0.0,1.0,4.6866666666666665,4.6866666666666665,4.6866666666666665,4.6866666666666665,600.0
1990-03-20,28.12,28.12,28.12,28.12,2200.0,0.0,1.0,4.6866666666666665,4.6866666666666665,4.6866666666666665,4.6866666666666665,13200.0
1990-03-21,28.0,28.0,28.0,28.0,200.0,0.0,1.0,4.666666666666666,4.666666666666666,4.666666666666666,4.666666666666666,1200.0
1990-03-22,27.87,27.87,27.87,27.87,600.0,0.0,1.0,4.645,4.645,4.645,4.645,3600.0
