Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-04-07,8.75,11.0,8.75,9.5,3106600.0,0.0,1.0,8.75,11.0,8.75,9.5,3106600.0
2000-04-10,10.38,10.69,9.0,9.125,805800.0,0.0,1.0,10.38,10.69,9.0,9.125,805800.0
2000-04-11,8.688,8.875,8.0,8.25,382500.0,0.0,1.0,8.688,8.875,8.0,8.25,382500.0
2000-04-12,8.5,8.625,7.875,8.063,141800.0,0.0,1.0,8.5,8.625,7.875,8.063,141800.0
2000-04-13,8.0,8.25,8.0,8.0,107300.0,0.0,1.0,8.0,8.25,8.0,8.0,107300.0
2000-04-14,8.0,8.188,8.0,8.016,267300.0,0.0,1.0,8.0,8.188,8.0,8.016,267300.0
2000-04-17,8.0,8.031,7.875,8.0,243700.0,0.0,1.0,8.0,8.031,7.875,8.0,243700.0
2000-04-18,8.0,8.125,8.0,8.063,187200.0,0.0,1.0,8.0,8.125,8.0,8.063,187200.0
2000-04-19,8.0,8.25,8.0,8.125,96400.0,0.0,1.0,8.0,8.25,8.0,8.125,96400.0
2000-04-20,8.25,8.25,8.0,8.125,49400.0,0.0,1.0,8.25,8.25,8.0,8.125,49400.0
2000-04-24,8.0,8.125,7.938,8.016,58400.0,0.0,1.0,8.0,8.125,7.938,8.016,58400.0
2000-04-25,8.25,8.25,7.875,8.0,28400.0,0.0,1.0,8.25,8.25,7.875,8.0,28400.0
2000-04-26,8.0,8.125,5.375,6.0,78800.0,0.0,1.0,8.0,8.125,5.375,6.0,78800.0
2000-04-27,6.125,6.5,5.875,6.125,74100.0,0.0,1.0,6.125,6.5,5.875,6.125,74100.0
2000-04-28,6.5,6.625,5.5,6.25,593900.0,0.0,1.0,6.5,6.625,5.5,6.25,593900.0
2000-05-01,6.5,6.875,6.25,6.25,176300.0,0.0,1.0,6.5,6.875,6.25,6.25,176300.0
2000-05-02,6.281,6.875,6.125,6.875,128800.0,0.0,1.0,6.281,6.875,6.125,6.875,128800.0
2000-05-03,7.438,8.125,7.438,7.75,289400.0,0.0,1.0,7.438,8.125,7.438,7.75,289400.0
2000-05-04,7.75,8.25,7.5,8.125,108200.0,0.0,1.0,7.75,8.25,7.5,8.125,108200.0
2000-05-05,8.125,8.125,7.75,7.75,116300.0,0.0,1.0,8.125,8.125,7.75,7.75,116300.0
2000-05-08,8.0,8.0,7.5,7.75,14300.0,0.0,1.0,8.0,8.0,7.5,7.75,14300.0
