Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1982-01-04,19.5,19.63,19.37,19.5,15067.0,0.0,1.0,3.2018159566525415,3.223161396363558,3.180470516941525,3.2018159566525415,45201.0
1982-01-05,19.5,19.5,19.37,19.5,18600.0,0.0,1.0,3.2018159566525415,3.2018159566525415,3.180470516941525,3.2018159566525415,55800.0
1982-01-06,19.5,19.63,19.25,19.37,29467.0,0.0,1.0,3.2035902527925617,3.224947521144512,3.162518582884965,3.1822329844406116,88401.0
1982-01-07,19.63,19.75,19.37,19.63,24200.0,0.0,1.0,3.2213989288644953,3.2410916375483336,3.1787313933828467,3.2213989288644953,72600.0
1982-01-08,19.37,19.63,19.0,19.12,93600.0,0.0,1.0,3.184163627883045,3.2269040792640253,3.1233406778408805,3.1430670400167178,280800.0
1982-01-11,18.88,19.12,18.5,18.75,35467.0,0.0,1.0,3.105702729036333,3.145182001015609,3.0431938817358137,3.0843181233808923,106401.0
1982-01-12,18.13,18.5,17.75,18.0,33200.0,0.0,1.0,2.9783851231432883,3.0391684930033556,2.91595895950322,2.957028804003265,99600.0
1982-01-13,17.5,17.87,17.0,17.25,37800.0,0.0,1.0,2.8707502017941326,2.931446063203494,2.7887287674571573,2.829739484625645,113400.0
1982-01-14,17.62,17.87,17.25,17.62,27400.0,0.0,1.0,2.898279887367442,2.9394019062006915,2.8374192994942318,2.898279887367442,82200.0
1982-01-15,17.87,18.0,17.75,17.87,66267.0,0.0,1.0,2.937445831791331,2.958815051608503,2.9177203981139406,2.937445831791331,198801.0
1982-01-18,17.75,17.87,17.5,17.87,33600.0,0.0,1.0,2.9177203981139406,2.937445831791331,2.8766257446193784,2.937445831791331,100800.0
1982-01-19,17.87,17.87,17.75,17.87,71667.0,0.0,1.0,2.937445831791331,2.937445831791331,2.9177203981139406,2.937445831791331,215001.0
1982-01-20,17.87,17.87,17.75,17.87,18800.0,0.0,1.0,2.937445831791331,2.937445831791331,2.9177203981139406,2.937445831791331,56400.0
1982-01-21,17.87,17.87,17.75,17.87,64067.0,0.0,1.0,2.937445831791331,2.937445831791331,2.9177203981139406,2.937445831791331,192201.0
1982-01-22,17.75,17.87,17.62,17.75,84267.0,0.0,1.0,2.9178628595793796,2.937589256376536,2.89649259638246,2.9178628595793796,252801.0
1982-01-25,17.62,17.75,17.5,17.75,16800.0,0.0,1.0,2.89649259638246,2.9178628595793796,2.8767661995853038,2.9178628595793796,50400.0
1982-01-26,17.62,17.75,17.38,17.5,67800.0,0.0,1.0,2.8984365511451373,2.919821156800578,2.8589572791658617,2.8786969151554995,203400.0
1982-01-27,17.25,17.5,17.0,17.0,41200.0,0.0,1.0,2.831611386381199,2.872649232560637,2.7905735402017613,2.7905735402017613,123600.0
1982-01-28,17.25,17.62,16.88,17.62,56000.0,0.0,1.0,2.8374192994942318,2.898279887367442,2.776558711621022,2.898279887367442,168000.0
1982-01-29,18.0,18.38,17.5,18.38,42000.0,0.0,1.0,2.953427582780406,3.0157777206391034,2.8713879277031724,3.0157777206391034,126000.0
1982-02-01,18.38,18.75,18.0,18.25,22067.0,0.0,1.0,3.0175375055392406,3.078282275781326,2.9551509847500728,2.996194748427157,66201.0
1982-02-02,18.75,19.37,18.13,19.0,22200.0,0.0,1.0,3.0823855932283952,3.184309810177814,2.980461376278976,3.1234840678047737,66600.0
1982-02-03,18.75,19.0,18.5,18.5,25600.0,0.0,1.0,3.076379080592265,3.117397468333495,3.0353606928510346,3.0353606928510346,76800.0
1982-02-04,18.62,18.75,18.5,18.62,91000.0,0.0,1.0,3.0647351511689473,3.086132335360782,3.0449839042226383,3.0647351511689473,273000.0
1982-02-05,18.75,18.88,18.62,18.75,48467.0,0.0,1.0,3.0843181233808923,3.105702729036333,3.0629335177254515,3.0843181233808923,145401.0
1982-02-08,18.5,18.75,18.13,18.25,25800.0,0.0,1.0,3.0372385121042416,3.078282275781326,2.9764937418621567,2.996194748427157,77400.0
1982-02-09,18.25,18.5,18.0,18.0,23267.0,0.0,1.0,2.9980986485033103,3.0391684930033556,2.957028804003265,2.957028804003265,69801.0
1982-02-10,17.62,17.75,17.38,17.62,12000.0,0.0,1.0,2.927654345685364,2.949254519631964,2.887777101476255,2.927654345685364,36000.0
1982-02-11,17.75,17.87,17.62,17.87,18200.0,0.0,1.0,2.9468976020950746,2.9668202901092386,2.9253146900797304,2.9668202901092386,54600.0
1982-02-12,17.75,17.87,17.62,17.62,13600.0,0.0,1.0,2.949254519631964,2.9691931417365183,2.927654345685364,2.927654345685364,40800.0
1982-02-16,17.62,17.75,17.38,17.62,19400.0,0.0,1.0,2.927654345685364,2.949254519631964,2.887777101476255,2.927654345685364,58200.0
1982-02-17,17.5,17.62,17.25,17.62,35867.0,0.0,1.0,2.9077157235808095,2.927654345685364,2.866176927529655,2.927654345685364,107601.0
1982-02-18,17.5,17.62,17.38,17.62,11000.0,0.0,1.0,2.9077157235808095,2.927654345685364,2.887777101476255,2.927654345685364,33000.0
1982-02-19,17.5,17.5,17.38,17.38,10000.0,0.0,1.0,2.9084319345268006,2.9084319345268006,2.8884884012614735,2.8884884012614735,30000.0
1982-02-22,17.5,17.75,17.25,17.25,46467.0,0.0,1.0,2.910483768600967,2.9520621081524094,2.8689054290495246,2.8689054290495246,139401.0
1982-02-23,17.25,17.38,17.0,17.25,36467.0,0.0,1.0,2.8689054290495246,2.8905261656162744,2.827327089498082,2.8689054290495246,109401.0
1982-02-24,17.38,17.5,17.12,17.5,12267.0,0.0,1.0,2.88813031262674,2.908071373473415,2.844924680792278,2.908071373473415,36801.0
1982-02-25,17.87,18.25,17.38,17.62,23400.0,0.0,1.0,2.9691931417365183,3.0323321117342728,2.887777101476255,2.927654345685364,70200.0
1982-02-26,17.62,17.75,17.38,17.38,13067.0,0.0,1.0,2.928375467792127,2.9499809621628974,2.8884884012614735,2.8884884012614735,39201.0
1982-03-01,17.75,17.87,17.5,17.62,20200.0,0.0,1.0,2.949254519631964,2.9691931417365183,2.9077157235808095,2.927654345685364,60600.0
1982-03-02,18.13,18.5,17.62,18.38,25467.0,0.0,1.0,3.0133911124913926,3.0748888902973395,2.928623905245358,3.054943665062978,76401.0
1982-03-03,18.13,18.25,17.87,18.25,43800.0,0.0,1.0,3.015402156788456,3.0353606928510386,2.972158661986195,3.0353606928510386,131400.0
1982-03-04,18.0,18.13,17.75,18.13,50867.0,0.0,1.0,2.9941532802815045,3.0157777206390928,2.9525678180553725,3.0157777206390928,152601.0
1982-03-05,18.25,18.38,18.0,18.25,58000.0,0.0,1.0,3.0353606928510386,3.056982440252169,2.9937804093873255,3.0353606928510386,174000.0
1982-03-08,18.5,18.62,18.25,18.38,11467.0,0.0,1.0,3.0748888902973395,3.0948341155317007,3.033336337725754,3.054943665062978,34401.0
1982-03-09,18.0,18.25,17.75,17.75,31867.0,0.0,1.0,2.9887477026564153,3.030258087415532,2.947237317897298,2.947237317897298,95601.0
1982-03-10,17.87,17.87,17.75,17.75,13067.0,0.0,1.0,2.9671623025816745,2.9671623025816745,2.947237317897298,2.947237317897298,39201.0
1982-03-11,18.0,18.0,17.87,18.0,13667.0,0.0,1.0,2.9864032623211823,2.9864032623211823,2.9648347943155295,2.9864032623211823,41001.0
1982-03-12,17.87,18.0,17.75,17.75,11200.0,0.0,1.0,2.9671623025816745,2.9887477026564153,2.947237317897298,2.947237317897298,33600.0
1982-03-15,17.25,17.62,16.88,16.88,21267.0,0.0,1.0,2.861747435059736,2.923129843811742,2.80036502630773,2.80036502630773,63801.0
1982-03-16,17.12,17.25,16.88,16.88,31467.0,0.0,1.0,2.840180642795518,2.861747435059736,2.80036502630773,2.80036502630773,94401.0
1982-03-17,16.63,17.0,16.12,16.12,17400.0,0.0,1.0,2.7677469863641426,2.8293264442688173,2.6828671930360786,2.6828671930360786,52200.0
1982-03-18,16.37,16.63,16.12,16.5,29800.0,0.0,1.0,2.7200154978987343,2.763216721445079,2.6784758598734024,2.7416161096719067,89400.0
1982-03-19,16.75,17.0,16.37,17.0,41467.0,0.0,1.0,2.7784781750120255,2.819947998519668,2.7154440432804097,2.819947998519668,124401.0
1982-03-22,17.0,17.12,16.75,17.0,18200.0,0.0,1.0,2.819947998519668,2.839853513803336,2.7784781750120255,2.819947998519668,54600.0
1982-03-23,16.88,17.0,16.75,17.0,19067.0,0.0,1.0,2.8000424832359996,2.819947998519668,2.7784781750120255,2.819947998519668,57201.0
1982-03-24,16.75,17.0,16.5,16.5,31800.0,0.0,1.0,2.7831557476972386,2.8246953857225705,2.7416161096719067,2.7416161096719067,95400.0
1982-03-25,16.75,16.88,16.5,16.75,7267.0,0.0,1.0,2.7807820540957837,2.802364243172348,2.7392778443331602,2.7807820540957837,21801.0
1982-03-26,16.63,16.88,16.37,16.88,11067.0,0.0,1.0,2.758890425799618,2.80036502630773,2.7157568412711814,2.80036502630773,33201.0
1982-03-29,16.5,16.75,16.25,16.63,19600.0,0.0,1.0,2.7396142423982806,2.7811235491012845,2.698104935695276,2.7611990818838423,58800.0
1982-03-30,16.75,16.88,16.5,16.63,12800.0,0.0,1.0,2.7811235491012845,2.8027083885868467,2.7396142423982806,2.7611990818838423,38400.0
1982-03-31,16.88,17.12,16.63,16.75,19200.0,0.0,1.0,2.802364243172348,2.842208284544467,2.7608600334097244,2.7807820540957837,57600.0
1982-04-01,17.75,18.5,17.0,18.38,41600.0,0.0,1.0,2.9502312325825826,3.0748888902973395,2.8255735748678252,3.054943665062978,124800.0
1982-04-02,17.87,18.62,17.12,17.87,42467.0,0.0,1.0,2.9668202901092386,3.091337090197763,2.8423034900207145,2.9668202901092386,127401.0
