Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1998-04-23,26.0,26.5,21.88,21.88,4730700.0,0.0,1.0,6.5,6.625,5.47,5.47,18922800.0
1998-04-24,24.0,25.63,22.38,24.56,1061800.0,0.0,1.0,6.0,6.4075,5.595,6.14,4247200.0
1998-04-27,24.38,24.5,21.5,22.69,751700.0,0.0,1.0,6.095,6.125,5.375,5.6725,3006800.0
1998-04-28,24.5,24.88,22.38,22.38,462100.0,0.0,1.0,6.125,6.22,5.595,5.595,1848400.0
1998-04-29,23.0,23.25,21.63,22.63,293900.0,0.0,1.0,5.75,5.8125,5.4075,5.6575,1175600.0
1998-04-30,23.0,23.5,22.25,22.63,207700.0,0.0,1.0,5.75,5.875,5.5625,5.6575,830800.0
1998-05-01,22.88,23.0,22.0,22.25,82500.0,0.0,1.0,5.72,5.75,5.5,5.5625,330000.0
1998-05-04,22.38,22.63,22.0,22.38,133600.0,0.0,1.0,5.595,5.6575,5.5,5.595,534400.0
1998-05-05,22.5,22.5,22.25,22.25,93400.0,0.0,1.0,5.625,5.625,5.5625,5.5625,373600.0
1998-05-06,22.25,22.5,21.5,22.0,72800.0,0.0,1.0,5.5625,5.625,5.375,5.5,291200.0
1998-05-07,21.75,21.75,19.5,19.63,264400.0,0.0,1.0,5.4375,5.4375,4.875,4.9075,1057600.0
1998-05-08,20.13,22.0,19.88,21.63,190800.0,0.0,1.0,5.0325,5.5,4.97,5.4075,763200.0
1998-05-11,21.5,21.69,20.25,20.38,69800.0,0.0,1.0,5.375,5.4225,5.0625,5.095,279200.0
1998-05-12,20.5,20.5,18.81,19.63,492800.0,0.0,1.0,5.125,5.125,4.7025,4.9075,1971200.0
1998-05-13,19.25,20.5,19.0,19.81,146400.0,0.0,1.0,4.8125,5.125,4.75,4.9525,585600.0
1998-05-14,19.75,19.75,18.75,18.81,106800.0,0.0,1.0,4.9375,4.9375,4.6875,4.7025,427200.0
1998-05-15,18.63,18.69,17.75,18.25,292200.0,0.0,1.0,4.6575,4.6725,4.4375,4.5625,1168800.0
1998-05-18,18.13,18.63,17.5,17.88,172200.0,0.0,1.0,4.5325,4.6575,4.375,4.47,688800.0
1998-05-19,18.5,21.5,18.5,21.0,575600.0,0.0,1.0,4.625,5.375,4.625,5.25,2302400.0
1998-05-20,21.38,21.38,20.38,20.38,139100.0,0.0,1.0,5.345,5.345,5.095,5.095,556400.0
1998-05-21,20.63,20.63,19.63,19.75,137800.0,0.0,1.0,5.1575,5.1575,4.9075,4.9375,551200.0
1998-05-22,19.88,20.63,19.63,20.63,62300.0,0.0,1.0,4.97,5.1575,4.9075,5.1575,249200.0
1998-05-26,20.63,20.63,19.38,19.5,35600.0,0.0,1.0,5.1575,5.1575,4.845,4.875,142400.0
1998-05-27,19.5,19.75,19.13,19.63,232600.0,0.0,1.0,4.875,4.9375,4.7825,4.9075,930400.0
1998-05-28,20.0,20.38,19.5,19.5,52000.0,0.0,1.0,5.0,5.095,4.875,4.875,208000.0
1998-05-29,19.5,20.38,19.38,20.0,121400.0,0.0,1.0,4.875,5.095,4.845,5.0,485600.0
1998-06-01,19.63,21.0,19.63,20.56,49900.0,0.0,1.0,4.9075,5.25,4.9075,5.14,199600.0
1998-06-02,20.88,21.0,20.75,21.0,44500.0,0.0,1.0,5.22,5.25,5.1875,5.25,178000.0
1998-06-03,21.06,22.38,20.81,21.5,49100.0,0.0,1.0,5.265,5.595,5.2025,5.375,196400.0
1998-06-04,21.88,22.5,20.38,20.88,68000.0,0.0,1.0,5.47,5.625,5.095,5.22,272000.0
1998-06-05,21.13,21.13,20.63,20.88,39700.0,0.0,1.0,5.2825,5.2825,5.1575,5.22,158800.0
1998-06-08,20.88,21.13,19.63,20.13,43100.0,0.0,1.0,5.22,5.2825,4.9075,5.0325,172400.0
1998-06-09,20.0,20.38,19.81,19.94,25800.0,0.0,1.0,5.0,5.095,4.9525,4.985,103200.0
1998-06-10,20.38,20.38,19.62,19.75,5100.0,0.0,1.0,5.095,5.095,4.905,4.9375,20400.0
1998-06-11,20.0,20.63,19.75,20.0,23500.0,0.0,1.0,5.0,5.1575,4.9375,5.0,94000.0
1998-06-12,19.75,20.0,19.5,20.0,40600.0,0.0,1.0,4.9375,5.0,4.875,5.0,162400.0
1998-06-15,20.0,20.75,19.88,20.25,22200.0,0.0,1.0,5.0,5.1875,4.97,5.0625,88800.0
1998-06-16,20.75,21.38,20.25,21.25,81800.0,0.0,1.0,5.1875,5.345,5.0625,5.3125,327200.0
1998-06-17,21.25,21.5,21.13,21.38,117900.0,0.0,1.0,5.3125,5.375,5.2825,5.345,471600.0
1998-06-18,21.5,21.5,21.25,21.25,35500.0,0.0,1.0,5.375,5.375,5.3125,5.3125,142000.0
1998-06-19,21.25,21.44,21.25,21.25,30600.0,0.0,1.0,5.3125,5.36,5.3125,5.3125,122400.0
1998-06-22,21.25,21.88,21.0,21.13,76400.0,0.0,1.0,5.3125,5.47,5.25,5.2825,305600.0
1998-06-23,21.0,21.19,20.75,20.75,63000.0,0.0,1.0,5.25,5.2975,5.1875,5.1875,252000.0
1998-06-24,20.75,21.0,20.5,20.75,97000.0,0.0,1.0,5.1875,5.25,5.125,5.1875,388000.0
1998-06-25,20.75,21.0,20.5,20.5,65000.0,0.0,1.0,5.1875,5.25,5.125,5.125,260000.0
1998-06-26,20.63,20.75,19.75,19.88,83500.0,0.0,1.0,5.1575,5.1875,4.9375,4.97,334000.0
1998-06-29,19.75,21.0,19.63,20.75,27400.0,0.0,1.0,4.9375,5.25,4.9075,5.1875,109600.0
1998-06-30,21.0,21.0,20.63,20.81,118900.0,0.0,1.0,5.25,5.25,5.1575,5.2025,475600.0
1998-07-01,21.0,24.0,20.75,24.0,101400.0,0.0,1.0,5.25,6.0,5.1875,6.0,405600.0
1998-07-02,23.75,23.75,23.0,23.44,54100.0,0.0,1.0,5.9375,5.9375,5.75,5.86,216400.0
1998-07-06,23.38,25.13,23.38,23.5,94200.0,0.0,1.0,5.845,6.2825,5.845,5.875,376800.0
1998-07-07,23.0,24.13,22.63,24.13,42700.0,0.0,1.0,5.75,6.0325,5.6575,6.0325,170800.0
1998-07-08,24.13,25.63,23.5,25.5,88600.0,0.0,1.0,6.0325,6.4075,5.875,6.375,354400.0
1998-07-09,25.13,26.75,25.13,25.5,86600.0,0.0,1.0,6.2825,6.6875,6.2825,6.375,346400.0
1998-07-10,26.38,28.13,25.75,27.0,65700.0,0.0,1.0,6.595,7.0325,6.4375,6.75,262800.0
1998-07-13,26.63,27.38,25.0,25.25,45500.0,0.0,1.0,6.6575,6.845,6.25,6.3125,182000.0
1998-07-14,25.0,25.0,22.06,22.19,96300.0,0.0,1.0,6.25,6.25,5.515,5.5475,385200.0
1998-07-15,22.13,23.63,22.13,23.5,58300.0,0.0,1.0,5.5325,5.9075,5.5325,5.875,233200.0
1998-07-16,23.5,24.13,23.5,24.0,19300.0,0.0,1.0,5.875,6.0325,5.875,6.0,77200.0
1998-07-17,24.25,24.25,23.38,23.5,23900.0,0.0,1.0,6.0625,6.0625,5.845,5.875,95600.0
1998-07-20,23.75,23.75,22.88,23.0,32700.0,0.0,1.0,5.9375,5.9375,5.72,5.75,130800.0
1998-07-21,23.0,23.25,23.0,23.0,24400.0,0.0,1.0,5.75,5.8125,5.75,5.75,97600.0
1998-07-22,23.25,23.25,22.63,22.88,36400.0,0.0,1.0,5.8125,5.8125,5.6575,5.72,145600.0
1998-07-23,22.88,23.38,21.63,21.88,21900.0,0.0,1.0,5.72,5.845,5.4075,5.47,87600.0
1998-07-24,21.75,21.88,20.75,21.63,29000.0,0.0,1.0,5.4375,5.47,5.1875,5.4075,116000.0
1998-07-27,21.5,21.75,20.75,21.63,96100.0,0.0,1.0,5.375,5.4375,5.1875,5.4075,384400.0
1998-07-28,21.88,22.5,21.5,22.0,15600.0,0.0,1.0,5.47,5.625,5.375,5.5,62400.0
1998-07-29,21.63,21.75,19.75,20.13,45500.0,0.0,1.0,5.4075,5.4375,4.9375,5.0325,182000.0
1998-07-30,20.0,20.5,19.5,20.0,11200.0,0.0,1.0,5.0,5.125,4.875,5.0,44800.0
1998-07-31,20.0,20.13,17.75,18.75,383100.0,0.0,1.0,5.0,5.0325,4.4375,4.6875,1532400.0
1998-08-03,18.88,18.88,17.25,17.56,54600.0,0.0,1.0,4.72,4.72,4.3125,4.39,218400.0
1998-08-04,17.75,17.75,17.0,17.5,34200.0,0.0,1.0,4.4375,4.4375,4.25,4.375,136800.0
1998-08-05,17.5,17.63,17.25,17.5,41500.0,0.0,1.0,4.375,4.4075,4.3125,4.375,166000.0
1998-08-06,17.5,17.5,15.88,16.13,45600.0,0.0,1.0,4.375,4.375,3.97,4.0325,182400.0
1998-08-07,16.25,16.63,15.5,15.63,51000.0,0.0,1.0,4.0625,4.1575,3.875,3.9075,204000.0
1998-08-10,16.0,16.0,15.63,15.88,73400.0,0.0,1.0,4.0,4.0,3.9075,3.97,293600.0
1998-08-11,14.63,15.25,14.0,14.75,126900.0,0.0,1.0,3.6575,3.8125,3.5,3.6875,507600.0
1998-08-12,14.63,15.94,14.0,15.94,303900.0,0.0,1.0,3.6575,3.985,3.5,3.985,1215600.0
1998-08-13,16.0,16.0,15.5,15.69,113700.0,0.0,1.0,4.0,4.0,3.875,3.9225,454800.0
1998-08-14,16.0,16.0,15.5,15.69,62100.0,0.0,1.0,4.0,4.0,3.875,3.9225,248400.0
1998-08-17,15.5,15.88,15.5,15.5,15500.0,0.0,1.0,3.875,3.97,3.875,3.875,62000.0
1998-08-18,15.88,15.88,15.63,15.75,16200.0,0.0,1.0,3.97,3.97,3.9075,3.9375,64800.0
1998-08-19,15.88,15.88,15.38,15.38,7300.0,0.0,1.0,3.97,3.97,3.845,3.845,29200.0
1998-08-20,15.75,15.75,15.38,15.44,30700.0,0.0,1.0,3.9375,3.9375,3.845,3.86,122800.0
1998-08-21,15.75,15.75,14.06,14.5,42100.0,0.0,1.0,3.9375,3.9375,3.515,3.625,168400.0
1998-08-24,14.63,14.63,13.88,13.88,17100.0,0.0,1.0,3.6575,3.6575,3.47,3.47,68400.0
1998-08-25,14.0,14.63,14.0,14.38,53900.0,0.0,1.0,3.5,3.6575,3.5,3.595,215600.0
1998-08-26,14.38,14.38,14.13,14.25,70800.0,0.0,1.0,3.595,3.595,3.5325,3.5625,283200.0
1998-08-27,14.25,14.25,13.5,13.88,228100.0,0.0,1.0,3.5625,3.5625,3.375,3.47,912400.0
1998-08-28,13.75,13.75,13.38,13.38,16400.0,0.0,1.0,3.4375,3.4375,3.345,3.345,65600.0
1998-08-31,13.5,13.75,10.5,11.25,33300.0,0.0,1.0,3.375,3.4375,2.625,2.8125,133200.0
1998-09-01,11.88,12.5,11.0,12.19,32100.0,0.0,1.0,2.97,3.125,2.75,3.0475,128400.0
1998-09-02,12.88,12.88,12.0,12.0,9600.0,0.0,1.0,3.22,3.22,3.0,3.0,38400.0
1998-09-03,12.0,12.63,11.75,11.81,8200.0,0.0,1.0,3.0,3.1575,2.9375,2.9525,32800.0
1998-09-04,11.75,11.75,10.0,10.38,28000.0,0.0,1.0,2.9375,2.9375,2.5,2.595,112000.0
1998-09-08,11.13,11.13,10.56,11.13,27400.0,0.0,1.0,2.7825,2.7825,2.64,2.7825,109600.0
1998-09-09,11.13,11.38,10.38,11.38,18800.0,0.0,1.0,2.7825,2.845,2.595,2.845,75200.0
1998-09-10,10.5,10.75,10.38,10.5,165200.0,0.0,1.0,2.625,2.6875,2.595,2.625,660800.0
1998-09-11,10.75,11.25,10.63,11.0,17700.0,0.0,1.0,2.6875,2.8125,2.6575,2.75,70800.0
1998-09-14,10.75,11.38,10.75,11.25,25800.0,0.0,1.0,2.6875,2.845,2.6875,2.8125,103200.0
1998-09-15,11.19,11.5,11.13,11.13,22900.0,0.0,1.0,2.7975,2.875,2.7825,2.7825,91600.0
1998-09-16,11.5,11.5,11.0,11.13,46100.0,0.0,1.0,2.875,2.875,2.75,2.7825,184400.0
1998-09-17,10.75,11.0,10.5,10.88,32600.0,0.0,1.0,2.6875,2.75,2.625,2.72,130400.0
1998-09-18,11.5,11.5,10.75,10.75,28600.0,0.0,1.0,2.875,2.875,2.6875,2.6875,114400.0
1998-09-21,10.75,10.75,10.38,10.5,17400.0,0.0,1.0,2.6875,2.6875,2.595,2.625,69600.0
1998-09-22,10.88,10.94,10.0,10.0,53900.0,0.0,1.0,2.72,2.735,2.5,2.5,215600.0
1998-09-23,10.0,10.38,10.0,10.0,38800.0,0.0,1.0,2.5,2.595,2.5,2.5,155200.0
1998-09-24,10.38,12.25,10.25,11.63,632100.0,0.0,1.0,2.595,3.0625,2.5625,2.9075,2528400.0
1998-09-25,11.88,12.75,11.63,12.75,120400.0,0.0,1.0,2.97,3.1875,2.9075,3.1875,481600.0
1998-09-28,12.75,13.5,12.75,13.0,75300.0,0.0,1.0,3.1875,3.375,3.1875,3.25,301200.0
1998-09-29,12.88,13.25,12.75,13.13,64200.0,0.0,1.0,3.22,3.3125,3.1875,3.2825,256800.0
1998-09-30,13.0,13.0,12.25,13.0,22300.0,0.0,1.0,3.25,3.25,3.0625,3.25,89200.0
1998-10-01,13.0,13.0,11.63,11.63,28100.0,0.0,1.0,3.25,3.25,2.9075,2.9075,112400.0
1998-10-02,11.88,11.88,11.5,11.88,3000.0,0.0,1.0,2.97,2.97,2.875,2.97,12000.0
1998-10-05,11.88,12.0,10.75,10.88,29300.0,0.0,1.0,2.97,3.0,2.6875,2.72,117200.0
1998-10-06,11.75,11.75,10.0,10.13,27100.0,0.0,1.0,2.9375,2.9375,2.5,2.5325,108400.0
1998-10-07,10.38,10.81,10.13,10.13,30300.0,0.0,1.0,2.595,2.7025,2.5325,2.5325,121200.0
1998-10-08,10.0,10.0,8.625,9.0,32900.0,0.0,1.0,2.5,2.5,2.15625,2.25,131600.0
1998-10-09,9.375,9.406,8.25,8.25,68200.0,0.0,1.0,2.34375,2.3515,2.0625,2.0625,272800.0
1998-10-12,8.75,9.375,8.625,8.75,35000.0,0.0,1.0,2.1875,2.34375,2.15625,2.1875,140000.0
1998-10-13,9.0,9.125,8.0,8.25,35000.0,0.0,1.0,2.25,2.28125,2.0,2.0625,140000.0
1998-10-14,8.375,8.375,8.0,8.0,14900.0,0.0,1.0,2.09375,2.09375,2.0,2.0,59600.0
1998-10-15,8.25,8.375,8.094,8.375,16600.0,0.0,1.0,2.0625,2.09375,2.0235,2.09375,66400.0
1998-10-16,8.125,9.875,8.125,9.75,88400.0,0.0,1.0,2.03125,2.46875,2.03125,2.4375,353600.0
1998-10-19,10.0,10.63,9.75,10.25,62300.0,0.0,1.0,2.5,2.6575,2.4375,2.5625,249200.0
1998-10-20,10.5,12.0,10.13,11.25,48700.0,0.0,1.0,2.625,3.0,2.5325,2.8125,194800.0
1998-10-21,11.25,11.25,10.88,11.0,8500.0,0.0,1.0,2.8125,2.8125,2.72,2.75,34000.0
1998-10-22,11.0,12.06,11.0,12.06,62200.0,0.0,1.0,2.75,3.015,2.75,3.015,248800.0
1998-10-23,12.0,12.5,12.0,12.25,76600.0,0.0,1.0,3.0,3.125,3.0,3.0625,306400.0
1998-10-26,12.5,15.38,12.08,13.88,112100.0,0.0,1.0,3.125,3.845,3.02,3.47,448400.0
1998-10-27,15.5,16.63,14.63,14.88,335700.0,0.0,1.0,3.875,4.1575,3.6575,3.72,1342800.0
