Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1988-12-16,8.12,8.25,8.0,8.12,38400.0,0.0,1.0,2.283995424885291,2.320561854101435,2.250241797916543,2.283995424885291,51200.0
1988-12-19,8.12,8.37,8.0,8.37,16500.0,0.0,1.0,2.283995424885291,2.354315481070183,2.250241797916543,2.354315481070183,22000.0
1988-12-20,8.37,8.37,8.0,8.25,48000.0,0.0,1.0,2.354315481070183,2.354315481070183,2.250241797916543,2.320561854101435,64000.0
1988-12-21,8.12,8.12,8.0,8.0,26400.0,0.0,1.0,2.283995424885291,2.283995424885291,2.250241797916543,2.250241797916543,35200.0
1988-12-22,8.0,8.12,7.87,8.0,39300.0,0.0,1.0,2.250241797916543,2.283995424885291,2.2136753687003994,2.250241797916543,52400.0
1988-12-23,7.75,7.87,7.62,7.87,14400.0,0.34,1.0,2.2740987928356873,2.309310645111853,2.235952619536508,2.309310645111853,19200.0
1988-12-27,7.87,7.87,7.5,7.5,20100.0,0.0,1.0,2.309310645111853,2.309310645111853,2.2007407672603425,2.2007407672603425,26800.0
1988-12-28,7.5,7.75,7.5,7.5,18300.0,0.0,1.0,2.2007407672603425,2.2740987928356873,2.2007407672603425,2.2007407672603425,24400.0
1988-12-29,7.5,7.87,7.5,7.87,38400.0,0.0,1.0,2.2007407672603425,2.309310645111853,2.2007407672603425,2.309310645111853,51200.0
1988-12-30,7.87,8.0,7.62,7.87,34800.0,0.0,1.0,2.309310645111853,2.347456818411032,2.235952619536508,2.309310645111853,46400.0
1989-01-03,8.0,8.0,7.87,8.0,10200.0,0.0,1.0,2.347456818411032,2.347456818411032,2.309310645111853,2.347456818411032,13600.0
1989-01-04,8.0,8.0,7.75,8.0,15600.0,0.0,1.0,2.347456818411032,2.347456818411032,2.2740987928356873,2.347456818411032,20800.0
1989-01-05,8.0,8.0,7.87,7.87,7200.0,0.0,1.0,2.347456818411032,2.347456818411032,2.309310645111853,2.309310645111853,9600.0
1989-01-06,8.0,8.0,7.75,7.87,21600.0,0.0,1.0,2.347456818411032,2.347456818411032,2.2740987928356873,2.309310645111853,28800.0
1989-01-09,7.87,7.87,7.5,7.75,17700.0,0.0,1.0,2.309310645111853,2.309310645111853,2.2007407672603425,2.2740987928356873,23600.0
1989-01-10,7.75,7.75,6.5,7.12,223500.0,0.0,1.0,2.2740987928356873,2.2740987928356873,1.9073086649589635,2.0892365683858185,298000.0
1989-01-11,7.12,7.5,7.12,7.12,89400.0,0.0,1.0,2.0892365683858185,2.2007407672603425,2.0892365683858185,2.0892365683858185,119200.0
1989-01-12,7.25,7.25,6.75,6.87,41400.0,0.0,1.0,2.1273827416849977,2.1273827416849977,1.9806666905343082,2.0158785428104737,55200.0
1989-01-13,7.0,7.0,6.75,6.87,29400.0,0.0,1.0,2.054024716109653,2.054024716109653,1.9806666905343082,2.0158785428104737,39200.0
1989-01-16,6.87,6.87,6.75,6.87,30600.0,0.0,1.0,2.0158785428104737,2.0158785428104737,1.9806666905343082,2.0158785428104737,40800.0
1989-01-17,6.75,7.0,6.75,6.87,23700.0,0.0,1.0,1.9806666905343082,2.054024716109653,1.9806666905343082,2.0158785428104737,31600.0
1989-01-18,7.0,7.0,6.75,6.75,37800.0,0.0,1.0,2.054024716109653,2.054024716109653,1.9806666905343082,1.9806666905343082,50400.0
1989-01-19,6.62,6.75,6.37,6.5,44400.0,0.0,1.0,1.942520517235129,1.9806666905343082,1.8691624916597842,1.9073086649589635,59200.0
1989-01-20,6.5,6.5,6.12,6.25,42000.0,0.0,1.0,1.9073086649589635,1.9073086649589635,1.7958044660844394,1.8339506393836187,56000.0
1989-01-23,6.37,6.37,5.75,5.75,61200.0,0.0,1.0,1.8691624916597842,1.8691624916597842,1.6872345882329294,1.6872345882329294,81600.0
1989-01-24,5.62,5.75,4.87,5.5,167700.0,0.0,1.0,1.6490884149337501,1.6872345882329294,1.4290143382077158,1.6138765626575846,223600.0
1989-01-25,5.5,6.37,5.25,6.37,107700.0,0.0,1.0,1.6138765626575846,1.8691624916597842,1.5405185370822398,1.8691624916597842,143600.0
1989-01-26,6.37,6.62,6.12,6.62,47100.0,0.0,1.0,1.8691624916597842,1.942520517235129,1.7958044660844394,1.942520517235129,62800.0
1989-01-27,6.62,6.62,6.5,6.5,22800.0,0.0,1.0,1.942520517235129,1.942520517235129,1.9073086649589635,1.9073086649589635,30400.0
1989-01-30,6.62,6.62,6.5,6.5,15000.0,0.0,1.0,1.942520517235129,1.942520517235129,1.9073086649589635,1.9073086649589635,20000.0
1989-01-31,6.5,6.62,6.37,6.5,11100.0,0.0,1.0,1.9073086649589635,1.942520517235129,1.8691624916597842,1.9073086649589635,14800.0
1989-02-01,6.5,6.5,6.37,6.5,16200.0,0.0,1.0,1.9073086649589635,1.9073086649589635,1.8691624916597842,1.9073086649589635,21600.0
1989-02-02,6.5,6.62,6.5,6.5,25500.0,0.0,1.0,1.9073086649589635,1.942520517235129,1.9073086649589635,1.9073086649589635,34000.0
1989-02-03,6.62,6.87,6.62,6.87,24600.0,0.0,1.0,1.942520517235129,2.0158785428104737,1.942520517235129,2.0158785428104737,32800.0
1989-02-06,6.87,6.87,6.75,6.75,9600.0,0.0,1.0,2.0158785428104737,2.0158785428104737,1.9806666905343082,1.9806666905343082,12800.0
1989-02-07,6.87,7.0,6.75,6.87,8400.0,0.0,1.0,2.0158785428104737,2.054024716109653,1.9806666905343082,2.0158785428104737,11200.0
1989-02-08,6.75,6.75,6.25,6.37,36900.0,0.0,1.0,1.9806666905343082,1.9806666905343082,1.8339506393836187,1.8691624916597842,49200.0
1989-02-09,6.5,6.5,6.25,6.25,23400.0,0.0,1.0,1.9073086649589635,1.9073086649589635,1.8339506393836187,1.8339506393836187,31200.0
1989-02-10,6.25,6.25,6.0,6.0,16500.0,0.0,1.0,1.8339506393836187,1.8339506393836187,1.760592613808274,1.760592613808274,22000.0
1989-02-13,5.75,5.87,5.62,5.87,13800.0,0.0,1.0,1.6872345882329294,1.722446440509095,1.6490884149337501,1.722446440509095,18400.0
1989-02-14,5.87,5.87,5.5,5.75,51000.0,0.0,1.0,1.722446440509095,1.722446440509095,1.6138765626575846,1.6872345882329294,68000.0
