Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1992-10-26,17.13,17.38,17.13,17.38,663800.0,0.0,1.0,7.9224692045077,8.0380919307848,7.9224692045077,8.0380919307848,1327600.0
1992-10-27,17.5,17.5,17.13,17.25,286800.0,0.0,1.0,8.0935908393978,8.0935908393978,7.9224692045077,7.9779681131207,573600.0
1992-10-28,17.13,17.13,16.75,17.0,354700.0,0.0,1.0,7.9224692045077,7.9224692045077,7.7467226605665,7.8623453868436,709400.0
1992-10-29,17.0,17.25,17.0,17.25,211500.0,0.0,1.0,7.8623453868436,7.9779681131207,7.8623453868436,7.9779681131207,423000.0
1992-10-30,17.38,17.38,17.0,17.13,189900.0,0.0,1.0,8.0380919307848,8.0380919307848,7.8623453868436,7.9224692045077,379800.0
1992-11-02,17.0,17.0,16.63,16.75,175800.0,0.0,1.0,7.8623453868436,7.8623453868436,7.6912237519535,7.7467226605665,351600.0
1992-11-03,16.75,16.88,16.63,16.75,113000.0,0.0,1.0,7.7467226605665,7.8068464782306,7.6912237519535,7.7467226605665,226000.0
1992-11-04,16.63,16.75,16.38,16.5,105400.0,0.0,1.0,7.6912237519535,7.7467226605665,7.5756010256764,7.6310999342894,210800.0
1992-11-05,16.5,17.0,16.38,17.0,518500.0,0.0,1.0,7.6310999342894,7.8623453868436,7.5756010256764,7.8623453868436,1037000.0
1992-11-06,17.0,17.25,16.88,17.13,224900.0,0.0,1.0,7.8623453868436,7.9779681131207,7.8068464782306,7.9224692045077,449800.0
1992-11-09,17.25,17.5,17.25,17.38,445900.0,0.0,1.0,7.9779681131207,8.0935908393978,7.9779681131207,8.0380919307848,891800.0
1992-11-10,17.5,19.25,17.5,19.25,398000.0,0.0,1.0,8.0935908393978,8.9029499233376,8.0935908393978,8.9029499233376,796000.0
1992-11-11,19.0,19.38,18.63,18.88,322400.0,0.0,1.0,8.7873271970605,8.9630737410017,8.6162055621704,8.7318282884475,644800.0
1992-11-12,19.13,19.38,19.0,19.38,53100.0,0.0,1.0,8.8474510147246,8.9630737410017,8.7873271970605,8.9630737410017,106200.0
1992-11-13,19.38,20.0,19.38,19.75,487600.0,0.0,1.0,8.9630737410017,9.249818102169,8.9630737410017,9.1341953758919,975200.0
1992-11-16,19.75,19.88,19.63,19.63,123000.0,0.0,1.0,9.1341953758919,9.194319193556,9.0786964672788,9.0786964672788,246000.0
1992-11-17,19.75,19.75,19.5,19.75,125200.0,0.0,1.0,9.1341953758919,9.1341953758919,9.0185726496147,9.1341953758919,250400.0
1992-11-18,19.75,20.5,19.63,20.5,94800.0,0.0,1.0,9.1341953758919,9.4810635547232,9.0786964672788,9.4810635547232,189600.0
1992-11-19,20.25,20.75,20.0,20.75,100800.0,0.0,1.0,9.3654408284461,9.5966862810003,9.249818102169,9.5966862810003,201600.0
1992-11-20,21.13,21.75,21.13,21.25,294600.0,0.0,1.0,9.7724328249415,10.059177186109,9.7724328249415,9.8279317335545,589200.0
1992-11-23,21.38,21.5,20.5,20.88,290700.0,0.0,1.0,9.8880555512186,9.9435544598316,9.4810635547232,9.6568100986644,581400.0
1992-11-24,20.75,20.75,19.88,20.0,229400.0,0.0,1.0,9.5966862810003,9.5966862810003,9.194319193556,9.249818102169,458800.0
1992-11-25,20.0,20.0,19.88,20.0,65200.0,0.0,1.0,9.249818102169,9.249818102169,9.194319193556,9.249818102169,130400.0
1992-11-27,20.0,20.0,20.0,20.0,42900.0,0.0,1.0,9.249818102169,9.249818102169,9.249818102169,9.249818102169,85800.0
1992-11-30,20.0,20.0,19.5,20.0,245700.0,0.0,1.0,9.249818102169,9.249818102169,9.0185726496147,9.249818102169,491400.0
1992-12-01,20.0,20.0,19.75,19.88,81600.0,0.0,1.0,9.249818102169,9.249818102169,9.1341953758919,9.194319193556,163200.0
1992-12-02,20.0,20.0,19.5,19.5,204600.0,0.0,1.0,9.249818102169,9.249818102169,9.0185726496147,9.0185726496147,409200.0
1992-12-03,19.5,19.5,19.38,19.38,23500.0,0.0,1.0,9.0185726496147,9.0185726496147,8.9630737410017,8.9630737410017,47000.0
1992-12-04,19.5,19.5,19.38,19.38,33000.0,0.0,1.0,9.0185726496147,9.0185726496147,8.9630737410017,8.9630737410017,66000.0
1992-12-07,19.25,19.25,18.88,19.13,115700.0,0.0,1.0,8.9029499233376,8.9029499233376,8.7318282884475,8.8474510147246,231400.0
1992-12-08,19.0,19.0,19.0,19.0,124100.0,0.0,1.0,8.7873271970605,8.7873271970605,8.7873271970605,8.7873271970605,248200.0
1992-12-09,19.13,19.38,19.0,19.13,539700.0,0.0,1.0,8.8474510147246,8.9630737410017,8.7873271970605,8.8474510147246,1079400.0
1992-12-10,19.0,19.13,18.0,18.88,189600.0,0.0,1.0,8.7873271970605,8.8474510147246,8.3248362919521,8.7318282884475,379200.0
1992-12-11,18.75,20.0,18.75,19.75,93600.0,0.0,1.0,8.6717044707834,9.249818102169,8.6717044707834,9.1341953758919,187200.0
1992-12-14,19.75,19.88,19.75,19.75,7600.0,0.0,1.0,9.1341953758919,9.194319193556,9.1341953758919,9.1341953758919,15200.0
1992-12-15,20.0,20.38,20.0,20.25,37100.0,0.0,1.0,9.249818102169,9.4255646461102,9.249818102169,9.3654408284461,74200.0
1992-12-16,20.5,21.25,20.5,21.0,30000.0,0.0,1.0,9.4810635547232,9.8279317335545,9.4810635547232,9.7123090072774,60000.0
1992-12-17,21.0,21.0,20.5,20.5,59600.0,0.0,1.0,9.7123090072774,9.7123090072774,9.4810635547232,9.4810635547232,119200.0
1992-12-18,20.38,20.75,20.38,20.5,13400.0,0.0,1.0,9.4255646461102,9.5966862810003,9.4255646461102,9.4810635547232,26800.0
1992-12-21,20.63,20.63,19.5,19.88,36600.0,0.0,1.0,9.5411873723873,9.5411873723873,9.0185726496147,9.194319193556,73200.0
1992-12-22,20.0,20.38,20.0,20.38,62200.0,0.0,1.0,9.249818102169,9.4255646461102,9.249818102169,9.4255646461102,124400.0
1992-12-23,20.5,21.0,20.5,21.0,18300.0,0.0,1.0,9.4810635547232,9.7123090072774,9.4810635547232,9.7123090072774,36600.0
