Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1987-09-08,11.5,11.5,11.25,11.25,4745.0,0.0,1.0,2.3523680671941,2.3523680671941,2.3012296309507,2.3012296309507,13901.3671875
1987-09-09,11.38,11.5,11.38,11.38,819.0,0.0,1.0,2.3278216177973,2.3523680671941,2.3278216177973,2.3278216177973,2399.4140625
1987-09-10,11.5,11.5,11.5,11.5,649.0,0.0,1.0,2.3523680671941,2.3523680671941,2.3523680671941,2.3523680671941,1901.3671875
1987-09-11,11.5,11.5,11.25,11.25,922.0,0.0,1.5,3.5285521007911,3.5285521007911,3.4518444464261,3.4518444464261,1800.78125
1987-09-14,11.25,11.25,11.12,11.25,973.0,0.0,1.0,3.4518444464261,3.4518444464261,3.4119564661563,3.4518444464261,1900.390625
1987-09-15,11.25,11.38,11.25,11.38,5120.0,0.0,1.0,3.4518444464261,3.4917324266959,3.4518444464261,3.4917324266959,10000.0
1987-09-16,11.5,11.5,11.5,11.5,973.0,0.0,1.0,3.5285521007911,3.5285521007911,3.5285521007911,3.5285521007911,1900.390625
1987-09-17,11.5,11.5,11.38,11.38,154.0,0.0,1.0,3.5285521007911,3.5285521007911,3.4917324266959,3.4917324266959,300.78125
1987-09-18,11.38,11.38,11.25,11.38,3789.0,0.0,1.0,3.4917324266959,3.4917324266959,3.4518444464261,3.4917324266959,7400.390625
1987-09-21,11.38,11.75,11.12,11.12,5120.0,0.0,1.0,3.4917324266959,3.6052597551561,3.4119564661563,3.4119564661563,10000.0
1987-09-22,11.12,11.25,10.75,11.12,7117.0,0.0,1.0,3.4119564661563,3.4518444464261,3.298429137696,3.4119564661563,13900.390625
1987-09-23,11.25,11.5,11.25,11.5,26624.0,0.0,1.0,3.4518444464261,3.5285521007911,3.4518444464261,3.5285521007911,52000.0
1987-09-24,11.5,11.75,11.5,11.5,973.0,0.0,1.0,3.5285521007911,3.6052597551561,3.5285521007911,3.5285521007911,1900.390625
1987-09-25,11.75,11.87,11.75,11.87,12544.0,0.0,1.0,3.6052597551561,3.6420794292513,3.6052597551561,3.6420794292513,24500.0
1987-09-28,12.13,12.25,12.13,12.25,6195.0,0.0,1.0,3.721855389791,3.7586750638862,3.721855389791,3.7586750638862,12099.609375
1987-09-29,11.87,11.87,11.75,11.87,5120.0,0.0,1.0,3.6420794292513,3.6420794292513,3.6052597551561,3.6420794292513,10000.0
1987-09-30,11.87,12.25,11.87,12.25,8499.0,0.0,1.0,3.6420794292513,3.7586750638862,3.6420794292513,3.7586750638862,16599.609375
1987-10-01,12.25,12.5,11.87,12.5,26522.0,0.0,1.0,3.7586750638862,3.8353827182512,3.6420794292513,3.8353827182512,51800.78125
1987-10-02,12.62,13.37,12.62,13.37,36659.0,0.0,1.0,3.8722023923464,4.1023253554415,3.8722023923464,4.1023253554415,71599.609375
1987-10-05,13.37,13.5,13.37,13.37,35174.0,0.0,1.0,4.1023253554415,4.1422133357113,4.1023253554415,4.1023253554415,68699.21875
1987-10-06,13.5,13.87,13.5,13.75,14080.0,0.0,1.0,4.1422133357113,4.2557406641715,4.1422133357113,4.2189209900763,27500.0
1987-10-07,13.87,15.25,13.87,14.87,126208.0,0.0,1.0,4.2557406641715,4.6791669162665,4.2557406641715,4.5625712816316,246500.0
1987-10-08,14.87,14.87,14.38,14.5,94106.0,0.0,1.0,4.5625712816316,4.5625712816316,4.4122242790762,4.4490439531714,183800.78125
1987-10-09,14.5,14.5,14.25,14.38,16384.0,0.0,1.0,4.4490439531714,4.4490439531714,4.3723362988064,4.4122242790762,32000.0
1987-10-12,14.38,14.87,14.38,14.87,32717.0,0.0,1.0,4.4122242790762,4.5625712816316,4.4122242790762,4.5625712816316,63900.390625
1987-10-13,14.87,14.87,14.5,14.5,10291.0,0.0,1.0,4.5625712816316,4.5625712816316,4.4490439531714,4.4490439531714,20099.609375
1987-10-14,14.5,14.75,14.38,14.38,5120.0,0.0,1.0,4.4490439531714,4.5257516075364,4.4122242790762,4.4122242790762,10000.0
1987-10-15,14.38,14.5,13.87,13.87,5171.0,0.0,1.0,4.4122242790762,4.4490439531714,4.2557406641715,4.2557406641715,10099.609375
