Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1992-04-24,11.5,11.75,10.0,10.5,2309800.0,0.0,1.0,11.5,11.75,10.0,10.5,2309800.0
1992-04-27,10.5,10.88,10.37,10.75,575700.0,0.0,1.0,10.5,10.88,10.37,10.75,575700.0
1992-04-28,10.75,10.75,10.37,10.37,104500.0,0.0,1.0,10.75,10.75,10.37,10.37,104500.0
1992-04-29,10.5,11.38,10.5,10.75,220200.0,0.0,1.0,10.5,11.38,10.5,10.75,220200.0
1992-04-30,10.75,11.38,10.75,10.88,15500.0,0.0,1.0,10.75,11.38,10.75,10.88,15500.0
1992-05-01,11.25,11.25,9.75,10.25,63500.0,0.0,1.0,11.25,11.25,9.75,10.25,63500.0
1992-05-04,10.5,10.75,10.25,10.75,47200.0,0.0,1.0,10.5,10.75,10.25,10.75,47200.0
1992-05-05,10.25,10.75,10.0,10.37,122000.0,0.0,1.0,10.25,10.75,10.0,10.37,122000.0
1992-05-06,10.25,11.87,10.25,10.75,229800.0,0.0,1.0,10.25,11.87,10.25,10.75,229800.0
1992-05-07,11.5,11.5,10.25,11.0,45000.0,0.0,1.0,11.5,11.5,10.25,11.0,45000.0
1992-05-08,10.37,10.75,10.0,10.5,144500.0,0.0,1.0,10.37,10.75,10.0,10.5,144500.0
1992-05-11,10.0,10.5,10.0,10.5,34400.0,0.0,1.0,10.0,10.5,10.0,10.5,34400.0
1992-05-12,10.0,10.75,10.0,10.75,14300.0,0.0,1.0,10.0,10.75,10.0,10.75,14300.0
1992-05-13,10.0,10.75,10.0,10.5,17900.0,0.0,1.0,10.0,10.75,10.0,10.5,17900.0
1992-05-14,10.75,10.75,10.0,10.0,16300.0,0.0,1.0,10.75,10.75,10.0,10.0,16300.0
1992-05-15,10.0,10.75,10.0,10.0,5300.0,0.0,1.0,10.0,10.75,10.0,10.0,5300.0
1992-05-18,10.5,10.5,10.0,10.0,3200.0,0.0,1.0,10.5,10.5,10.0,10.0,3200.0
1992-05-19,10.0,10.12,10.0,10.0,15700.0,0.0,1.0,10.0,10.12,10.0,10.0,15700.0
1992-05-20,10.0,10.75,10.0,10.25,86400.0,0.0,1.0,10.0,10.75,10.0,10.25,86400.0
1992-05-21,10.5,11.25,10.0,10.0,111800.0,0.0,1.0,10.5,11.25,10.0,10.0,111800.0
1992-05-22,10.0,10.5,10.0,10.0,3800.0,0.0,1.0,10.0,10.5,10.0,10.0,3800.0
1992-05-26,10.0,10.5,10.0,10.0,6900.0,0.0,1.0,10.0,10.5,10.0,10.0,6900.0
1992-05-27,10.0,10.5,10.0,10.5,10800.0,0.0,1.0,10.0,10.5,10.0,10.5,10800.0
1992-05-28,10.0,10.37,9.75,9.88,17000.0,0.0,1.0,10.0,10.37,9.75,9.88,17000.0
1992-05-29,9.75,9.75,9.75,9.75,1700.0,0.0,1.0,9.75,9.75,9.75,9.75,1700.0
1992-06-01,9.75,10.25,9.75,9.75,32000.0,0.0,1.0,9.75,10.25,9.75,9.75,32000.0
1992-06-02,10.0,10.37,9.75,10.25,30100.0,0.0,1.0,10.0,10.37,9.75,10.25,30100.0
1992-06-03,10.5,11.0,10.5,10.75,8800.0,0.0,1.0,10.5,11.0,10.5,10.75,8800.0
1992-06-04,10.5,11.5,10.5,11.25,34000.0,0.0,1.0,10.5,11.5,10.5,11.25,34000.0
1992-06-05,11.25,11.25,10.75,10.75,21400.0,0.0,1.0,11.25,11.25,10.75,10.75,21400.0
1992-06-08,10.88,11.25,10.75,10.75,72900.0,0.0,1.0,10.88,11.25,10.75,10.75,72900.0
1992-06-09,11.0,11.25,10.75,11.25,105900.0,0.0,1.0,11.0,11.25,10.75,11.25,105900.0
1992-06-10,10.75,11.25,10.75,10.75,25600.0,0.0,1.0,10.75,11.25,10.75,10.75,25600.0
1992-06-11,10.75,11.0,10.25,10.25,97800.0,0.0,1.0,10.75,11.0,10.25,10.25,97800.0
1992-06-12,11.0,11.0,10.25,10.75,16300.0,0.0,1.0,11.0,11.0,10.25,10.75,16300.0
1992-06-15,10.25,10.75,10.25,10.75,1100.0,0.0,1.0,10.25,10.75,10.25,10.75,1100.0
1992-06-16,10.25,10.75,10.25,10.25,6600.0,0.0,1.0,10.25,10.75,10.25,10.25,6600.0
1992-06-17,10.25,10.25,9.25,9.25,107400.0,0.0,1.0,10.25,10.25,9.25,9.25,107400.0
1992-06-18,9.25,10.0,9.25,9.25,11300.0,0.0,1.0,9.25,10.0,9.25,9.25,11300.0
1992-06-19,10.0,10.0,9.25,10.0,26800.0,0.0,1.0,10.0,10.0,9.25,10.0,26800.0
1992-06-22,9.5,10.0,9.5,10.0,1900.0,0.0,1.0,9.5,10.0,9.5,10.0,1900.0
1992-06-23,9.5,9.5,9.25,9.38,21100.0,0.0,1.0,9.5,9.5,9.25,9.38,21100.0
1992-06-24,9.25,10.0,9.25,9.25,800.0,0.0,1.0,9.25,10.0,9.25,9.25,800.0
