Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1991-03-27,10.0,10.5,10.0,10.38,27300.0,0.0,1.0,2.9905754359728,3.1401042077714,2.9905754359728,3.1042173025398,27300.0
1991-03-28,10.38,10.38,9.12,10.12,7900.0,0.0,1.0,3.1042173025398,3.1042173025398,2.7274047976072,3.0264623412045,7900.0
1991-04-01,10.38,11.0,10.38,10.75,8200.0,0.0,1.0,3.1042173025398,3.2896329795701,3.1042173025398,3.2148685936707,8200.0
1991-04-02,10.75,10.88,10.5,10.62,3400.0,0.0,1.0,3.2148685936707,3.2537460743384,3.1401042077714,3.1759911130031,3400.0
1991-04-03,10.5,10.5,10.0,10.0,3800.0,0.0,1.0,3.1401042077714,3.1401042077714,2.9905754359728,2.9905754359728,3800.0
1991-04-04,10.0,10.38,9.88,10.12,6000.0,0.0,1.0,2.9905754359728,3.1042173025398,2.9546885307411,3.0264623412045,6000.0
1991-04-05,10.12,10.38,10.0,10.0,5800.0,0.0,1.0,3.0264623412045,3.1042173025398,2.9905754359728,2.9905754359728,5800.0
1991-04-08,10.0,10.12,9.88,10.12,1800.0,0.0,1.0,2.9905754359728,3.0264623412045,2.9546885307411,3.0264623412045,1800.0
1991-04-09,10.0,10.0,9.62,9.75,4000.0,0.0,1.0,2.9905754359728,2.9905754359728,2.8769335694058,2.9158110500735,4000.0
1991-04-10,9.75,9.88,9.5,9.62,2200.0,0.0,1.0,2.9158110500735,2.9546885307411,2.8410466641742,2.8769335694058,2200.0
1991-04-11,9.62,9.62,9.25,9.62,4400.0,0.0,1.0,2.8769335694058,2.8769335694058,2.7662822782748,2.8769335694058,4400.0
1991-04-12,9.5,9.5,9.25,9.5,7500.0,0.0,1.0,2.8410466641742,2.8410466641742,2.7662822782748,2.8410466641742,7500.0
1991-04-15,9.25,9.25,9.0,9.0,4100.0,0.0,1.0,2.7662822782748,2.7662822782748,2.6915178923755,2.6915178923755,4100.0
1991-04-16,9.0,9.12,8.88,8.88,5500.0,0.0,1.0,2.6915178923755,2.7274047976072,2.6556309871438,2.6556309871438,5500.0
1991-04-17,8.88,9.0,8.88,8.88,3600.0,0.0,1.0,2.6556309871438,2.6915178923755,2.6556309871438,2.6556309871438,3600.0
1991-04-18,8.88,9.0,8.75,9.0,5800.0,0.0,1.0,2.6556309871438,2.6915178923755,2.6167535064762,2.6915178923755,5800.0
1991-04-19,9.0,9.0,8.75,8.75,3600.0,0.0,1.0,2.6915178923755,2.6915178923755,2.6167535064762,2.6167535064762,3600.0
1991-04-22,8.75,9.0,8.62,8.75,8900.0,0.0,1.0,2.6167535064762,2.6915178923755,2.5778760258085,2.6167535064762,8900.0
1991-04-23,8.75,8.88,8.75,8.75,8300.0,0.0,1.0,2.6167535064762,2.6556309871438,2.6167535064762,2.6167535064762,8300.0
1991-04-24,8.88,9.25,8.88,9.12,4600.0,0.0,1.0,2.6556309871438,2.7662822782748,2.6556309871438,2.7274047976072,4600.0
1991-04-25,9.12,9.38,8.88,9.0,5000.0,0.0,1.0,2.7274047976072,2.8051597589425,2.6556309871438,2.6915178923755,5000.0
1991-04-26,9.0,9.62,9.0,9.62,4800.0,0.0,1.0,2.6915178923755,2.8769335694058,2.6915178923755,2.8769335694058,4800.0
1991-04-29,9.62,10.0,9.5,10.0,7200.0,0.0,1.0,2.8769335694058,2.9905754359728,2.8410466641742,2.9905754359728,7200.0
1991-04-30,10.0,10.38,9.88,10.38,3900.0,0.0,1.0,2.9905754359728,3.1042173025398,2.9546885307411,3.1042173025398,3900.0
1991-05-01,10.38,10.5,10.25,10.38,3100.0,0.0,1.0,3.1042173025398,3.1401042077714,3.0653398218721,3.1042173025398,3100.0
1991-05-02,10.38,10.62,10.38,10.38,4000.0,0.0,1.0,3.1042173025398,3.1759911130031,3.1042173025398,3.1042173025398,4000.0
1991-05-03,10.5,11.62,10.5,11.62,8800.0,0.0,1.0,3.1401042077714,3.4750486566004,3.1401042077714,3.4750486566004,8800.0
1991-05-06,11.5,11.5,11.38,11.38,3000.0,0.0,1.0,3.4391617513687,3.4391617513687,3.403274846137,3.403274846137,3000.0
1991-05-07,11.38,11.5,11.12,11.38,8300.0,0.0,1.0,3.403274846137,3.4391617513687,3.3255198848017,3.403274846137,8300.0
1991-05-08,11.38,11.38,11.25,11.38,1100.0,0.0,1.0,3.403274846137,3.403274846137,3.3643973654694,3.403274846137,1100.0
1991-05-09,11.38,11.38,11.38,11.38,1200.0,0.0,1.0,3.403274846137,3.403274846137,3.403274846137,3.403274846137,1200.0
1991-05-10,11.38,11.38,11.38,11.38,4100.0,0.0,1.0,3.403274846137,3.403274846137,3.403274846137,3.403274846137,4100.0
1991-05-13,11.25,11.25,10.88,11.0,3900.0,0.0,1.0,3.3643973654694,3.3643973654694,3.2537460743384,3.2896329795701,3900.0
1991-05-14,11.0,11.0,10.75,10.88,4400.0,0.0,1.0,3.2896329795701,3.2896329795701,3.2148685936707,3.2537460743384,4400.0
1991-05-15,10.88,11.0,10.75,10.88,3900.0,0.0,1.0,3.2537460743384,3.2896329795701,3.2148685936707,3.2537460743384,3900.0
1991-05-16,11.0,11.25,11.0,11.25,1400.0,0.0,1.0,3.2896329795701,3.3643973654694,3.2896329795701,3.3643973654694,1400.0
1991-05-17,11.25,11.25,11.12,11.25,1200.0,0.0,1.0,3.3643973654694,3.3643973654694,3.3255198848017,3.3643973654694,1200.0
1991-05-20,11.25,11.38,11.25,11.38,1300.0,0.0,1.0,3.3643973654694,3.403274846137,3.3643973654694,3.403274846137,1300.0
1991-05-21,11.38,11.5,11.25,11.25,2300.0,0.0,1.0,3.403274846137,3.4391617513687,3.3643973654694,3.3643973654694,2300.0
1991-05-22,11.25,11.38,11.12,11.38,3000.0,0.0,1.0,3.3643973654694,3.403274846137,3.3255198848017,3.403274846137,3000.0
1991-05-23,11.38,11.75,11.38,11.75,4100.0,0.0,1.0,3.403274846137,3.513926137268,3.403274846137,3.513926137268,4100.0
1991-05-24,11.75,11.88,11.62,11.75,800.0,0.0,1.0,3.513926137268,3.5528036179357,3.4750486566004,3.513926137268,800.0
1991-05-28,11.75,11.75,11.75,11.75,1000.0,0.0,1.0,3.513926137268,3.513926137268,3.513926137268,3.513926137268,1000.0
1991-05-29,11.75,12.0,11.62,11.88,1600.0,0.0,1.0,3.513926137268,3.5886905231673,3.4750486566004,3.5528036179357,1600.0
1991-05-30,11.88,12.12,11.88,11.88,2100.0,0.0,1.0,3.5528036179357,3.624577428399,3.5528036179357,3.5528036179357,2100.0
1991-05-31,11.88,11.88,11.5,11.5,3300.0,0.0,1.0,3.5528036179357,3.5528036179357,3.4391617513687,3.4391617513687,3300.0
1991-06-03,11.5,11.62,11.38,11.62,1600.0,0.0,1.0,3.4391617513687,3.4750486566004,3.403274846137,3.4750486566004,1600.0
1991-06-04,11.5,11.5,11.38,11.38,2300.0,0.0,1.0,3.4391617513687,3.4391617513687,3.403274846137,3.403274846137,2300.0
1991-06-05,11.38,11.5,11.12,11.38,4600.0,0.0,1.0,3.403274846137,3.4391617513687,3.3255198848017,3.403274846137,4600.0
