Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1990-03-26,11.63,12.0,11.25,11.5,20900.0,0.0,1.0,11.63,12.0,11.25,11.5,20900.0
1990-03-27,12.0,12.0,11.25,11.75,106900.0,0.0,1.0,12.0,12.0,11.25,11.75,106900.0
1990-03-28,11.25,11.5,11.25,11.25,5300.0,0.0,1.0,11.25,11.5,11.25,11.25,5300.0
1990-03-29,11.25,11.5,11.25,11.25,5000.0,0.0,1.0,11.25,11.5,11.25,11.25,5000.0
1990-03-30,11.5,11.5,11.25,11.5,1600.0,0.0,1.0,11.5,11.5,11.25,11.5,1600.0
1990-04-02,11.25,11.5,11.25,11.5,1300.0,0.0,1.0,11.25,11.5,11.25,11.5,1300.0
1990-04-03,11.25,11.25,11.25,11.25,700.0,0.0,1.0,11.25,11.25,11.25,11.25,700.0
1990-04-04,11.25,11.5,10.5,11.25,27500.0,0.0,1.0,11.25,11.5,10.5,11.25,27500.0
1990-04-05,11.25,11.25,10.75,11.25,2500.0,0.0,1.0,11.25,11.25,10.75,11.25,2500.0
1990-04-06,11.25,11.25,10.75,11.25,900.0,0.0,1.0,11.25,11.25,10.75,11.25,900.0
1990-04-09,10.75,11.0,10.75,10.75,10400.0,0.0,1.0,10.75,11.0,10.75,10.75,10400.0
1990-04-10,10.75,10.88,10.75,10.88,2100.0,0.0,1.0,10.75,10.88,10.75,10.88,2100.0
1990-04-11,11.0,11.0,10.75,10.75,4300.0,0.0,1.0,11.0,11.0,10.75,10.75,4300.0
1990-04-12,10.75,10.75,10.75,10.75,300.0,0.0,1.0,10.75,10.75,10.75,10.75,300.0
1990-04-16,10.75,11.0,10.75,11.0,9400.0,0.0,1.0,10.75,11.0,10.75,11.0,9400.0
1990-04-17,11.0,11.0,10.75,10.75,36900.0,0.0,1.0,11.0,11.0,10.75,10.75,36900.0
1990-04-18,10.75,11.0,10.75,10.75,8200.0,0.0,1.0,10.75,11.0,10.75,10.75,8200.0
1990-04-19,10.75,10.75,10.75,10.75,4800.0,0.0,1.0,10.75,10.75,10.75,10.75,4800.0
1990-04-20,10.75,11.0,10.75,11.0,4000.0,0.0,1.0,10.75,11.0,10.75,11.0,4000.0
1990-04-23,11.0,11.0,11.0,11.0,0.0,0.0,1.0,11.0,11.0,11.0,11.0,0.0
1990-04-24,10.75,11.0,10.75,11.0,800.0,0.0,1.0,10.75,11.0,10.75,11.0,800.0
1990-04-25,10.75,11.0,10.75,11.0,900.0,0.0,1.0,10.75,11.0,10.75,11.0,900.0
1990-04-26,10.75,11.0,10.75,10.75,32100.0,0.0,1.0,10.75,11.0,10.75,10.75,32100.0
1990-04-27,10.88,10.88,10.75,10.75,2500.0,0.0,1.0,10.88,10.88,10.75,10.75,2500.0
1990-04-30,11.0,11.0,10.75,10.75,15900.0,0.0,1.0,11.0,11.0,10.75,10.75,15900.0
1990-05-01,10.75,10.75,10.75,10.75,800.0,0.0,1.0,10.75,10.75,10.75,10.75,800.0
1990-05-02,11.0,11.0,10.75,10.75,19400.0,0.0,1.0,11.0,11.0,10.75,10.75,19400.0
1990-05-03,10.75,10.88,10.75,10.75,36500.0,0.0,1.0,10.75,10.88,10.75,10.75,36500.0
1990-05-04,11.25,11.25,11.25,11.25,1000.0,0.0,1.0,11.25,11.25,11.25,11.25,1000.0
1990-05-07,11.25,11.25,10.75,11.25,400.0,0.0,1.0,11.25,11.25,10.75,11.25,400.0
1990-05-08,11.25,11.25,10.75,10.75,3300.0,0.0,1.0,11.25,11.25,10.75,10.75,3300.0
