Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1986-07-09,12.0,13.0,11.88,13.0,126600.0,0.0,1.0,0.30161737078399,0.32675215168266,0.29860119707615,0.32675215168266,4051200.0
1986-07-10,13.0,13.12,12.62,12.88,159700.0,0.0,1.0,0.32675215168266,0.3297683253905,0.31720093494116,0.32373597797482,5110400.0
1986-07-11,12.88,12.88,12.0,12.12,85000.0,0.0,1.0,0.32373597797482,0.32373597797482,0.30161737078399,0.30463354449183,2720000.0
1986-07-14,12.12,12.12,11.75,12.0,42000.0,0.0,1.0,0.30463354449183,0.30463354449183,0.29533367555932,0.30161737078399,1344000.0
1986-07-15,12.12,12.12,11.88,12.0,69700.0,0.0,1.0,0.30463354449183,0.30463354449183,0.29860119707615,0.30161737078399,2230400.0
1986-07-16,11.88,12.0,11.88,12.0,24200.0,0.0,1.0,0.29860119707615,0.30161737078399,0.29860119707615,0.30161737078399,774400.0
1986-07-17,12.0,12.0,11.75,11.88,72900.0,0.0,1.0,0.30161737078399,0.30161737078399,0.29533367555932,0.29860119707615,2332800.0
1986-07-18,11.88,12.0,11.88,11.88,22900.0,0.0,1.0,0.29860119707615,0.30161737078399,0.29860119707615,0.29860119707615,732800.0
1986-07-21,12.0,12.0,11.62,11.75,29900.0,0.0,1.0,0.30161737078399,0.30161737078399,0.2920661540425,0.29533367555932,956800.0
1986-07-22,11.75,11.75,11.62,11.62,21500.0,0.0,1.0,0.29533367555932,0.29533367555932,0.2920661540425,0.2920661540425,688000.0
1986-07-23,11.62,11.62,10.75,10.75,55100.0,0.0,1.0,0.2920661540425,0.2920661540425,0.27019889466066,0.27019889466066,1763200.0
1986-07-24,10.75,11.12,10.25,10.5,49100.0,0.0,1.0,0.27019889466066,0.27949876359316,0.25763150421133,0.26391519943599,1571200.0
1986-07-25,10.5,10.5,10.0,10.12,44000.0,0.0,1.0,0.26391519943599,0.26391519943599,0.25134780898666,0.2543639826945,1408000.0
1986-07-28,10.38,10.38,10.12,10.38,24500.0,0.0,1.0,0.26089902572815,0.26089902572815,0.2543639826945,0.26089902572815,784000.0
1986-07-29,10.38,10.38,10.12,10.25,74600.0,0.0,1.0,0.26089902572815,0.26089902572815,0.2543639826945,0.25763150421133,2387200.0
1986-07-30,10.12,10.25,10.0,10.25,81300.0,0.0,1.0,0.2543639826945,0.25763150421133,0.25134780898666,0.25763150421133,2601600.0
1986-07-31,10.12,10.38,10.12,10.25,75400.0,0.0,1.0,0.2543639826945,0.26089902572815,0.2543639826945,0.25763150421133,2412800.0
1986-08-01,10.38,10.38,10.12,10.38,37600.0,0.0,1.0,0.26089902572815,0.26089902572815,0.2543639826945,0.26089902572815,1203200.0
1986-08-04,10.38,10.38,10.25,10.38,17700.0,0.0,1.0,0.26089902572815,0.26089902572815,0.25763150421133,0.26089902572815,566400.0
1986-08-05,10.38,10.88,10.25,10.75,50400.0,0.0,1.0,0.26089902572815,0.27346641617748,0.25763150421133,0.27019889466066,1612800.0
1986-08-06,10.75,10.75,10.5,10.62,55900.0,0.0,1.0,0.27019889466066,0.27019889466066,0.26391519943599,0.26693137314383,1788800.0
1986-08-07,10.75,10.88,10.62,10.75,101200.0,0.0,1.0,0.27019889466066,0.27346641617748,0.26693137314383,0.27019889466066,3238400.0
