Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-03-24,63.0,79.94,62.98,69.38,7420400.0,0.0,1.0,63.0,79.94,62.98,69.38,7420400.0
2000-03-27,65.13,76.63,64.5,75.0,1321000.0,0.0,1.0,65.13,76.63,64.5,75.0,1321000.0
2000-03-28,74.94,97.0,72.5,89.06,1451000.0,0.0,1.0,74.94,97.0,72.5,89.06,1451000.0
2000-03-29,90.0,105.8,85.0,93.13,1272700.0,0.0,1.0,90.0,105.8,85.0,93.13,1272700.0
2000-03-30,94.94,96.0,71.38,85.0,812100.0,0.0,1.0,94.94,96.0,71.38,85.0,812100.0
2000-03-31,85.0,89.0,74.5,88.5,780000.0,0.0,1.0,85.0,89.0,74.5,88.5,780000.0
2000-04-03,86.63,87.88,72.5,73.19,432400.0,0.0,1.0,86.63,87.88,72.5,73.19,432400.0
2000-04-04,75.0,79.0,57.0,77.0,626800.0,0.0,1.0,75.0,79.0,57.0,77.0,626800.0
2000-04-05,76.38,82.0,69.63,70.5,310000.0,0.0,1.0,76.38,82.0,69.63,70.5,310000.0
2000-04-06,78.88,83.5,71.5,77.88,368400.0,0.0,1.0,78.88,83.5,71.5,77.88,368400.0
2000-04-07,77.31,85.69,74.0,82.0,166300.0,0.0,1.0,77.31,85.69,74.0,82.0,166300.0
2000-04-10,79.0,82.0,74.25,75.0,231200.0,0.0,1.0,79.0,82.0,74.25,75.0,231200.0
2000-04-11,68.0,78.75,66.13,74.75,147300.0,0.0,1.0,68.0,78.75,66.13,74.75,147300.0
2000-04-12,74.78,76.0,68.75,69.0,158800.0,0.0,1.0,74.78,76.0,68.75,69.0,158800.0
2000-04-13,69.75,73.0,66.25,72.0,141600.0,0.0,1.0,69.75,73.0,66.25,72.0,141600.0
2000-04-14,72.0,72.0,60.0,63.0,127300.0,0.0,1.0,72.0,72.0,60.0,63.0,127300.0
2000-04-17,60.06,70.0,56.0,70.0,163400.0,0.0,1.0,60.06,70.0,56.0,70.0,163400.0
2000-04-18,72.5,85.0,71.0,82.5,198900.0,0.0,1.0,72.5,85.0,71.0,82.5,198900.0
2000-04-19,83.75,85.0,76.88,81.0,89800.0,0.0,1.0,83.75,85.0,76.88,81.0,89800.0
2000-04-20,78.5,80.0,75.0,75.06,64200.0,0.0,1.0,78.5,80.0,75.0,75.06,64200.0
2000-04-24,75.0,80.0,69.0,74.31,58000.0,0.0,1.0,75.0,80.0,69.0,74.31,58000.0
2000-04-25,75.44,83.88,75.0,80.75,87600.0,0.0,1.0,75.44,83.88,75.0,80.75,87600.0
2000-04-26,81.88,82.0,78.38,79.44,77500.0,0.0,1.0,81.88,82.0,78.38,79.44,77500.0
