Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1987-12-30,20.25,20.62,20.25,20.38,15800.0,0.0,1.0,5.727344616527,5.8319923947055,5.727344616527,5.7641127548059,15800.0
1987-12-31,20.38,20.5,20.25,20.38,16400.0,0.0,1.0,5.7641127548059,5.7980525747557,5.727344616527,5.7641127548059,16400.0
1988-01-04,20.5,20.88,20.38,20.88,8000.0,0.0,1.0,5.7980525747557,5.9055286712634,5.7641127548059,5.9055286712634,8000.0
1988-01-05,21.0,22.12,21.0,21.88,39500.0,0.0,1.0,5.9394684912132,6.2562401440779,5.9394684912132,6.1883605041783,39500.0
1988-01-06,21.62,21.88,21.12,21.5,29900.0,0.0,1.0,6.1148242276204,6.1883605041783,5.973408311163,6.0808844076706,29900.0
1988-01-07,21.25,21.38,21.25,21.38,4700.0,0.0,1.0,6.0101764494419,6.0469445877209,6.0101764494419,6.0469445877209,4700.0
1988-01-08,21.38,21.38,20.88,20.88,18500.0,0.0,1.0,6.0469445877209,6.0469445877209,5.9055286712634,5.9055286712634,18500.0
1988-01-11,20.62,20.88,20.5,20.75,11300.0,0.0,1.0,5.8319923947055,5.9055286712634,5.7980525747557,5.8687605329845,11300.0
1988-01-12,20.75,21.0,20.5,20.75,8100.0,0.0,1.0,5.8687605329845,5.9394684912132,5.7980525747557,5.8687605329845,8100.0
1988-01-13,20.62,20.75,20.5,20.75,18200.0,0.0,1.0,5.8319923947055,5.8687605329845,5.7980525747557,5.8687605329845,18200.0
1988-01-14,20.62,20.75,20.5,20.75,11300.0,0.0,1.0,5.8319923947055,5.8687605329845,5.7980525747557,5.8687605329845,11300.0
1988-01-15,20.88,20.88,20.5,20.5,9500.0,0.0,1.0,5.9055286712634,5.9055286712634,5.7980525747557,5.7980525747557,9500.0
1988-01-18,20.62,20.88,20.5,20.62,53100.0,0.0,1.0,5.8319923947055,5.9055286712634,5.7980525747557,5.8319923947055,53100.0
1988-01-19,20.75,20.88,20.62,20.88,34400.0,0.0,1.0,5.8687605329845,5.9055286712634,5.8319923947055,5.9055286712634,34400.0
1988-01-20,20.62,20.88,20.5,20.75,10200.0,0.0,1.0,5.8319923947055,5.9055286712634,5.7980525747557,5.8687605329845,10200.0
1988-01-21,20.62,20.75,20.62,20.75,4400.0,0.0,1.0,5.8319923947055,5.8687605329845,5.8319923947055,5.8687605329845,4400.0
1988-01-22,20.62,20.88,20.62,20.88,7400.0,0.0,1.0,5.8319923947055,5.9055286712634,5.8319923947055,5.9055286712634,7400.0
1988-01-25,21.0,21.38,21.0,21.12,17800.0,0.0,1.0,5.9394684912132,6.0469445877209,5.9394684912132,5.973408311163,17800.0
1988-01-26,21.25,21.62,21.12,21.25,14500.0,0.0,1.0,6.0101764494419,6.1148242276204,5.973408311163,6.0101764494419,14500.0
1988-01-27,21.12,21.62,21.12,21.62,19800.0,0.0,1.0,5.973408311163,6.1148242276204,5.973408311163,6.1148242276204,19800.0
1988-01-28,21.75,22.38,21.75,22.38,14900.0,0.0,1.0,6.1515923658994,6.3297764206358,6.1515923658994,6.3297764206358,14900.0
1988-01-29,22.38,22.5,22.38,22.38,28200.0,0.0,1.0,6.3297764206358,6.3637162405856,6.3297764206358,6.3297764206358,28200.0
1988-02-01,22.5,22.62,22.5,22.62,20800.0,0.0,1.0,6.3637162405856,6.3976560605353,6.3637162405856,6.3976560605353,20800.0
