Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1993-04-20,18.5,19.0,18.5,19.0,333.0,0.0,1.0,2.2673224009252,2.328601384734,2.2673224009252,2.328601384734,1398.6
1993-04-21,18.5,18.5,18.5,18.5,190.0,0.0,1.0,2.2673224009252,2.2673224009252,2.2673224009252,2.2673224009252,798.0
1993-04-22,18.5,19.0,18.5,19.0,1190.0,0.0,1.0,2.2673224009252,2.328601384734,2.2673224009252,2.328601384734,4998.0
1993-04-23,19.0,19.0,19.0,19.0,0.0,0.0,1.0,2.328601384734,2.328601384734,2.328601384734,2.328601384734,0.0
1993-04-26,19.0,19.0,19.0,19.0,0.0,0.0,1.0,2.328601384734,2.328601384734,2.328601384734,2.328601384734,0.0
1993-04-27,19.5,19.5,19.5,19.5,190.0,0.0,1.0,2.3898803685428,2.3898803685428,2.3898803685428,2.3898803685428,798.0
1993-04-28,20.0,20.0,20.0,20.0,2476.0,0.0,1.0,2.4511593523515,2.4511593523515,2.4511593523515,2.4511593523515,10399.2
1993-04-29,19.12,20.0,19.12,20.0,3714.0,0.0,1.0,2.3433083408481,2.4511593523515,2.3433083408481,2.4511593523515,15598.8
1993-04-30,20.0,20.0,20.0,20.0,0.0,0.0,1.0,2.4511593523515,2.4511593523515,2.4511593523515,2.4511593523515,0.0
1993-05-03,19.5,19.5,19.5,19.5,905.0,0.0,1.0,2.3898803685428,2.3898803685428,2.3898803685428,2.3898803685428,3801.0
1993-05-04,19.5,19.5,19.5,19.5,0.0,0.0,1.0,2.3898803685428,2.3898803685428,2.3898803685428,2.3898803685428,0.0
1993-05-05,19.5,19.5,19.5,19.5,0.0,0.0,1.0,2.3898803685428,2.3898803685428,2.3898803685428,2.3898803685428,0.0
1993-05-06,19.5,19.5,18.5,18.5,857.0,0.0,1.0,2.3898803685428,2.3898803685428,2.2673224009252,2.2673224009252,3599.4
