Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1994-12-28,8.62,8.75,8.38,8.38,25000.0,0.0,1.0,8.62,8.75,8.38,8.38,25000.0
1994-12-29,8.38,8.62,8.38,8.62,32100.0,0.0,1.0,8.38,8.62,8.38,8.62,32100.0
1994-12-30,8.62,9.0,8.5,9.0,53700.0,0.0,1.0,8.62,9.0,8.5,9.0,53700.0
1995-01-03,8.69,8.94,8.62,8.62,6200.0,0.0,1.0,8.69,8.94,8.62,8.62,6200.0
1995-01-04,8.88,8.88,8.5,8.62,7600.0,0.0,1.0,8.88,8.88,8.5,8.62,7600.0
1995-01-05,8.62,9.38,8.5,9.19,71000.0,0.0,1.0,8.62,9.38,8.5,9.19,71000.0
1995-01-06,9.38,9.38,9.25,9.25,16600.0,0.0,1.0,9.38,9.38,9.25,9.25,16600.0
1995-01-09,9.5,9.5,9.44,9.5,25500.0,0.0,1.0,9.5,9.5,9.44,9.5,25500.0
1995-01-10,9.5,9.5,9.25,9.5,23200.0,0.0,1.0,9.5,9.5,9.25,9.5,23200.0
1995-01-11,9.38,10.0,9.38,9.62,79100.0,0.0,1.0,9.38,10.0,9.38,9.62,79100.0
1995-01-12,9.62,9.88,9.62,9.75,47000.0,0.0,1.0,9.62,9.88,9.62,9.75,47000.0
1995-01-13,9.88,9.88,9.62,9.69,5100.0,0.0,1.0,9.88,9.88,9.62,9.69,5100.0
1995-01-16,9.75,10.0,9.75,10.0,100700.0,0.0,1.0,9.75,10.0,9.75,10.0,100700.0
1995-01-17,10.25,10.25,10.12,10.25,61300.0,0.0,1.0,10.25,10.25,10.12,10.25,61300.0
1995-01-18,10.25,10.44,10.25,10.25,26200.0,0.0,1.0,10.25,10.44,10.25,10.25,26200.0
1995-01-19,10.38,10.5,10.25,10.25,18400.0,0.0,1.0,10.38,10.5,10.25,10.25,18400.0
1995-01-20,10.25,10.25,9.75,10.0,17400.0,0.0,1.0,10.25,10.25,9.75,10.0,17400.0
1995-01-23,9.75,9.75,9.25,9.5,36400.0,0.0,1.0,9.75,9.75,9.25,9.5,36400.0
1995-01-24,9.62,9.75,9.5,9.62,6900.0,0.0,1.0,9.62,9.75,9.5,9.62,6900.0
1995-01-25,9.75,9.75,9.5,9.75,3700.0,0.0,1.0,9.75,9.75,9.5,9.75,3700.0
1995-01-26,9.38,9.69,9.38,9.5,11500.0,0.0,1.0,9.38,9.69,9.38,9.5,11500.0
1995-01-27,9.75,9.75,9.62,9.62,7500.0,0.0,1.0,9.75,9.75,9.62,9.62,7500.0
1995-01-30,9.62,9.75,9.25,9.5,11900.0,0.0,1.0,9.62,9.75,9.25,9.5,11900.0
1995-01-31,9.5,9.62,9.25,9.62,14500.0,0.0,1.0,9.5,9.62,9.25,9.62,14500.0
1995-02-01,9.62,9.62,9.25,9.25,7600.0,0.0,1.0,9.62,9.62,9.25,9.25,7600.0
1995-02-02,9.25,9.38,9.12,9.38,4500.0,0.0,1.0,9.25,9.38,9.12,9.38,4500.0
1995-02-03,9.38,9.38,9.0,9.38,7700.0,0.0,1.0,9.38,9.38,9.0,9.38,7700.0
1995-02-06,9.38,9.38,9.0,9.12,21600.0,0.0,1.0,9.38,9.38,9.0,9.12,21600.0
1995-02-07,9.0,9.38,9.0,9.12,2600.0,0.0,1.0,9.0,9.38,9.0,9.12,2600.0
1995-02-08,9.0,9.38,9.0,9.38,1000.0,0.0,1.0,9.0,9.38,9.0,9.38,1000.0
1995-02-09,9.12,9.12,9.12,9.12,1300.0,0.0,1.0,9.12,9.12,9.12,9.12,1300.0
1995-02-10,9.12,9.12,9.12,9.12,0.0,0.0,1.0,9.12,9.12,9.12,9.12,0.0
1995-02-13,9.38,9.38,9.12,9.12,400.0,0.0,1.0,9.38,9.38,9.12,9.12,400.0
1995-02-14,9.38,9.5,9.12,9.25,12800.0,0.0,1.0,9.38,9.5,9.12,9.25,12800.0
1995-02-15,9.5,9.5,9.25,9.38,39000.0,0.0,1.0,9.5,9.5,9.25,9.38,39000.0
1995-02-16,9.5,9.88,9.5,9.88,6200.0,0.0,1.0,9.5,9.88,9.5,9.88,6200.0
1995-02-17,9.88,9.88,9.88,9.88,0.0,0.0,1.0,9.88,9.88,9.88,9.88,0.0
1995-02-21,10.0,10.0,9.75,10.0,9800.0,0.0,1.0,10.0,10.0,9.75,10.0,9800.0
1995-02-22,10.0,10.0,9.75,9.88,9100.0,0.0,1.0,10.0,10.0,9.75,9.88,9100.0
1995-02-23,10.0,10.25,9.94,10.0,32200.0,0.0,1.0,10.0,10.25,9.94,10.0,32200.0
1995-02-24,10.25,10.25,10.0,10.06,20000.0,0.0,1.0,10.25,10.25,10.0,10.06,20000.0
1995-02-27,9.88,10.12,9.88,9.88,12700.0,0.0,1.0,9.88,10.12,9.88,9.88,12700.0
1995-02-28,9.94,10.12,9.88,10.12,40600.0,0.0,1.0,9.94,10.12,9.88,10.12,40600.0
1995-03-01,10.25,10.25,10.12,10.12,1300.0,0.0,1.0,10.25,10.25,10.12,10.12,1300.0
1995-03-02,10.12,10.12,10.12,10.12,0.0,0.0,1.0,10.12,10.12,10.12,10.12,0.0
1995-03-03,10.12,10.12,10.12,10.12,400.0,0.0,1.0,10.12,10.12,10.12,10.12,400.0
1995-03-06,9.88,9.88,9.88,9.88,1700.0,0.0,1.0,9.88,9.88,9.88,9.88,1700.0
1995-03-07,9.88,9.88,9.62,9.62,7300.0,0.0,1.0,9.88,9.88,9.62,9.62,7300.0
1995-03-08,9.62,9.62,9.38,9.38,7500.0,0.0,1.0,9.62,9.62,9.38,9.38,7500.0
1995-03-09,9.25,9.62,9.25,9.62,2500.0,0.0,1.0,9.25,9.62,9.25,9.62,2500.0
1995-03-10,9.62,9.62,9.62,9.62,0.0,0.0,1.0,9.62,9.62,9.62,9.62,0.0
1995-03-13,9.62,9.62,9.62,9.62,0.0,0.0,1.0,9.62,9.62,9.62,9.62,0.0
1995-03-14,9.62,9.62,9.62,9.62,0.0,0.0,1.0,9.62,9.62,9.62,9.62,0.0
1995-03-15,9.25,9.25,9.25,9.25,10300.0,0.0,1.0,9.25,9.25,9.25,9.25,10300.0
1995-03-16,9.0,9.25,8.75,9.0,25000.0,0.0,1.0,9.0,9.25,8.75,9.0,25000.0
1995-03-17,9.0,9.0,8.62,8.75,18000.0,0.0,1.0,9.0,9.0,8.62,8.75,18000.0
1995-03-20,8.5,8.56,8.12,8.12,21000.0,0.0,1.0,8.5,8.56,8.12,8.12,21000.0
1995-03-21,8.25,8.62,8.0,8.12,82200.0,0.0,1.0,8.25,8.62,8.0,8.12,82200.0
1995-03-22,8.38,8.38,8.0,8.12,88100.0,0.0,1.0,8.38,8.38,8.0,8.12,88100.0
1995-03-23,8.5,8.5,8.5,8.5,3300.0,0.0,1.0,8.5,8.5,8.5,8.5,3300.0
1995-03-24,8.12,8.62,8.12,8.5,4400.0,0.0,1.0,8.12,8.62,8.12,8.5,4400.0
1995-03-27,8.62,8.62,8.62,8.62,1000.0,0.0,1.0,8.62,8.62,8.62,8.62,1000.0
1995-03-28,8.38,8.62,8.38,8.62,12000.0,0.0,1.0,8.38,8.62,8.38,8.62,12000.0
1995-03-29,8.62,8.62,8.62,8.62,0.0,0.0,1.0,8.62,8.62,8.62,8.62,0.0
1995-03-30,8.75,8.88,8.5,8.5,26500.0,0.0,1.0,8.75,8.88,8.5,8.5,26500.0
1995-03-31,9.0,9.12,9.0,9.12,3700.0,0.0,1.0,9.0,9.12,9.0,9.12,3700.0
1995-04-03,9.12,9.12,9.0,9.12,1700.0,0.0,1.0,9.12,9.12,9.0,9.12,1700.0
1995-04-04,9.12,9.12,9.06,9.12,8700.0,0.0,1.0,9.12,9.12,9.06,9.12,8700.0
1995-04-05,9.12,9.12,9.12,9.12,0.0,0.0,1.0,9.12,9.12,9.12,9.12,0.0
1995-04-06,9.25,9.38,9.12,9.12,23400.0,0.0,1.0,9.25,9.38,9.12,9.12,23400.0
1995-04-07,9.25,9.38,9.12,9.38,26500.0,0.0,1.0,9.25,9.38,9.12,9.38,26500.0
1995-04-10,9.38,9.62,9.25,9.5,25800.0,0.0,1.0,9.38,9.62,9.25,9.5,25800.0
1995-04-11,9.62,9.62,9.62,9.62,3300.0,0.0,1.0,9.62,9.62,9.62,9.62,3300.0
1995-04-12,9.5,9.62,9.38,9.62,6300.0,0.0,1.0,9.5,9.62,9.38,9.62,6300.0
