Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1995-11-17,10.75,10.75,10.0,10.0,1867800.0,0.0,1.0,10.75,10.75,10.0,10.0,1867800.0
1995-11-20,10.38,10.38,10.0,10.0,314000.0,0.0,1.0,10.38,10.38,10.0,10.0,314000.0
1995-11-21,10.38,10.38,9.5,9.5,296700.0,0.0,1.0,10.38,10.38,9.5,9.5,296700.0
1995-11-22,10.0,10.0,9.5,9.5,216200.0,0.0,1.0,10.0,10.0,9.5,9.5,216200.0
1995-11-24,9.75,9.75,9.5,9.75,20500.0,0.0,1.0,9.75,9.75,9.5,9.75,20500.0
1995-11-27,9.5,9.75,8.75,9.0,73300.0,0.0,1.0,9.5,9.75,8.75,9.0,73300.0
1995-11-28,8.75,9.25,8.75,9.25,37300.0,0.0,1.0,8.75,9.25,8.75,9.25,37300.0
1995-11-29,9.5,10.0,9.0,9.875,283800.0,0.0,1.0,9.5,10.0,9.0,9.875,283800.0
1995-11-30,10.5,10.88,10.0,10.5,657800.0,0.0,1.0,10.5,10.88,10.0,10.5,657800.0
1995-12-01,10.5,11.0,10.13,10.5,245700.0,0.0,1.0,10.5,11.0,10.13,10.5,245700.0
1995-12-04,11.0,11.0,10.5,10.5,67000.0,0.0,1.0,11.0,11.0,10.5,10.5,67000.0
1995-12-05,11.0,11.0,10.5,10.69,82900.0,0.0,1.0,11.0,11.0,10.5,10.69,82900.0
1995-12-06,11.0,11.0,10.25,10.38,62700.0,0.0,1.0,11.0,11.0,10.25,10.38,62700.0
1995-12-07,10.88,10.88,10.25,10.31,29900.0,0.0,1.0,10.88,10.88,10.25,10.31,29900.0
1995-12-08,10.88,11.0,10.25,10.25,84200.0,0.0,1.0,10.88,11.0,10.25,10.25,84200.0
1995-12-11,11.0,11.0,10.38,10.63,106600.0,0.0,1.0,11.0,11.0,10.38,10.63,106600.0
1995-12-12,10.5,10.88,10.0,10.13,148300.0,0.0,1.0,10.5,10.88,10.0,10.13,148300.0
1995-12-13,10.0,10.5,9.625,9.625,162700.0,0.0,1.0,10.0,10.5,9.625,9.625,162700.0
1995-12-14,10.0,10.0,9.5,9.5,104300.0,0.0,1.0,10.0,10.0,9.5,9.5,104300.0
1995-12-15,9.5,10.0,9.5,9.5,98700.0,0.0,1.0,9.5,10.0,9.5,9.5,98700.0
1995-12-18,9.5,10.0,8.5,8.5,129300.0,0.0,1.0,9.5,10.0,8.5,8.5,129300.0
1995-12-19,8.5,9.0,8.5,8.75,49500.0,0.0,1.0,8.5,9.0,8.5,8.75,49500.0
1995-12-20,9.0,9.0,8.625,8.625,46100.0,0.0,1.0,9.0,9.0,8.625,8.625,46100.0
1995-12-21,8.625,9.0,8.625,9.0,20900.0,0.0,1.0,8.625,9.0,8.625,9.0,20900.0
1995-12-22,9.0,9.0,8.25,9.0,142600.0,0.0,1.0,9.0,9.0,8.25,9.0,142600.0
1995-12-26,8.75,9.375,8.75,9.375,42200.0,0.0,1.0,8.75,9.375,8.75,9.375,42200.0
1995-12-27,9.375,9.375,9.0,9.0,24300.0,0.0,1.0,9.375,9.375,9.0,9.0,24300.0
1995-12-28,9.25,9.75,9.125,9.375,67300.0,0.0,1.0,9.25,9.75,9.125,9.375,67300.0
1995-12-29,9.25,9.75,9.0,9.0,30000.0,0.0,1.0,9.25,9.75,9.0,9.0,30000.0
1996-01-02,9.75,9.75,9.0,9.0,10800.0,0.0,1.0,9.75,9.75,9.0,9.0,10800.0
1996-01-03,9.0,9.75,9.0,9.75,7500.0,0.0,1.0,9.0,9.75,9.0,9.75,7500.0
1996-01-04,9.75,9.75,9.0,9.0,10000.0,0.0,1.0,9.75,9.75,9.0,9.0,10000.0
1996-01-05,9.0,9.75,9.0,9.75,71100.0,0.0,1.0,9.0,9.75,9.0,9.75,71100.0
1996-01-08,8.75,8.75,8.25,8.25,200.0,0.0,1.0,8.75,8.75,8.25,8.25,200.0
1996-01-09,8.25,8.75,8.25,8.75,11000.0,0.0,1.0,8.25,8.75,8.25,8.75,11000.0
1996-01-10,8.75,8.75,8.25,8.25,62500.0,0.0,1.0,8.75,8.75,8.25,8.25,62500.0
1996-01-11,8.25,8.75,8.25,8.75,39200.0,0.0,1.0,8.25,8.75,8.25,8.75,39200.0
1996-01-12,8.75,8.75,7.375,7.375,768000.0,0.0,1.0,8.75,8.75,7.375,7.375,768000.0
1996-01-15,7.38,7.62,6.62,7.12,58400.0,0.0,1.0,7.38,7.62,6.62,7.12,58400.0
1996-01-16,7.12,7.12,6.62,6.62,11000.0,0.0,1.0,7.12,7.12,6.62,6.62,11000.0
1996-01-17,7.375,7.625,6.625,7.125,5400.0,0.0,1.0,7.375,7.625,6.625,7.125,5400.0
1996-01-18,7.125,7.125,6.625,6.625,144400.0,0.0,1.0,7.125,7.125,6.625,6.625,144400.0
1996-01-19,7.125,7.125,6.5,6.625,78600.0,0.0,1.0,7.125,7.125,6.5,6.625,78600.0
1996-01-22,7.5,8.12,7.5,8.0,78400.0,0.0,1.0,7.5,8.12,7.5,8.0,78400.0
1996-01-23,8.25,8.62,8.19,8.62,148400.0,0.0,1.0,8.25,8.62,8.19,8.62,148400.0
1996-01-24,7.5,8.125,7.5,8.0,200400.0,0.0,1.0,7.5,8.125,7.5,8.0,200400.0
1996-01-25,8.25,8.625,8.1875,8.625,21100.0,0.0,1.0,8.25,8.625,8.1875,8.625,21100.0
1996-01-26,8.625,8.625,8.0,8.625,33800.0,0.0,1.0,8.625,8.625,8.0,8.625,33800.0
1996-01-29,8.62,8.75,8.12,8.5,20400.0,0.0,1.0,8.62,8.75,8.12,8.5,20400.0
1996-01-30,8.75,8.75,8.38,8.75,22500.0,0.0,1.0,8.75,8.75,8.38,8.75,22500.0
1996-01-31,8.625,8.75,8.125,8.5,50300.0,0.0,1.0,8.625,8.75,8.125,8.5,50300.0
1996-02-01,8.75,8.75,8.375,8.75,28600.0,0.0,1.0,8.75,8.75,8.375,8.75,28600.0
1996-02-02,8.75,8.75,8.25,8.75,22200.0,0.0,1.0,8.75,8.75,8.25,8.75,22200.0
1996-02-05,8.625,8.75,8.25,8.375,70700.0,0.0,1.0,8.625,8.75,8.25,8.375,70700.0
1996-02-06,8.375,8.375,7.875,8.25,47400.0,0.0,1.0,8.375,8.375,7.875,8.25,47400.0
1996-02-07,7.875,8.375,7.875,8.375,105600.0,0.0,1.0,7.875,8.375,7.875,8.375,105600.0
1996-02-08,8.125,8.375,8.125,8.25,86300.0,0.0,1.0,8.125,8.375,8.125,8.25,86300.0
1996-02-09,8.25,8.375,8.1875,8.375,31400.0,0.0,1.0,8.25,8.375,8.1875,8.375,31400.0
1996-02-12,8.375,8.375,8.1875,8.25,64400.0,0.0,1.0,8.375,8.375,8.1875,8.25,64400.0
1996-02-13,8.125,8.375,8.0,8.375,56300.0,0.0,1.0,8.125,8.375,8.0,8.375,56300.0
1996-02-14,8.375,10.0,8.375,9.5,172100.0,0.0,1.0,8.375,10.0,8.375,9.5,172100.0
1996-02-15,9.5,9.5,8.25,8.5,276100.0,0.0,1.0,9.5,9.5,8.25,8.5,276100.0
1996-02-16,8.75,8.75,8.25,8.75,34300.0,0.0,1.0,8.75,8.75,8.25,8.75,34300.0
1996-02-20,9.0,9.25,8.5,9.125,31700.0,0.0,1.0,9.0,9.25,8.5,9.125,31700.0
1996-02-21,8.5,9.25,8.5,9.0,13300.0,0.0,1.0,8.5,9.25,8.5,9.0,13300.0
1996-02-22,9.25,9.25,8.5,8.6875,39200.0,0.0,1.0,9.25,9.25,8.5,8.6875,39200.0
1996-02-23,8.75,8.875,8.0,8.25,19500.0,0.0,1.0,8.75,8.875,8.0,8.25,19500.0
1996-02-26,8.75,8.75,8.0,8.0,18200.0,0.0,1.0,8.75,8.75,8.0,8.0,18200.0
1996-02-27,8.25,8.5,8.0,8.0,26300.0,0.0,1.0,8.25,8.5,8.0,8.0,26300.0
1996-02-28,8.5,8.5,8.25,8.25,2600.0,0.0,1.0,8.5,8.5,8.25,8.25,2600.0
1996-02-29,8.25,8.5,8.0,8.25,42200.0,0.0,1.0,8.25,8.5,8.0,8.25,42200.0
1996-03-01,8.25,8.25,8.12,8.25,6400.0,0.0,1.0,8.25,8.25,8.12,8.25,6400.0
1996-03-04,8.25,8.25,7.5,8.0,70100.0,0.0,1.0,8.25,8.25,7.5,8.0,70100.0
1996-03-05,8.0,8.0,7.5,7.62,11400.0,0.0,1.0,8.0,8.0,7.5,7.62,11400.0
1996-03-06,8.25,8.25,7.5,8.0,8100.0,0.0,1.0,8.25,8.25,7.5,8.0,8100.0
1996-03-07,8.0,8.0,7.5,7.625,20700.0,0.0,1.0,8.0,8.0,7.5,7.625,20700.0
1996-03-08,7.5,8.0,7.5,7.5,110500.0,0.0,1.0,7.5,8.0,7.5,7.5,110500.0
1996-03-11,7.25,8.0,7.25,7.62,116500.0,0.0,1.0,7.25,8.0,7.25,7.62,116500.0
1996-03-12,8.0,8.0,7.62,8.0,15400.0,0.0,1.0,8.0,8.0,7.62,8.0,15400.0
1996-03-13,7.625,8.0,7.25,7.625,21000.0,0.0,1.0,7.625,8.0,7.25,7.625,21000.0
1996-03-14,8.0,8.0,7.625,8.0,14100.0,0.0,1.0,8.0,8.0,7.625,8.0,14100.0
1996-03-15,7.875,8.0,7.75,7.9375,10600.0,0.0,1.0,7.875,8.0,7.75,7.9375,10600.0
1996-03-18,8.25,8.25,8.0,8.0,54800.0,0.0,1.0,8.25,8.25,8.0,8.0,54800.0
1996-03-19,8.12,8.12,8.0,8.12,11200.0,0.0,1.0,8.12,8.12,8.0,8.12,11200.0
1996-03-20,8.25,8.25,8.0,8.0,11500.0,0.0,1.0,8.25,8.25,8.0,8.0,11500.0
1996-03-21,8.125,8.125,8.0,8.125,26700.0,0.0,1.0,8.125,8.125,8.0,8.125,26700.0
1996-03-22,8.125,8.125,8.0,8.0,7500.0,0.0,1.0,8.125,8.125,8.0,8.0,7500.0
1996-03-25,7.88,8.12,7.88,8.12,16300.0,0.0,1.0,7.88,8.12,7.88,8.12,16300.0
