Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1998-07-10,20.0,20.0,19.25,19.25,12400.0,0.0,1.0,8.1087380149944,8.1087380149944,7.8046603394321,7.8046603394321,24800.0
1998-07-13,20.0,20.0,20.0,20.0,1400.0,0.0,1.0,8.1087380149944,8.1087380149944,8.1087380149944,8.1087380149944,2800.0
1998-07-14,19.5,19.5,19.5,19.5,900.0,0.0,1.0,7.9060195646195,7.9060195646195,7.9060195646195,7.9060195646195,1800.0
1998-07-15,18.0,18.0,18.0,18.0,1500.0,0.0,1.0,7.297864213495,7.297864213495,7.297864213495,7.297864213495,3000.0
1998-07-16,19.0,19.0,18.0,18.63,10400.0,0.0,1.0,7.7033011142447,7.7033011142447,7.297864213495,7.5532894609673,20800.0
1998-07-17,18.63,19.38,18.38,18.88,6800.0,0.0,1.0,7.5532894609673,7.8573671365296,7.4519302357799,7.6546486861547,13600.0
1998-07-20,18.63,19.75,17.0,18.25,48400.0,0.0,1.0,7.5532894609673,8.007378789807,6.8924273127452,7.3992234386824,96800.0
1998-07-21,18.13,19.25,17.63,17.75,84400.0,0.0,1.0,7.3505710105924,7.8046603394321,7.1478525602176,7.1965049883075,168800.0
1998-07-22,18.25,18.25,17.63,17.75,23100.0,0.0,1.0,7.3992234386824,7.3992234386824,7.1478525602176,7.1965049883075,46200.0
1998-07-23,17.25,18.0,17.06,17.06,14200.0,0.0,1.0,6.9937865379327,7.297864213495,6.9167535267902,6.9167535267902,28400.0
1998-07-24,17.25,17.25,15.31,17.0,28100.0,0.0,1.0,6.9937865379327,6.9937865379327,6.2072389504782,6.8924273127452,56200.0
1998-07-27,16.0,17.0,15.5,16.13,36700.0,0.0,1.0,6.4869904119955,6.8924273127452,6.2842719616207,6.539697209093,73400.0
1998-07-28,16.25,16.25,14.75,15.5,15200.0,0.0,1.0,6.588349637183,6.588349637183,5.9801942860584,6.2842719616207,30400.0
