Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1997-09-23,47.75,48.0,46.5,47.75,4500.0,0.0,1.0,5.232805121911016,5.260202007366048,5.095820694635859,5.232805121911016,20250.0
1997-09-24,47.5,47.5,47.25,47.5,1600.0,0.0,1.0,5.20863512134792,5.20863512134792,5.181221252288195,5.20863512134792,7200.0
1997-09-25,47.75,47.75,47.5,47.75,600.0,0.0,1.0,5.232805121911016,5.232805121911016,5.205408236455985,5.232805121911016,2700.0
1997-09-26,48.0,48.0,47.75,48.0,800.0,0.0,1.0,5.263017622614896,5.263017622614896,5.23560607249711,5.263017622614896,3600.0
1997-09-29,48.5,49.0,48.25,49.0,800.0,0.0,1.0,5.316968516728953,5.371782625148839,5.28956146251901,5.371782625148839,3600.0
1997-09-30,49.0,49.63,49.0,49.5,1400.0,0.0,1.0,5.371355377664136,5.440415661091246,5.371355377664136,5.42616512641581,6300.0
1997-10-01,50.63,52.25,50.0,51.75,6300.0,0.0,1.0,5.551110017732507,5.728727995783595,5.482036359601527,5.67390763218758,28350.0
1997-10-02,51.75,51.75,51.75,51.75,400.0,0.0,1.0,5.67390763218758,5.67390763218758,5.67390763218758,5.67390763218758,1800.0
1997-10-03,52.0,52.25,51.25,51.75,2600.0,0.0,1.0,5.701317813985588,5.728727995783595,5.619087268591565,5.67390763218758,11700.0
1997-10-06,51.25,52.25,51.25,52.25,1900.0,0.0,1.0,5.6186577864027925,5.728290133454554,5.6186577864027925,5.728290133454554,8550.0
1997-10-07,52.0,52.0,51.5,51.5,1200.0,0.0,1.0,5.698488288100053,5.698488288100053,5.643695131483707,5.643695131483707,5400.0
1997-10-08,51.75,52.5,51.75,52.25,1200.0,0.0,1.0,5.673473959928674,5.755698220217495,5.673473959928674,5.728290133454554,5400.0
1997-10-09,52.0,52.0,51.5,52.0,1600.0,0.0,1.0,5.698077632750677,5.698077632750677,5.643288424743459,5.698077632750677,7200.0
