Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1993-10-18,25.0,26.0,23.25,23.75,656300.0,0.0,1.0,23.171846993367,24.098720873102,21.549817703832,22.013254643699,656300.0
1993-10-19,23.88,24.0,22.5,22.63,227600.0,0.0,1.0,22.133748248065,22.244973113633,20.854662294031,20.975155898396,227600.0
1993-10-20,22.75,22.88,20.5,20.5,284800.0,0.0,1.0,21.086380763964,21.20687436833,19.000914534561,19.000914534561,284800.0
1993-10-21,21.0,22.0,21.0,21.88,160300.0,0.0,1.0,19.464351474429,20.391225354163,19.464351474429,20.280000488595,160300.0
1993-10-22,22.25,23.0,22.13,22.38,133900.0,0.0,1.0,20.622943824097,21.318099233898,20.511718958529,20.743437428463,133900.0
1993-10-25,22.13,22.5,20.63,21.13,92900.0,0.0,1.0,20.511718958529,20.854662294031,19.121408138927,19.584845078794,92900.0
1993-10-26,21.25,21.25,20.5,20.5,98500.0,0.0,1.0,19.696069944362,19.696069944362,19.000914534561,19.000914534561,98500.0
1993-10-27,20.75,20.75,20.13,20.13,84800.0,0.0,1.0,19.232633004495,19.232633004495,18.657971199059,18.657971199059,84800.0
1993-10-28,20.25,20.63,20.13,20.38,79400.0,0.0,1.0,18.769196064628,19.121408138927,18.657971199059,18.889689668993,79400.0
1993-10-29,20.5,20.5,20.0,20.13,49800.0,0.0,1.0,19.000914534561,19.000914534561,18.537477594694,18.657971199059,49800.0
1993-11-01,20.38,20.5,19.0,19.25,64100.0,0.0,1.0,18.889689668993,19.000914534561,17.610603714959,17.842322184893,64100.0
1993-11-02,19.5,19.5,18.25,18.63,78800.0,0.0,1.0,18.074040654827,18.074040654827,16.915448305158,17.267660379457,78800.0
1993-11-03,18.5,18.75,18.0,18.5,78100.0,0.0,1.0,17.147166775092,17.378885245026,16.683729835225,17.147166775092,78100.0
1993-11-04,18.5,18.5,17.13,17.5,82200.0,0.0,1.0,17.147166775092,17.147166775092,15.877349559855,16.220292895357,82200.0
1993-11-05,17.25,18.5,17.13,18.5,76400.0,0.0,1.0,15.988574425424,17.147166775092,15.877349559855,17.147166775092,76400.0
1993-11-08,18.25,18.63,18.25,18.5,34900.0,0.0,1.0,16.915448305158,17.267660379457,16.915448305158,17.147166775092,34900.0
1993-11-09,18.88,19.38,18.38,18.5,31700.0,0.0,1.0,17.499378849391,17.962815789258,17.035941909524,17.147166775092,31700.0
1993-11-10,18.63,18.63,17.75,17.75,37300.0,0.0,1.0,17.267660379457,17.267660379457,16.452011365291,16.452011365291,37300.0
1993-11-11,17.75,17.75,17.13,17.25,109400.0,0.0,1.0,16.452011365291,16.452011365291,15.877349559855,15.988574425424,109400.0
1993-11-12,17.38,17.5,16.63,17.0,98700.0,0.0,1.0,16.109068029789,16.220292895357,15.413912619988,15.75685595549,98700.0
1993-11-15,17.0,17.0,16.5,16.5,69000.0,0.0,1.0,15.75685595549,15.75685595549,15.293419015622,15.293419015622,69000.0
1993-11-16,16.63,16.75,16.5,16.5,99700.0,0.0,1.0,15.413912619988,15.525137485556,15.293419015622,15.293419015622,99700.0
1993-11-17,16.63,16.88,16.5,16.63,24500.0,0.0,1.0,15.413912619988,15.645631089922,15.293419015622,15.413912619988,24500.0
1993-11-18,16.75,16.75,16.5,16.5,27800.0,0.0,1.0,15.525137485556,15.525137485556,15.293419015622,15.293419015622,27800.0
1993-11-19,16.5,16.5,15.75,16.25,52700.0,0.0,1.0,15.293419015622,15.293419015622,14.598263605821,15.061700545689,52700.0
1993-11-22,16.0,16.25,15.88,16.0,60300.0,0.0,1.0,14.829982075755,15.061700545689,14.718757210187,14.829982075755,60300.0
1993-11-23,16.25,16.38,16.0,16.25,45100.0,0.0,1.0,15.061700545689,15.182194150054,14.829982075755,15.061700545689,45100.0
1993-11-24,16.5,16.63,16.25,16.5,38600.0,0.0,1.0,15.293419015622,15.413912619988,15.061700545689,15.293419015622,38600.0
1993-11-26,16.38,16.63,16.38,16.63,2100.0,0.0,1.0,15.182194150054,15.413912619988,15.182194150054,15.413912619988,2100.0
1993-11-29,16.75,16.75,15.88,16.0,50300.0,0.0,1.0,15.525137485556,15.525137485556,14.718757210187,14.829982075755,50300.0
1993-11-30,16.0,16.38,15.88,16.0,33300.0,0.0,1.0,14.829982075755,15.182194150054,14.718757210187,14.829982075755,33300.0
1993-12-01,16.0,16.63,16.0,16.38,102300.0,0.0,1.0,14.829982075755,15.413912619988,14.829982075755,15.182194150054,102300.0
1993-12-02,16.5,16.5,15.88,16.0,48700.0,0.0,1.0,15.293419015622,15.293419015622,14.718757210187,14.829982075755,48700.0
1993-12-03,16.0,16.0,15.88,16.0,66900.0,0.0,1.0,14.829982075755,14.829982075755,14.718757210187,14.829982075755,66900.0
1993-12-06,16.13,16.13,15.88,16.0,15400.0,0.0,1.0,14.950475680121,14.950475680121,14.718757210187,14.829982075755,15400.0
1993-12-07,15.88,16.0,15.75,15.75,18600.0,0.0,1.0,14.718757210187,14.829982075755,14.598263605821,14.598263605821,18600.0
1993-12-08,15.75,15.75,15.0,15.38,32300.0,0.0,1.0,14.598263605821,14.598263605821,13.90310819602,14.25532027032,32300.0
1993-12-09,15.38,16.0,15.0,15.88,39800.0,0.0,1.0,14.25532027032,14.829982075755,13.90310819602,14.718757210187,39800.0
1993-12-10,16.0,16.0,15.88,16.0,34800.0,0.0,1.0,14.829982075755,14.829982075755,14.718757210187,14.829982075755,34800.0
1993-12-13,15.88,15.88,15.63,15.75,25100.0,0.0,1.0,14.718757210187,14.718757210187,14.487038740253,14.598263605821,25100.0
1993-12-14,15.88,15.88,15.38,15.38,55900.0,0.0,1.0,14.718757210187,14.718757210187,14.25532027032,14.25532027032,55900.0
