Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1984-09-07,3.12,3.12,2.88,3.0,123231.0,0.0,1.0,1.2,1.2,1.1076923076923075,1.1538461538461537,320400.60000000003
1984-09-10,3.12,3.12,3.12,3.12,44846.0,0.0,1.0,1.2,1.2,1.2,1.2,116599.6
1984-09-11,3.62,3.75,3.62,3.62,92154.0,0.0,1.0,1.3923076923076922,1.442307692307692,1.3923076923076922,1.3923076923076922,239600.40000000002
1984-09-12,3.62,3.87,3.5,3.5,92769.0,0.0,1.0,1.3923076923076922,1.4884615384615383,1.346153846153846,1.346153846153846,241199.40000000002
1984-09-13,3.5,3.62,3.5,3.5,581385.0,0.0,1.0,1.346153846153846,1.3923076923076922,1.346153846153846,1.346153846153846,1511601.0000000002
1984-09-14,3.5,3.87,3.5,3.87,184769.0,0.0,1.0,1.346153846153846,1.4884615384615383,1.346153846153846,1.4884615384615383,480399.4
1984-09-17,3.87,4.0,3.87,3.87,44692.0,0.0,1.0,1.4884615384615383,1.5384615384615383,1.4884615384615383,1.4884615384615383,116199.20000000001
1984-09-18,3.87,4.0,3.87,3.87,38538.0,0.0,1.0,1.4884615384615383,1.5384615384615383,1.4884615384615383,1.4884615384615383,100198.8
1984-09-19,4.0,4.25,4.0,4.0,47846.0,0.0,1.0,1.5384615384615383,1.6346153846153846,1.5384615384615383,1.5384615384615383,124399.6
1984-09-20,4.13,4.13,4.13,4.13,91462.0,0.0,1.0,1.5884615384615384,1.5884615384615384,1.5884615384615384,1.5884615384615384,237801.2
1984-09-21,4.13,4.13,3.87,4.13,18231.0,0.0,1.0,1.5884615384615384,1.5884615384615384,1.4884615384615383,1.5884615384615384,47400.600000000006
1984-09-24,4.13,4.13,4.0,4.0,32077.0,0.0,1.0,1.5884615384615384,1.5884615384615384,1.5384615384615383,1.5384615384615383,83400.20000000001
