Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1993-02-09,10.0,10.25,9.12,9.75,1095700.0,0.0,1.0,1.25,1.28125,1.14,1.21875,8765600.0
1993-02-10,9.88,11.38,9.62,11.0,251500.0,0.0,1.0,1.235,1.4225,1.2025,1.375,2012000.0
1993-02-11,11.0,12.25,11.0,11.5,178800.0,0.0,1.0,1.375,1.53125,1.375,1.4375,1430400.0
1993-02-12,11.0,11.75,10.75,11.12,102500.0,0.0,1.0,1.375,1.46875,1.34375,1.39,820000.0
1993-02-16,11.12,11.38,9.88,10.0,127300.0,0.0,1.0,1.39,1.4225,1.235,1.25,1018400.0
1993-02-17,10.0,10.25,9.38,9.88,93800.0,0.0,1.0,1.25,1.28125,1.1725,1.235,750400.0
1993-02-18,10.0,10.12,9.12,9.5,40400.0,0.0,1.0,1.25,1.265,1.14,1.1875,323200.0
1993-02-19,9.5,9.88,9.25,9.62,41000.0,0.0,1.0,1.1875,1.235,1.15625,1.2025,328000.0
1993-02-22,9.75,10.5,9.75,10.38,43200.0,0.0,1.0,1.21875,1.3125,1.21875,1.2975,345600.0
1993-02-23,10.62,11.5,10.5,10.5,58000.0,0.0,1.0,1.3275,1.4375,1.3125,1.3125,464000.0
1993-02-24,11.0,11.0,10.12,10.25,25000.0,0.0,1.0,1.375,1.375,1.265,1.28125,200000.0
1993-02-25,10.25,10.75,10.25,10.38,12100.0,0.0,1.0,1.28125,1.34375,1.28125,1.2975,96800.0
1993-02-26,10.75,10.75,10.25,10.25,11000.0,0.0,1.0,1.34375,1.34375,1.28125,1.28125,88000.0
1993-03-01,10.75,10.75,10.25,10.5,8700.0,0.0,1.0,1.34375,1.34375,1.28125,1.3125,69600.0
1993-03-02,10.38,10.5,10.0,10.5,12900.0,0.0,1.0,1.2975,1.3125,1.25,1.3125,103200.0
1993-03-03,10.5,10.5,10.0,10.0,17000.0,0.0,1.0,1.3125,1.3125,1.25,1.25,136000.0
1993-03-04,9.75,10.5,9.5,10.25,62400.0,0.0,1.0,1.21875,1.3125,1.1875,1.28125,499200.0
1993-03-05,10.75,11.25,10.5,11.0,84900.0,0.0,1.0,1.34375,1.40625,1.3125,1.375,679200.0
