Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1990-03-26,26.75,27.75,26.75,27.0,1900.0,0.0,1.0,2.0704688922018,2.1478695984523,2.0704688922018,2.0898190687644,7600.0
1990-03-27,27.0,27.0,26.75,26.88,6400.0,0.0,1.0,2.0898190687644,2.0898190687644,2.0704688922018,2.0805309840143,25600.0
1990-03-28,26.75,26.75,26.75,26.75,500.0,0.0,1.0,2.0704688922018,2.0704688922018,2.0704688922018,2.0704688922018,2000.0
1990-03-29,27.25,27.25,26.5,27.25,5800.0,0.0,1.0,2.109169245327,2.109169245327,2.0511187156391,2.109169245327,23200.0
1990-03-30,27.25,27.25,26.5,26.5,6700.0,0.0,1.0,2.109169245327,2.109169245327,2.0511187156391,2.0511187156391,26800.0
1990-04-02,26.25,26.75,26.25,26.75,1700.0,0.0,1.0,2.0317685390765,2.0704688922018,2.0317685390765,2.0704688922018,6800.0
1990-04-03,26.75,26.75,26.25,26.62,3900.0,0.0,1.0,2.0704688922018,2.0704688922018,2.0317685390765,2.0604068003892,15600.0
1990-04-04,26.75,27.25,26.5,27.25,6900.0,0.0,1.0,2.0704688922018,2.109169245327,2.0511187156391,2.109169245327,27600.0
1990-04-05,26.5,27.5,26.5,26.5,3700.0,0.0,1.0,2.0511187156391,2.1285194218897,2.0511187156391,2.0511187156391,14800.0
1990-04-06,26.25,27.25,26.25,27.0,1000.0,0.0,1.0,2.0317685390765,2.109169245327,2.0317685390765,2.0898190687644,4000.0
1990-04-09,27.25,27.25,26.25,26.25,2500.0,0.0,1.0,2.109169245327,2.109169245327,2.0317685390765,2.0317685390765,10000.0
1990-04-10,27.25,27.25,26.25,26.25,1300.0,0.0,1.0,2.109169245327,2.109169245327,2.0317685390765,2.0317685390765,5200.0
1990-04-11,26.25,27.25,26.25,26.25,3000.0,0.0,1.0,2.0317685390765,2.109169245327,2.0317685390765,2.0317685390765,12000.0
1990-04-12,27.25,27.25,26.25,27.25,1500.0,0.0,1.0,2.109169245327,2.109169245327,2.0317685390765,2.109169245327,6000.0
1990-04-16,27.0,27.25,26.25,27.25,4700.0,0.0,1.0,2.0898190687644,2.109169245327,2.0317685390765,2.109169245327,18800.0
1990-04-17,26.25,26.75,25.75,26.75,5400.0,0.0,1.0,2.0317685390765,2.0704688922018,1.9930681859512,2.0704688922018,21600.0
1990-04-18,27.0,27.0,25.75,27.0,1900.0,0.0,1.0,2.0898190687644,2.0898190687644,1.9930681859512,2.0898190687644,7600.0
1990-04-19,25.5,27.0,25.5,25.5,1400.0,0.0,1.0,1.9737180093886,2.0898190687644,1.9737180093886,1.9737180093886,5600.0
1990-04-20,27.0,27.0,25.5,25.5,2200.0,0.0,1.0,2.0898190687644,2.0898190687644,1.9737180093886,1.9737180093886,8800.0
1990-04-23,27.0,27.0,25.5,27.0,2400.0,0.0,1.0,2.0898190687644,2.0898190687644,1.9737180093886,2.0898190687644,9600.0
1990-04-24,27.0,27.0,25.5,25.62,6700.0,0.0,1.0,2.0898190687644,2.0898190687644,1.9737180093886,1.9830060941387,26800.0
1990-04-25,25.5,26.75,25.0,26.0,4300.0,0.44,1.0,2.007119391086,2.1055075965313,1.9677641089078,2.0464746732641,17200.0
1990-04-26,25.25,25.38,25.0,25.25,8700.0,0.0,1.0,1.9874417499969,1.9976741233632,1.9677641089078,1.9874417499969,34800.0
1990-04-27,25.38,26.0,25.0,25.0,1400.0,0.0,1.0,1.9976741233632,2.0464746732641,1.9677641089078,1.9677641089078,5600.0
1990-04-30,25.0,25.75,24.75,25.75,1500.0,0.0,1.0,1.9677641089078,2.026797032175,1.9480864678187,2.026797032175,6000.0
1990-05-01,25.75,25.75,24.75,24.75,4600.0,0.0,1.0,2.026797032175,2.026797032175,1.9480864678187,1.9480864678187,18400.0
1990-05-02,25.75,25.75,24.75,25.75,2700.0,0.0,1.0,2.026797032175,2.026797032175,1.9480864678187,2.026797032175,10800.0
1990-05-03,25.75,26.0,24.75,25.25,5200.0,0.0,1.0,2.026797032175,2.0464746732641,1.9480864678187,1.9874417499969,20800.0
1990-05-04,25.25,26.25,25.25,26.25,1600.0,0.0,1.0,1.9874417499969,2.0661523143532,1.9874417499969,2.0661523143532,6400.0
1990-05-07,25.75,26.25,25.5,25.5,8700.0,0.0,1.0,2.026797032175,2.0661523143532,2.007119391086,2.007119391086,34800.0
1990-05-08,26.0,26.25,25.5,25.5,6500.0,0.0,1.0,2.0464746732641,2.0661523143532,2.007119391086,2.007119391086,26000.0
1990-05-09,26.25,26.25,25.5,25.5,16500.0,0.0,1.0,2.0661523143532,2.0661523143532,2.007119391086,2.007119391086,66000.0
1990-05-10,26.0,26.0,25.75,25.75,1400.0,0.0,1.0,2.0464746732641,2.0464746732641,2.026797032175,2.026797032175,5600.0
1990-05-11,25.75,26.25,25.75,25.75,2600.0,0.0,1.0,2.026797032175,2.0661523143532,2.026797032175,2.026797032175,10400.0
1990-05-14,26.25,26.25,25.75,26.0,4900.0,0.0,1.0,2.0661523143532,2.0661523143532,2.026797032175,2.0464746732641,19600.0
1990-05-15,26.0,26.0,25.75,25.75,900.0,0.0,1.0,2.0464746732641,2.0464746732641,2.026797032175,2.026797032175,3600.0
1990-05-16,25.75,26.25,25.5,26.25,9200.0,0.0,1.0,2.026797032175,2.0661523143532,2.007119391086,2.0661523143532,36800.0
1990-05-17,25.5,26.25,25.5,25.5,1600.0,0.0,1.0,2.007119391086,2.0661523143532,2.007119391086,2.007119391086,6400.0
1990-05-18,25.5,26.0,25.5,25.75,2100.0,0.0,1.0,2.007119391086,2.0464746732641,2.007119391086,2.026797032175,8400.0
1990-05-21,26.0,26.25,25.25,26.25,4700.0,0.0,1.0,2.0464746732641,2.0661523143532,1.9874417499969,2.0661523143532,18800.0
1990-05-22,26.25,26.25,25.5,25.5,3800.0,0.0,1.0,2.0661523143532,2.0661523143532,2.007119391086,2.007119391086,15200.0
1990-05-23,25.5,26.25,25.5,26.25,1400.0,0.0,1.0,2.007119391086,2.0661523143532,2.007119391086,2.0661523143532,5600.0
1990-05-24,25.25,26.25,25.25,25.25,2600.0,0.0,1.0,1.9874417499969,2.0661523143532,1.9874417499969,1.9874417499969,10400.0
1990-05-25,26.25,26.25,25.25,25.5,1700.0,0.0,1.0,2.0661523143532,2.0661523143532,1.9874417499969,2.007119391086,6800.0
1990-05-29,25.25,26.0,25.0,25.5,1000.0,0.0,1.0,1.9874417499969,2.0464746732641,1.9677641089078,2.007119391086,4000.0
1990-05-30,25.0,26.0,25.0,25.12,6500.0,0.0,1.0,1.9677641089078,2.0464746732641,1.9677641089078,1.9772093766306,26000.0
