Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1997-03-07,14.88,16.25,14.38,15.0,2860800.0,0.0,1.0,14.88,16.25,14.38,15.0,2860800.0
1997-03-10,13.88,15.13,13.63,13.88,493600.0,0.0,1.0,13.88,15.13,13.63,13.88,493600.0
1997-03-11,14.13,14.5,14.13,14.25,72400.0,0.0,1.0,14.13,14.5,14.13,14.25,72400.0
1997-03-12,14.38,14.38,13.88,14.0,131600.0,0.0,1.0,14.38,14.38,13.88,14.0,131600.0
1997-03-13,13.88,14.0,13.5,13.75,177700.0,0.0,1.0,13.88,14.0,13.5,13.75,177700.0
1997-03-14,13.75,14.38,13.5,14.13,122700.0,0.0,1.0,13.75,14.38,13.5,14.13,122700.0
1997-03-17,14.13,14.25,13.88,14.13,407400.0,0.0,1.0,14.13,14.25,13.88,14.13,407400.0
1997-03-18,14.06,14.13,14.06,14.13,43400.0,0.0,1.0,14.06,14.13,14.06,14.13,43400.0
1997-03-19,14.25,14.25,14.0,14.0,120400.0,0.0,1.0,14.25,14.25,14.0,14.0,120400.0
1997-03-20,14.0,14.38,13.63,13.75,89900.0,0.0,1.0,14.0,14.38,13.63,13.75,89900.0
1997-03-21,13.88,13.88,13.75,13.88,19200.0,0.0,1.0,13.88,13.88,13.75,13.88,19200.0
1997-03-24,13.75,13.88,13.63,13.75,42700.0,0.0,1.0,13.75,13.88,13.63,13.75,42700.0
1997-03-25,13.88,13.88,13.63,13.88,32800.0,0.0,1.0,13.88,13.88,13.63,13.88,32800.0
1997-03-26,13.88,14.0,13.75,13.88,53800.0,0.0,1.0,13.88,14.0,13.75,13.88,53800.0
1997-03-27,13.88,14.0,13.5,13.5,90900.0,0.0,1.0,13.88,14.0,13.5,13.5,90900.0
1997-03-31,13.75,13.88,12.75,12.75,43800.0,0.0,1.0,13.75,13.88,12.75,12.75,43800.0
1997-04-01,12.75,13.0,12.63,13.0,223300.0,0.0,1.0,12.75,13.0,12.63,13.0,223300.0
1997-04-02,12.88,13.13,12.75,13.13,270900.0,0.0,1.0,12.88,13.13,12.75,13.13,270900.0
1997-04-03,13.38,13.5,13.25,13.38,96000.0,0.0,1.0,13.38,13.5,13.25,13.38,96000.0
1997-04-04,13.25,14.0,13.25,14.0,121100.0,0.0,1.0,13.25,14.0,13.25,14.0,121100.0
1997-04-07,14.5,14.63,14.13,14.25,168200.0,0.0,1.0,14.5,14.63,14.13,14.25,168200.0
1997-04-08,14.13,14.25,13.75,13.75,101100.0,0.0,1.0,14.13,14.25,13.75,13.75,101100.0
1997-04-09,13.88,13.88,13.75,13.75,4800.0,0.0,1.0,13.88,13.88,13.75,13.75,4800.0
1997-04-10,14.0,14.25,13.75,14.13,79600.0,0.0,1.0,14.0,14.25,13.75,14.13,79600.0
1997-04-11,14.0,14.06,14.0,14.0,40000.0,0.0,1.0,14.0,14.06,14.0,14.0,40000.0
1997-04-14,14.0,14.06,14.0,14.0,27700.0,0.0,1.0,14.0,14.06,14.0,14.0,27700.0
1997-04-15,14.25,14.63,14.0,14.0,77900.0,0.0,1.0,14.25,14.63,14.0,14.0,77900.0
1997-04-16,14.25,14.25,14.0,14.0,56600.0,0.0,1.0,14.25,14.25,14.0,14.0,56600.0
1997-04-17,13.88,13.88,13.88,13.88,300.0,0.0,1.0,13.88,13.88,13.88,13.88,300.0
1997-04-18,14.25,14.25,14.0,14.13,50200.0,0.0,1.0,14.25,14.25,14.0,14.13,50200.0
1997-04-21,13.94,13.94,13.94,13.94,1000.0,0.0,1.0,13.94,13.94,13.94,13.94,1000.0
1997-04-22,13.75,14.0,13.75,13.75,50000.0,0.0,1.0,13.75,14.0,13.75,13.75,50000.0
1997-04-23,13.75,13.75,13.75,13.75,0.0,0.0,1.0,13.75,13.75,13.75,13.75,0.0
1997-04-24,13.63,13.75,13.25,13.25,8600.0,0.0,1.0,13.63,13.75,13.25,13.25,8600.0
1997-04-25,13.25,13.25,13.13,13.13,11000.0,0.0,1.0,13.25,13.25,13.13,13.13,11000.0
1997-04-28,13.13,13.25,12.88,12.88,24700.0,0.0,1.0,13.13,13.25,12.88,12.88,24700.0
1997-04-29,13.0,13.13,12.75,12.75,52500.0,0.0,1.0,13.0,13.13,12.75,12.75,52500.0
1997-04-30,12.63,12.88,12.56,12.56,45000.0,0.0,1.0,12.63,12.88,12.56,12.56,45000.0
1997-05-01,13.0,13.0,13.0,13.0,10100.0,0.0,1.0,13.0,13.0,13.0,13.0,10100.0
1997-05-02,13.0,13.0,13.0,13.0,10000.0,0.0,1.0,13.0,13.0,13.0,13.0,10000.0
1997-05-05,13.0,13.0,12.69,12.69,48300.0,0.0,1.0,13.0,13.0,12.69,12.69,48300.0
1997-05-06,12.63,12.63,12.63,12.63,100.0,0.0,1.0,12.63,12.63,12.63,12.63,100.0
1997-05-07,12.62,12.62,12.62,12.62,0.0,0.0,1.0,12.62,12.62,12.62,12.62,0.0
1997-05-08,12.56,12.75,12.5,12.63,40000.0,0.0,1.0,12.56,12.75,12.5,12.63,40000.0
1997-05-09,13.0,13.0,13.0,13.0,1300.0,0.0,1.0,13.0,13.0,13.0,13.0,1300.0
1997-05-12,12.63,12.63,12.63,12.63,1000.0,0.0,1.0,12.63,12.63,12.63,12.63,1000.0
1997-05-13,12.63,12.63,12.63,12.63,1000.0,0.0,1.0,12.63,12.63,12.63,12.63,1000.0
1997-05-14,12.62,12.62,12.62,12.62,0.0,0.0,1.0,12.62,12.62,12.62,12.62,0.0
1997-05-15,12.62,12.62,12.62,12.62,0.0,0.0,1.0,12.62,12.62,12.62,12.62,0.0
1997-05-16,12.63,12.63,12.13,12.38,16000.0,0.0,1.0,12.63,12.63,12.13,12.38,16000.0
1997-05-19,11.75,11.75,11.63,11.63,2300.0,0.0,1.0,11.75,11.75,11.63,11.63,2300.0
1997-05-20,11.5,11.5,11.5,11.5,7500.0,0.0,1.0,11.5,11.5,11.5,11.5,7500.0
1997-05-21,11.13,11.13,10.38,10.38,42500.0,0.0,1.0,11.13,11.13,10.38,10.38,42500.0
1997-05-22,10.25,10.38,9.25,10.0,54400.0,0.0,1.0,10.25,10.38,9.25,10.0,54400.0
1997-05-23,10.25,10.63,10.25,10.5,253700.0,0.0,1.0,10.25,10.63,10.25,10.5,253700.0
1997-05-27,10.63,10.63,10.25,10.63,6300.0,0.0,1.0,10.63,10.63,10.25,10.63,6300.0
1997-05-28,10.63,10.63,10.25,10.63,69100.0,0.0,1.0,10.63,10.63,10.25,10.63,69100.0
1997-05-29,10.25,11.0,10.25,11.0,18500.0,0.0,1.0,10.25,11.0,10.25,11.0,18500.0
1997-05-30,11.0,11.0,10.63,11.0,57400.0,0.0,1.0,11.0,11.0,10.63,11.0,57400.0
1997-06-02,11.13,11.13,10.25,10.5,27400.0,0.0,1.0,11.13,11.13,10.25,10.5,27400.0
1997-06-03,10.25,10.88,10.25,10.88,700.0,0.0,1.0,10.25,10.88,10.25,10.88,700.0
1997-06-04,10.38,10.38,9.75,9.875,46300.0,0.0,1.0,10.38,10.38,9.75,9.875,46300.0
1997-06-05,10.13,10.13,9.625,9.625,13000.0,0.0,1.0,10.13,10.13,9.625,9.625,13000.0
1997-06-06,9.875,9.875,9.5,9.875,16100.0,0.0,1.0,9.875,9.875,9.5,9.875,16100.0
1997-06-09,10.0,10.0,9.75,9.75,50800.0,0.0,1.0,10.0,10.0,9.75,9.75,50800.0
1997-06-10,10.0,10.13,9.75,10.0,64700.0,0.0,1.0,10.0,10.13,9.75,10.0,64700.0
1997-06-11,10.38,10.75,10.13,10.75,4900.0,0.0,1.0,10.38,10.75,10.13,10.75,4900.0
1997-06-12,12.5,12.63,11.38,11.63,58200.0,0.0,1.0,12.5,12.63,11.38,11.63,58200.0
1997-06-13,11.0,11.63,11.0,11.0,22100.0,0.0,1.0,11.0,11.63,11.0,11.0,22100.0
1997-06-16,12.0,12.0,11.25,12.0,28700.0,0.0,1.0,12.0,12.0,11.25,12.0,28700.0
1997-06-17,12.0,12.13,12.0,12.13,4200.0,0.0,1.0,12.0,12.13,12.0,12.13,4200.0
1997-06-18,12.13,12.13,12.13,12.13,400.0,0.0,1.0,12.13,12.13,12.13,12.13,400.0
1997-06-19,11.38,11.88,11.38,11.88,300.0,0.0,1.0,11.38,11.88,11.38,11.88,300.0
1997-06-20,11.88,11.88,11.88,11.88,0.0,0.0,1.0,11.88,11.88,11.88,11.88,0.0
1997-06-23,11.88,11.88,11.5,11.63,27000.0,0.0,1.0,11.88,11.88,11.5,11.63,27000.0
1997-06-24,11.75,12.0,11.63,11.75,28900.0,0.0,1.0,11.75,12.0,11.63,11.75,28900.0
1997-06-25,11.88,11.88,11.38,11.63,45300.0,0.0,1.0,11.88,11.88,11.38,11.63,45300.0
1997-06-26,11.5,11.88,11.5,11.88,27200.0,0.0,1.0,11.5,11.88,11.5,11.88,27200.0
1997-06-27,11.75,11.88,11.0,11.0,76800.0,0.0,1.0,11.75,11.88,11.0,11.0,76800.0
1997-06-30,11.0,11.25,11.0,11.06,39100.0,0.0,1.0,11.0,11.25,11.0,11.06,39100.0
1997-07-01,11.06,11.06,11.06,11.06,0.0,0.0,1.0,11.06,11.06,11.06,11.06,0.0
1997-07-02,11.25,11.25,11.25,11.25,1700.0,0.0,1.0,11.25,11.25,11.25,11.25,1700.0
1997-07-03,11.06,11.06,10.88,10.88,63300.0,0.0,1.0,11.06,11.06,10.88,10.88,63300.0
1997-07-07,11.0,11.25,10.88,10.88,77200.0,0.0,1.0,11.0,11.25,10.88,10.88,77200.0
1997-07-08,11.25,11.25,11.0,11.25,119400.0,0.0,1.0,11.25,11.25,11.0,11.25,119400.0
1997-07-09,11.19,11.5,11.19,11.5,54600.0,0.0,1.0,11.19,11.5,11.19,11.5,54600.0
1997-07-10,11.19,11.5,11.06,11.25,40400.0,0.0,1.0,11.19,11.5,11.06,11.25,40400.0
1997-07-11,11.0,11.0,10.5,10.5,90700.0,0.0,1.0,11.0,11.0,10.5,10.5,90700.0
1997-07-14,10.25,10.5,10.0,10.0,205200.0,0.0,1.0,10.25,10.5,10.0,10.0,205200.0
1997-07-15,10.25,10.5,10.0,10.0,100.0,0.0,1.0,10.25,10.5,10.0,10.0,100.0
1997-07-16,10.13,10.5,10.0,10.5,86600.0,0.0,1.0,10.13,10.5,10.0,10.5,86600.0
1997-07-17,10.5,10.5,10.5,10.5,0.0,0.0,1.0,10.5,10.5,10.5,10.5,0.0
1997-07-18,10.5,10.5,10.5,10.5,0.0,0.0,1.0,10.5,10.5,10.5,10.5,0.0
1997-07-21,10.63,11.0,10.63,10.63,31300.0,0.0,1.0,10.63,11.0,10.63,10.63,31300.0
1997-07-22,11.13,11.25,11.13,11.25,5600.0,0.0,1.0,11.13,11.25,11.13,11.25,5600.0
1997-07-23,11.25,11.38,11.13,11.25,65400.0,0.0,1.0,11.25,11.38,11.13,11.25,65400.0
1997-07-24,11.25,11.25,11.25,11.25,0.0,0.0,1.0,11.25,11.25,11.25,11.25,0.0
1997-07-25,11.25,11.63,11.13,11.63,203400.0,0.0,1.0,11.25,11.63,11.13,11.63,203400.0
1997-07-28,11.75,11.75,11.75,11.75,6000.0,0.0,1.0,11.75,11.75,11.75,11.75,6000.0
1997-07-29,11.75,11.75,11.75,11.75,14600.0,0.0,1.0,11.75,11.75,11.75,11.75,14600.0
1997-07-30,11.75,11.75,11.75,11.75,2300.0,0.0,1.0,11.75,11.75,11.75,11.75,2300.0
1997-07-31,11.88,11.88,11.5,11.88,2500.0,0.0,1.0,11.88,11.88,11.5,11.88,2500.0
1997-08-01,11.88,11.88,11.88,11.88,400.0,0.0,1.0,11.88,11.88,11.88,11.88,400.0
1997-08-04,11.38,11.38,11.38,11.38,1400.0,0.0,1.0,11.38,11.38,11.38,11.38,1400.0
1997-08-05,12.63,14.25,11.38,14.25,113100.0,0.0,1.0,12.63,14.25,11.38,14.25,113100.0
1997-08-06,14.0,14.25,13.75,14.0,1700.0,0.0,1.0,14.0,14.25,13.75,14.0,1700.0
1997-08-07,14.5,14.75,14.0,14.38,24500.0,0.0,1.0,14.5,14.75,14.0,14.38,24500.0
1997-08-08,14.38,14.63,13.88,13.88,32100.0,0.0,1.0,14.38,14.63,13.88,13.88,32100.0
1997-08-11,13.25,14.25,13.25,14.25,21200.0,0.0,1.0,13.25,14.25,13.25,14.25,21200.0
1997-08-12,14.38,14.38,13.75,13.75,30800.0,0.0,1.0,14.38,14.38,13.75,13.75,30800.0
1997-08-13,14.38,14.38,13.63,14.38,30300.0,0.0,1.0,14.38,14.38,13.63,14.38,30300.0
1997-08-14,13.63,14.38,13.63,13.63,1000.0,0.0,1.0,13.63,14.38,13.63,13.63,1000.0
1997-08-15,13.63,13.63,13.63,13.63,1000.0,0.0,1.0,13.63,13.63,13.63,13.63,1000.0
1997-08-18,13.63,14.25,13.63,13.63,1300.0,0.0,1.0,13.63,14.25,13.63,13.63,1300.0
1997-08-19,13.63,14.25,13.63,13.63,10200.0,0.0,1.0,13.63,14.25,13.63,13.63,10200.0
1997-08-20,13.75,13.75,13.75,13.75,200.0,0.0,1.0,13.75,13.75,13.75,13.75,200.0
1997-08-21,13.75,13.88,13.13,13.13,26000.0,0.0,1.0,13.75,13.88,13.13,13.13,26000.0
1997-08-22,13.13,13.38,13.13,13.38,16000.0,0.0,1.0,13.13,13.38,13.13,13.38,16000.0
1997-08-25,13.5,14.0,13.5,14.0,16100.0,0.0,1.0,13.5,14.0,13.5,14.0,16100.0
1997-08-26,13.75,14.38,13.5,14.38,29700.0,0.0,1.0,13.75,14.38,13.5,14.38,29700.0
1997-08-27,13.63,13.63,13.63,13.63,5000.0,0.0,1.0,13.63,13.63,13.63,13.63,5000.0
1997-08-28,13.62,13.62,13.62,13.62,0.0,0.0,1.0,13.62,13.62,13.62,13.62,0.0
1997-08-29,13.44,13.63,13.0,13.25,22100.0,0.0,1.0,13.44,13.63,13.0,13.25,22100.0
1997-09-02,13.25,13.25,13.25,13.25,0.0,0.0,1.0,13.25,13.25,13.25,13.25,0.0
1997-09-03,13.0,13.38,13.0,13.25,11800.0,0.0,1.0,13.0,13.38,13.0,13.25,11800.0
1997-09-04,13.25,13.25,13.25,13.25,0.0,0.0,1.0,13.25,13.25,13.25,13.25,0.0
1997-09-05,12.88,13.38,12.88,13.25,3800.0,0.0,1.0,12.88,13.38,12.88,13.25,3800.0
1997-09-08,13.25,13.25,13.25,13.25,300.0,0.0,1.0,13.25,13.25,13.25,13.25,300.0
1997-09-09,13.25,13.25,13.25,13.25,0.0,0.0,1.0,13.25,13.25,13.25,13.25,0.0
1997-09-10,12.75,12.75,11.75,11.75,7500.0,0.0,1.0,12.75,12.75,11.75,11.75,7500.0
1997-09-11,11.75,11.75,11.38,11.38,3600.0,0.0,1.0,11.75,11.75,11.38,11.38,3600.0
1997-09-12,11.5,11.5,11.38,11.5,76700.0,0.0,1.0,11.5,11.5,11.38,11.5,76700.0
1997-09-15,11.44,11.63,11.44,11.44,1100.0,0.0,1.0,11.44,11.63,11.44,11.44,1100.0
1997-09-16,11.75,11.75,11.75,11.75,400.0,0.0,1.0,11.75,11.75,11.75,11.75,400.0
1997-09-17,11.75,12.0,11.5,12.0,18900.0,0.0,1.0,11.75,12.0,11.5,12.0,18900.0
1997-09-18,11.5,12.25,11.5,12.25,13400.0,0.0,1.0,11.5,12.25,11.5,12.25,13400.0
1997-09-19,11.25,11.88,11.25,11.88,1700.0,0.0,1.0,11.25,11.88,11.25,11.88,1700.0
1997-09-22,11.0,11.5,11.0,11.5,1300.0,0.0,1.0,11.0,11.5,11.0,11.5,1300.0
1997-09-23,11.38,11.38,11.0,11.0,3700.0,0.0,1.0,11.38,11.38,11.0,11.0,3700.0
1997-09-24,10.5,10.75,10.5,10.75,97800.0,0.0,1.0,10.5,10.75,10.5,10.75,97800.0
1997-09-25,10.63,11.25,10.63,10.75,145600.0,0.0,1.0,10.63,11.25,10.63,10.75,145600.0
1997-09-26,11.0,11.25,10.63,11.13,145700.0,0.0,1.0,11.0,11.25,10.63,11.13,145700.0
