Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1997-09-18,16.25,16.38,14.5,16.25,3156100.0,0.0,1.0,16.25,16.38,14.5,16.25,3156100.0
1997-09-19,16.13,18.13,15.38,17.38,731000.0,0.0,1.0,16.13,18.13,15.38,17.38,731000.0
1997-09-22,17.88,17.88,17.25,17.56,214300.0,0.0,1.0,17.88,17.88,17.25,17.56,214300.0
1997-09-23,17.88,17.88,17.5,17.5,296600.0,0.0,1.0,17.88,17.88,17.5,17.5,296600.0
1997-09-24,17.5,17.88,16.88,17.13,263800.0,0.0,1.0,17.5,17.88,16.88,17.13,263800.0
1997-09-25,17.0,17.13,17.0,17.13,117600.0,0.0,1.0,17.0,17.13,17.0,17.13,117600.0
1997-09-26,17.0,17.13,17.0,17.13,58700.0,0.0,1.0,17.0,17.13,17.0,17.13,58700.0
1997-09-29,17.0,17.13,16.25,16.38,280600.0,0.0,1.0,17.0,17.13,16.25,16.38,280600.0
1997-09-30,16.25,16.63,16.13,16.38,152600.0,0.0,1.0,16.25,16.63,16.13,16.38,152600.0
1997-10-01,16.63,17.5,16.5,16.88,122100.0,0.0,1.0,16.63,17.5,16.5,16.88,122100.0
1997-10-02,16.88,17.25,16.5,16.5,36000.0,0.0,1.0,16.88,17.25,16.5,16.5,36000.0
1997-10-03,16.88,17.0,16.75,16.88,157600.0,0.0,1.0,16.88,17.0,16.75,16.88,157600.0
1997-10-06,17.0,17.38,16.88,17.19,30600.0,0.0,1.0,17.0,17.38,16.88,17.19,30600.0
1997-10-07,17.13,17.38,17.0,17.13,39600.0,0.0,1.0,17.13,17.38,17.0,17.13,39600.0
1997-10-08,17.38,18.0,17.25,17.38,51900.0,0.0,1.0,17.38,18.0,17.25,17.38,51900.0
1997-10-09,17.38,17.63,17.13,17.38,23300.0,0.0,1.0,17.38,17.63,17.13,17.38,23300.0
1997-10-10,17.25,17.5,16.88,17.13,42900.0,0.0,1.0,17.25,17.5,16.88,17.13,42900.0
1997-10-13,16.88,17.25,16.88,17.0,32700.0,0.0,1.0,16.88,17.25,16.88,17.0,32700.0
1997-10-14,17.13,17.25,16.75,17.0,92500.0,0.0,1.0,17.13,17.25,16.75,17.0,92500.0
1997-10-15,17.0,17.25,16.75,16.88,50300.0,0.0,1.0,17.0,17.25,16.75,16.88,50300.0
1997-10-16,16.88,17.0,15.0,15.06,140300.0,0.0,1.0,16.88,17.0,15.0,15.06,140300.0
1997-10-17,15.0,15.5,14.19,15.0,240000.0,0.0,1.0,15.0,15.5,14.19,15.0,240000.0
1997-10-20,15.0,15.5,14.63,14.75,92200.0,0.0,1.0,15.0,15.5,14.63,14.75,92200.0
1997-10-21,14.88,15.25,14.75,15.0,159200.0,0.0,1.0,14.88,15.25,14.75,15.0,159200.0
1997-10-22,15.0,15.5,14.75,15.0,278900.0,0.0,1.0,15.0,15.5,14.75,15.0,278900.0
1997-10-23,15.38,15.38,14.38,15.0,127100.0,0.0,1.0,15.38,15.38,14.38,15.0,127100.0
1997-10-24,15.0,15.13,14.75,15.0,21100.0,0.0,1.0,15.0,15.13,14.75,15.0,21100.0
1997-10-27,14.13,14.63,13.38,13.5,25400.0,0.0,1.0,14.13,14.63,13.38,13.5,25400.0
1997-10-28,12.38,13.75,11.63,13.75,212000.0,0.0,1.0,12.38,13.75,11.63,13.75,212000.0
1997-10-29,14.75,14.75,14.0,14.0,332700.0,0.0,1.0,14.75,14.75,14.0,14.0,332700.0
1997-10-30,14.0,14.5,13.5,14.13,169200.0,0.0,1.0,14.0,14.5,13.5,14.13,169200.0
1997-10-31,14.13,14.25,13.5,13.63,43000.0,0.0,1.0,14.13,14.25,13.5,13.63,43000.0
1997-11-03,14.0,14.13,13.5,14.0,13900.0,0.0,1.0,14.0,14.13,13.5,14.0,13900.0
