Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1999-03-03,2.03,2.03,2.03,2.03,0.0,0.0,1.0,2.03,2.03,2.03,2.03,0.0
1999-03-04,2.03,2.03,2.03,2.03,0.0,0.0,0.02,2.03,2.03,2.03,2.03,0.0
1999-03-05,2.03,2.03,2.03,2.03,0.0,0.0,1.0,2.03,2.03,2.03,2.03,0.0
1999-03-08,2.03,2.03,2.03,2.03,0.0,0.0,1.0,2.03,2.03,2.03,2.03,0.0
1999-03-09,2.03,2.03,2.03,2.03,0.0,0.0,1.0,2.03,2.03,2.03,2.03,0.0
1999-03-10,1.5,1.5,1.5,1.5,78900.0,0.0,1.0,1.5,1.5,1.5,1.5,78900.0
1999-03-11,1.5,1.5,1.5,1.5,42400.0,0.0,1.0,1.5,1.5,1.5,1.5,42400.0
1999-03-12,1.5,1.5,1.5,1.5,25300.0,0.0,1.0,1.5,1.5,1.5,1.5,25300.0
1999-03-15,2.0,2.0,2.0,2.0,500.0,0.0,1.0,2.0,2.0,2.0,2.0,500.0
1999-03-16,2.0,2.0,1.5,1.5,6200.0,0.0,1.0,2.0,2.0,1.5,1.5,6200.0
1999-03-17,1.5,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.5,1.5,1.5,0.0
1999-03-18,1.5,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.5,1.5,1.5,0.0
1999-03-19,1.5,1.5,1.5,1.5,1000.0,0.0,1.0,1.5,1.5,1.5,1.5,1000.0
1999-03-22,1.5,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.5,1.5,1.5,0.0
1999-03-23,1.5,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.5,1.5,1.5,0.0
1999-03-24,1.5,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.5,1.5,1.5,0.0
1999-03-25,1.5,1.5,1.5,1.5,0.0,0.0,1.0,1.5,1.5,1.5,1.5,0.0
1999-03-26,2.0,2.0,1.5,1.56,20800.0,0.0,1.0,2.0,2.0,1.5,1.56,20800.0
1999-03-29,2.0,2.0,2.0,2.0,2000.0,0.0,1.0,2.0,2.0,2.0,2.0,2000.0
1999-03-30,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0
