Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1985-07-01,24.63,25.12,24.63,24.87,113033.0,0.0,1.0,0.70708911870964,0.72115625911434,0.70708911870964,0.71397914666296,1356396.0
1985-07-02,24.87,25.0,24.5,25.0,277400.0,0.0,2.0,1.4279582933259,1.4354224902754,1.4067140404698,1.4354224902754,1664400.0
1985-07-03,25.0,25.75,25.0,25.38,381267.0,0.0,1.0,1.4354224902754,1.4784851649836,1.4354224902754,1.4572409121275,2287602.0
1985-07-05,25.5,26.75,25.5,26.75,260400.0,0.0,1.0,1.4641309400809,1.5359020645946,1.4641309400809,1.5359020645946,1562400.0
1985-07-08,27.12,27.87,27.12,27.63,297000.0,0.0,1.0,1.5571463174507,1.600208992159,1.5571463174507,1.5864289362523,1782000.0
1985-07-09,27.63,27.75,25.5,25.75,583000.0,0.0,1.0,1.5864289362523,1.5933189642056,1.4641309400809,1.4784851649836,3498000.0
1985-07-10,25.75,25.88,25.0,25.75,362467.0,0.0,1.0,1.4784851649836,1.485949361933,1.4354224902754,1.4784851649836,2174802.0
1985-07-11,25.88,26.75,25.88,26.62,223267.0,0.0,1.0,1.485949361933,1.5359020645946,1.485949361933,1.5284378676452,1339602.0
1985-07-12,26.75,27.12,26.75,27.12,257667.0,0.0,1.0,1.5359020645946,1.5571463174507,1.5359020645946,1.5571463174507,1546002.0
1985-07-15,27.12,27.25,26.5,26.5,139400.0,0.0,1.0,1.5571463174507,1.5646105144001,1.5215478396919,1.5215478396919,836400.0
1985-07-16,26.75,27.0,26.75,26.88,130800.0,0.0,1.0,1.5359020645946,1.5502562894974,1.5359020645946,1.5433662615441,784800.0
1985-07-17,26.88,27.0,26.37,27.0,90000.0,0.0,1.0,1.5433662615441,1.5502562894974,1.5140836427424,1.5502562894974,540000.0
1985-07-18,26.75,26.75,26.37,26.62,109600.0,0.0,1.0,1.5359020645946,1.5359020645946,1.5140836427424,1.5284378676452,657600.0
1985-07-19,26.62,26.75,26.5,26.62,102667.0,0.0,1.0,1.5284378676452,1.5359020645946,1.5215478396919,1.5284378676452,616002.0
1985-07-22,26.62,26.62,26.13,26.37,120800.0,0.0,1.0,1.5284378676452,1.5284378676452,1.5003035868358,1.5140836427424,724800.0
1985-07-23,26.37,27.0,25.62,25.75,174667.0,0.0,1.0,1.5140836427424,1.5502562894974,1.4710209680342,1.4784851649836,1048002.0
1985-07-24,25.62,25.62,25.25,25.62,351600.0,0.0,1.0,1.4710209680342,1.4710209680342,1.4497767151781,1.4710209680342,2109600.0
1985-07-25,25.62,25.62,25.0,25.12,231600.0,0.0,1.0,1.4710209680342,1.4710209680342,1.4354224902754,1.4423125182287,1389600.0
1985-07-26,25.0,25.0,24.75,25.0,117800.0,0.0,1.0,1.4354224902754,1.4354224902754,1.4210682653726,1.4354224902754,706800.0
1985-07-29,25.0,25.0,24.25,24.25,124467.0,0.0,1.0,1.4354224902754,1.4354224902754,1.3923598155671,1.3923598155671,746802.0
1985-07-30,24.25,24.38,23.88,24.38,319667.0,0.0,1.0,1.3923598155671,1.3998240125165,1.371115562711,1.3998240125165,1918002.0
1985-07-31,24.38,24.87,24.38,24.75,209000.0,0.0,1.0,1.3998240125165,1.4279582933259,1.3998240125165,1.4210682653726,1254000.0
1985-08-01,24.87,25.12,24.87,25.0,259400.0,0.0,1.0,1.4279582933259,1.4423125182287,1.4279582933259,1.4354224902754,1556400.0
1985-08-02,25.0,25.12,24.63,24.63,194600.0,0.0,1.0,1.4354224902754,1.4423125182287,1.4141782374193,1.4141782374193,1167600.0
1985-08-05,24.63,24.87,24.38,24.38,92867.0,0.0,1.0,1.4141782374193,1.4279582933259,1.3998240125165,1.3998240125165,557202.0
1985-08-06,24.38,24.75,24.25,24.25,80800.0,0.0,1.0,1.3998240125165,1.4210682653726,1.3923598155671,1.3923598155671,484800.0
1985-08-07,24.25,24.38,23.88,23.88,200267.0,0.0,1.0,1.3923598155671,1.3998240125165,1.371115562711,1.371115562711,1201602.0
1985-08-08,23.88,24.25,23.88,24.12,82400.0,0.0,1.0,1.371115562711,1.3923598155671,1.371115562711,1.3848956186177,494400.0
1985-08-09,24.12,24.5,24.12,24.5,67200.0,0.0,1.0,1.3848956186177,1.4067140404698,1.3848956186177,1.4067140404698,403200.0
1985-08-12,24.5,24.75,24.12,24.25,98200.0,0.0,1.0,1.4067140404698,1.4210682653726,1.3848956186177,1.3923598155671,589200.0
1985-08-13,24.25,25.0,24.25,24.75,324800.0,0.0,1.0,1.3923598155671,1.4354224902754,1.3923598155671,1.4210682653726,1948800.0
1985-08-14,25.0,25.5,25.0,25.38,90600.0,0.0,1.0,1.4354224902754,1.4641309400809,1.4354224902754,1.4572409121275,543600.0
1985-08-15,25.38,25.75,25.12,25.12,89000.0,0.0,1.0,1.4572409121275,1.4784851649836,1.4423125182287,1.4423125182287,534000.0
1985-08-16,25.12,25.12,24.75,25.0,312067.0,0.0,1.0,1.4423125182287,1.4423125182287,1.4210682653726,1.4354224902754,1872402.0
1985-08-19,25.0,25.0,24.75,24.87,61867.0,0.0,1.0,1.4354224902754,1.4354224902754,1.4210682653726,1.4279582933259,371202.0
1985-08-20,24.87,24.87,24.25,24.5,120200.0,0.0,1.0,1.4279582933259,1.4279582933259,1.3923598155671,1.4067140404698,721200.0
1985-08-21,24.5,25.12,24.38,25.12,94067.0,0.0,1.0,1.4067140404698,1.4423125182287,1.3998240125165,1.4423125182287,564402.0
1985-08-22,25.12,25.25,24.75,25.0,35200.0,0.0,1.0,1.4423125182287,1.4497767151781,1.4210682653726,1.4354224902754,211200.0
1985-08-23,25.0,25.12,24.75,24.87,83267.0,0.0,1.0,1.4354224902754,1.4423125182287,1.4210682653726,1.4279582933259,499602.0
