Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1994-03-23,6.5,8.0,6.5,7.75,952400.0,0.0,1.0,6.5,8.0,6.5,7.75,952400.0
1994-03-24,7.75,9.25,7.5,8.5,312100.0,0.0,1.0,7.75,9.25,7.5,8.5,312100.0
1994-03-25,8.88,9.0,8.25,8.62,282000.0,0.0,1.0,8.88,9.0,8.25,8.62,282000.0
1994-03-28,8.25,8.88,8.0,8.0,85700.0,0.0,1.0,8.25,8.88,8.0,8.0,85700.0
1994-03-29,8.0,8.25,7.62,8.25,78100.0,0.0,1.0,8.0,8.25,7.62,8.25,78100.0
1994-03-30,7.62,8.25,7.5,8.25,114400.0,0.0,1.0,7.62,8.25,7.5,8.25,114400.0
1994-03-31,8.0,8.5,7.62,8.5,44700.0,0.0,1.0,8.0,8.5,7.62,8.5,44700.0
1994-04-04,7.62,7.75,7.0,7.38,45600.0,0.0,1.0,7.62,7.75,7.0,7.38,45600.0
1994-04-05,7.62,8.25,7.62,8.25,34700.0,0.0,1.0,7.62,8.25,7.62,8.25,34700.0
1994-04-06,8.0,8.25,7.75,7.75,10200.0,0.0,1.0,8.0,8.25,7.75,7.75,10200.0
1994-04-07,8.12,8.5,7.75,8.5,42000.0,0.0,1.0,8.12,8.5,7.75,8.5,42000.0
1994-04-08,8.5,9.0,8.25,8.38,115500.0,0.0,1.0,8.5,9.0,8.25,8.38,115500.0
1994-04-11,8.38,9.0,8.38,8.5,29600.0,0.0,1.0,8.38,9.0,8.38,8.5,29600.0
1994-04-12,9.0,9.0,8.25,8.75,22500.0,0.0,1.0,9.0,9.0,8.25,8.75,22500.0
1994-04-13,8.25,8.5,8.0,8.0,15100.0,0.0,1.0,8.25,8.5,8.0,8.0,15100.0
1994-04-14,8.0,8.0,8.0,8.0,0.0,0.0,1.0,8.0,8.0,8.0,8.0,0.0
1994-04-15,8.5,8.5,8.12,8.5,11400.0,0.0,1.0,8.5,8.5,8.12,8.5,11400.0
1994-04-18,8.25,8.5,8.25,8.5,11000.0,0.0,1.0,8.25,8.5,8.25,8.5,11000.0
1994-04-19,8.62,8.75,8.12,8.12,5800.0,0.0,1.0,8.62,8.75,8.12,8.12,5800.0
1994-04-20,8.3,8.75,8.12,8.12,24000.0,0.0,1.0,8.3,8.75,8.12,8.12,24000.0
1994-04-21,8.12,8.12,8.12,8.12,0.0,0.0,1.0,8.12,8.12,8.12,8.12,0.0
1994-04-22,8.12,8.75,8.12,8.75,8000.0,0.0,1.0,8.12,8.75,8.12,8.75,8000.0
1994-04-25,8.75,8.75,8.75,8.75,0.0,0.0,1.0,8.75,8.75,8.75,8.75,0.0
1994-04-26,8.12,8.75,8.12,8.25,4000.0,0.0,1.0,8.12,8.75,8.12,8.25,4000.0
1994-04-28,8.12,8.12,8.12,8.12,2000.0,0.0,1.0,8.12,8.12,8.12,8.12,2000.0
1994-04-29,8.12,8.75,8.12,8.75,40500.0,0.0,1.0,8.12,8.75,8.12,8.75,40500.0
1994-05-02,8.25,8.5,8.25,8.25,17200.0,0.0,1.0,8.25,8.5,8.25,8.25,17200.0
1994-05-03,8.25,8.75,8.25,8.75,11000.0,0.0,1.0,8.25,8.75,8.25,8.75,11000.0
1994-05-04,8.38,8.38,8.25,8.25,12700.0,0.0,1.0,8.38,8.38,8.25,8.25,12700.0
1994-05-05,8.75,9.12,8.62,8.62,17500.0,0.0,1.0,8.75,9.12,8.62,8.62,17500.0
1994-05-06,8.62,8.88,8.5,8.5,4300.0,0.0,1.0,8.62,8.88,8.5,8.5,4300.0
1994-05-09,8.5,9.0,8.5,8.75,36400.0,0.0,1.0,8.5,9.0,8.5,8.75,36400.0
1994-05-10,8.62,8.75,8.62,8.75,6100.0,0.0,1.0,8.62,8.75,8.62,8.75,6100.0
1994-05-11,8.75,8.88,8.75,8.75,20300.0,0.0,1.0,8.75,8.88,8.75,8.75,20300.0
1994-05-12,8.75,8.75,8.25,8.5,40900.0,0.0,1.0,8.75,8.75,8.25,8.5,40900.0
1994-05-13,8.25,8.88,8.25,8.5,18200.0,0.0,1.0,8.25,8.88,8.25,8.5,18200.0
1994-05-16,8.25,8.75,8.25,8.75,7200.0,0.0,1.0,8.25,8.75,8.25,8.75,7200.0
1994-05-17,8.25,8.75,8.25,8.75,5800.0,0.0,1.0,8.25,8.75,8.25,8.75,5800.0
1994-05-18,8.5,8.5,8.25,8.25,2000.0,0.0,1.0,8.5,8.5,8.25,8.25,2000.0
1994-05-19,8.5,8.75,8.25,8.75,9400.0,0.0,1.0,8.5,8.75,8.25,8.75,9400.0
1994-05-20,8.25,8.75,8.25,8.5,15300.0,0.0,1.0,8.25,8.75,8.25,8.5,15300.0
1994-05-23,8.25,8.25,8.25,8.25,4000.0,0.0,1.0,8.25,8.25,8.25,8.25,4000.0
