Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1996-05-23,12.0,13.25,11.0,12.5,4194100.0,0.0,1.0,12.0,13.25,11.0,12.5,4194100.0
1996-05-24,12.25,13.0,11.75,11.75,623500.0,0.0,1.0,12.25,13.0,11.75,11.75,623500.0
1996-05-28,11.75,12.13,10.75,10.88,592500.0,0.0,1.0,11.75,12.13,10.75,10.88,592500.0
1996-05-29,10.75,11.12,10.75,10.88,225500.0,0.0,1.0,10.75,11.12,10.75,10.88,225500.0
1996-05-30,10.75,11.0,10.5,10.75,157400.0,0.0,1.0,10.75,11.0,10.5,10.75,157400.0
1996-05-31,10.88,11.5,10.63,11.0,410600.0,0.0,1.0,10.88,11.5,10.63,11.0,410600.0
1996-06-03,11.0,11.25,10.5,10.75,129200.0,0.0,1.0,11.0,11.25,10.5,10.75,129200.0
1996-06-04,10.63,11.25,10.5,11.0,33500.0,0.0,1.0,10.63,11.25,10.5,11.0,33500.0
1996-06-05,10.94,11.25,10.63,11.25,31800.0,0.0,1.0,10.94,11.25,10.63,11.25,31800.0
1996-06-06,11.0,11.25,10.5,10.5,125700.0,0.0,1.0,11.0,11.25,10.5,10.5,125700.0
1996-06-07,10.5,10.88,10.5,10.5,104200.0,0.0,1.0,10.5,10.88,10.5,10.5,104200.0
1996-06-10,10.69,10.88,10.5,10.63,80900.0,0.0,1.0,10.69,10.88,10.5,10.63,80900.0
1996-06-11,11.0,11.0,10.5,10.5,14600.0,0.0,1.0,11.0,11.0,10.5,10.5,14600.0
1996-06-12,10.94,11.0,10.5,10.63,67200.0,0.0,1.0,10.94,11.0,10.5,10.63,67200.0
1996-06-13,10.5,11.0,10.5,10.5,26000.0,0.0,1.0,10.5,11.0,10.5,10.5,26000.0
1996-06-14,10.75,11.25,10.75,11.0,37000.0,0.0,1.0,10.75,11.25,10.75,11.0,37000.0
1996-06-17,11.25,11.25,10.75,11.12,131600.0,0.0,1.0,11.25,11.25,10.75,11.12,131600.0
1996-06-18,11.87,12.0,11.25,11.62,213400.0,0.0,1.0,11.87,12.0,11.25,11.62,213400.0
1996-06-19,11.75,11.75,10.5,10.5,200600.0,0.0,1.0,11.75,11.75,10.5,10.5,200600.0
1996-06-20,10.75,10.75,9.5,10.0,307500.0,0.0,1.0,10.75,10.75,9.5,10.0,307500.0
1996-06-21,10.0,10.0,9.5,10.0,74200.0,0.0,1.0,10.0,10.0,9.5,10.0,74200.0
1996-06-24,12.25,13.0,11.75,11.75,70800.0,0.0,1.0,12.25,13.0,11.75,11.75,70800.0
1996-06-25,9.5,10.0,9.0,9.38,113000.0,0.0,1.0,9.5,10.0,9.0,9.38,113000.0
1996-06-26,9.5,9.75,9.0,9.0,84800.0,0.0,1.0,9.5,9.75,9.0,9.0,84800.0
1996-06-27,9.5,9.5,8.25,8.25,91800.0,0.0,1.0,9.5,9.5,8.25,8.25,91800.0
1996-06-28,11.75,12.125,10.75,10.875,89200.0,0.0,1.0,11.75,12.125,10.75,10.875,89200.0
1996-07-01,10.875,11.5,10.625,11.0,89800.0,0.0,1.0,10.875,11.5,10.625,11.0,89800.0
1996-07-02,8.75,8.75,8.0,8.0,71500.0,0.0,1.0,8.75,8.75,8.0,8.0,71500.0
1996-07-03,11.0,11.25,10.5,10.75,160000.0,0.0,1.0,11.0,11.25,10.5,10.75,160000.0
1996-07-05,10.9375,11.25,10.625,11.25,3300.0,0.0,1.0,10.9375,11.25,10.625,11.25,3300.0
1996-07-08,8.0,8.25,7.75,8.25,21200.0,0.0,1.0,8.0,8.25,7.75,8.25,21200.0
1996-07-09,7.75,8.25,7.75,8.25,4800.0,0.0,1.0,7.75,8.25,7.75,8.25,4800.0
1996-07-10,7.88,8.25,7.75,8.25,115100.0,0.0,1.0,7.88,8.25,7.75,8.25,115100.0
1996-07-11,11.0,11.0,10.5,10.5,37800.0,0.0,1.0,11.0,11.0,10.5,10.5,37800.0
1996-07-12,10.9375,11.0,10.5,10.625,53000.0,0.0,1.0,10.9375,11.0,10.5,10.625,53000.0
