Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1990-03-26,23.62,23.75,23.38,23.38,33683.0,0.0,1.0,1.0105475426607,1.0161094046652,1.0002794897294,1.0002794897294,284200.3125
1990-03-27,23.25,23.38,22.75,22.75,34584.0,0.0,1.0,0.99471762772487,1.0002794897294,0.97332585078455,0.97332585078455,291802.5
1990-03-28,22.38,22.87,22.12,22.63,53393.0,0.0,1.0,0.95749593584871,0.97845987725023,0.94637221183975,0.96819182431887,450503.4375
1990-03-29,22.87,23.25,22.63,23.13,22673.0,0.0,1.0,0.97845987725023,0.99471762772487,0.96819182431887,0.98958360125919,191303.4375
1990-03-30,23.25,23.25,22.87,23.0,20279.0,0.0,1.0,0.99471762772487,0.99471762772487,0.97845987725023,0.98402173925471,171104.0625
1990-04-02,23.0,23.13,23.0,23.13,9991.0,0.0,1.0,0.98402173925471,0.98958360125919,0.98402173925471,0.98958360125919,84299.0625
1990-04-03,23.25,23.5,23.13,23.25,62886.0,0.0,1.0,0.99471762772487,1.005413516195,0.98958360125919,0.99471762772487,530600.625
1990-04-04,23.25,23.38,23.25,23.38,16676.0,0.0,1.0,0.99471762772487,1.0002794897294,0.99471762772487,1.0002794897294,140703.75
1990-04-05,23.25,23.5,23.25,23.5,43994.0,0.0,1.0,0.99471762772487,1.005413516195,0.99471762772487,1.005413516195,371199.375
1990-04-06,23.25,24.0,23.25,23.88,100800.0,0.0,1.0,0.99471762772487,1.0268052931354,0.99471762772487,1.0216712666697,850500.0
1990-04-09,23.62,23.88,23.62,23.62,14483.0,0.0,1.0,1.0105475426607,1.0216712666697,1.0105475426607,1.0105475426607,122200.3125
1990-04-10,24.0,24.25,24.0,24.13,8794.0,0.0,1.0,1.0268052931354,1.0375011816055,1.0268052931354,1.0323671551398,74199.375
1990-04-11,24.63,24.75,24.25,24.75,79787.0,0.0,1.0,1.0537589320802,1.0588929585458,1.0375011816055,1.0588929585458,673202.8125
1990-04-12,24.88,24.88,24.63,24.63,2880.0,0.0,1.0,1.0644548205503,1.0644548205503,1.0537589320802,1.0537589320802,24300.0
1990-04-16,25.12,25.5,25.0,25.12,52800.0,0.0,1.0,1.0747228734817,1.0909806239563,1.069588847016,1.0747228734817,445500.0
1990-04-17,25.0,25.25,24.75,25.0,21689.0,0.0,1.0,1.069588847016,1.0802847354862,1.0588929585458,1.069588847016,183000.9375
1990-04-18,25.0,25.12,24.63,24.63,44800.0,0.0,1.0,1.069588847016,1.0747228734817,1.0537589320802,1.0537589320802,378000.0
1990-04-19,24.5,24.63,24.37,24.37,143680.0,0.0,1.0,1.0481970700757,1.0537589320802,1.0426352080712,1.0426352080712,1212300.0
1990-04-20,24.25,24.37,24.13,24.37,25683.0,0.0,1.0,1.0375011816055,1.0426352080712,1.0323671551398,1.0426352080712,216700.3125
1990-04-23,24.13,24.37,24.13,24.13,33387.0,0.0,1.0,1.0323671551398,1.0426352080712,1.0323671551398,1.0323671551398,281702.8125
1990-04-24,24.5,24.75,24.25,24.5,47289.0,0.0,1.0,1.0481970700757,1.0588929585458,1.0375011816055,1.0481970700757,399000.9375
1990-04-25,24.63,24.63,24.25,24.25,14483.0,0.0,1.0,1.0537589320802,1.0537589320802,1.0375011816055,1.0375011816055,122200.3125
1990-04-26,24.25,24.37,24.13,24.37,131081.0,0.0,1.0,1.0375011816055,1.0426352080712,1.0323671551398,1.0426352080712,1105995.9375
1990-04-27,24.13,24.25,23.62,23.88,357191.0,0.0,1.0,1.0323671551398,1.0375011816055,1.0105475426607,1.0216712666697,3013799.0625
1990-04-30,23.0,23.0,22.5,23.0,29997.0,0.0,1.0,0.98402173925471,0.98402173925471,0.96262996231439,0.98402173925471,253099.6875
1990-05-01,23.0,23.0,23.0,23.0,0.0,0.0,1.0,0.98402173925471,0.98402173925471,0.98402173925471,0.98402173925471,0.0
1990-05-02,23.0,23.0,23.0,23.0,190.0,0.0,1.0,0.98402173925471,0.98402173925471,0.98402173925471,0.98402173925471,1603.125
1990-05-03,23.5,23.75,23.25,23.75,66086.0,0.0,1.0,1.005413516195,1.0161094046652,0.99471762772487,1.0161094046652,557600.625
1990-05-04,23.5,23.75,23.25,23.75,56273.0,0.0,1.0,1.005413516195,1.0161094046652,0.99471762772487,1.0161094046652,474803.4375
1990-05-07,23.62,23.75,23.12,23.75,117286.0,0.0,1.0,1.0105475426607,1.0161094046652,0.98915576572039,1.0161094046652,989600.625
1990-05-08,23.5,23.5,23.25,23.38,185873.0,0.0,1.0,1.005413516195,1.005413516195,0.99471762772487,1.0002794897294,1568303.4375
1990-05-09,23.25,23.5,22.5,22.5,33481.0,0.0,1.0,0.99471762772487,1.005413516195,0.96262996231439,0.96262996231439,282495.9375
1990-05-10,23.0,23.0,21.75,22.5,30187.0,0.0,1.0,0.98402173925471,0.98402173925471,0.93054229690391,0.96262996231439,254702.8125
1990-05-11,22.75,22.75,22.25,22.5,31289.0,0.0,1.0,0.97332585078455,0.97332585078455,0.95193407384423,0.96262996231439,264000.9375
1990-05-14,22.25,23.0,22.25,22.5,33873.0,0.0,1.0,0.95193407384423,0.98402173925471,0.95193407384423,0.96262996231439,285803.4375
1990-05-15,22.5,23.0,22.5,22.62,10679.0,0.0,1.0,0.96262996231439,0.98402173925471,0.96262996231439,0.96776398878007,90104.0625
1990-05-16,22.5,23.0,22.5,23.0,137280.0,0.0,1.0,0.96262996231439,0.98402173925471,0.96262996231439,0.98402173925471,1158300.0
1990-05-17,23.0,23.25,22.5,23.25,136000.0,0.0,1.0,0.98402173925471,0.99471762772487,0.96262996231439,0.99471762772487,1147500.0
1990-05-18,23.25,23.25,22.75,22.75,2394.0,0.0,1.0,0.99471762772487,0.99471762772487,0.97332585078455,0.97332585078455,20199.375
1990-05-21,22.75,23.25,22.75,23.25,1387.0,0.0,1.0,0.97332585078455,0.99471762772487,0.97332585078455,0.99471762772487,11702.8125
1990-05-22,22.75,23.38,22.75,22.75,11876.0,0.0,1.0,0.97332585078455,1.0002794897294,0.97332585078455,0.97332585078455,100203.75
1990-05-23,22.75,23.5,22.75,23.38,9079.0,0.0,1.0,0.97332585078455,1.005413516195,0.97332585078455,1.0002794897294,76604.0625
1990-05-24,23.12,23.5,23.0,23.0,3283.0,0.0,1.0,0.98915576572039,1.005413516195,0.98402173925471,0.98402173925471,27700.3125
1990-05-25,23.12,23.25,23.12,23.25,44089.0,0.0,1.0,0.98915576572039,0.99471762772487,0.98915576572039,0.99471762772487,372000.9375
1990-05-29,23.0,23.38,23.0,23.38,5286.0,0.0,1.0,0.98402173925471,1.0002794897294,0.98402173925471,1.0002794897294,44600.625
1990-05-30,23.5,23.5,23.25,23.25,2489.0,0.0,1.0,1.005413516195,1.005413516195,0.99471762772487,0.99471762772487,21000.9375
1990-05-31,23.25,23.5,23.25,23.38,2679.0,0.0,1.0,0.99471762772487,1.005413516195,0.99471762772487,1.0002794897294,22604.0625
1990-06-01,23.5,24.25,23.25,24.0,22281.0,0.0,1.0,1.005413516195,1.0375011816055,0.99471762772487,1.0268052931354,187995.9375
1990-06-04,24.5,25.12,24.37,25.0,52279.0,0.173,1.0,1.0554505938006,1.0821599557662,1.049850243711,1.0769904018373,441104.0625
1990-06-05,25.62,26.0,25.5,25.62,64593.0,0.0,1.0,1.1036997638029,1.1200700179108,1.0985302098741,1.1036997638029,545003.4375
1990-06-06,25.5,25.75,25.5,25.62,9683.0,0.0,1.0,1.0985302098741,1.1093001138925,1.0985302098741,1.1036997638029,81700.3125
1990-06-07,25.62,25.75,25.5,25.5,16273.0,0.0,1.0,1.1036997638029,1.1093001138925,1.0985302098741,1.0985302098741,137303.4375
1990-06-08,25.5,26.0,25.5,25.5,75591.0,0.0,1.0,1.0985302098741,1.1200700179108,1.0985302098741,1.0985302098741,637799.0625
1990-06-11,25.38,25.75,25.38,25.75,14080.0,0.0,1.0,1.0933606559453,1.1093001138925,1.0933606559453,1.1093001138925,118800.0
1990-06-12,25.38,25.75,25.38,25.38,7384.0,0.0,1.0,1.0933606559453,1.1093001138925,1.0933606559453,1.0933606559453,62302.5
1990-06-13,25.38,25.75,25.38,25.75,78791.0,0.0,1.0,1.0933606559453,1.1093001138925,1.0933606559453,1.1093001138925,664799.0625
1990-06-14,25.38,25.75,25.38,25.62,30080.0,0.0,1.0,1.0933606559453,1.1093001138925,1.0933606559453,1.1036997638029,253800.0
1990-06-15,25.62,25.62,25.5,25.5,7479.0,0.0,1.0,1.1036997638029,1.1036997638029,1.0985302098741,1.0985302098741,63104.0625
1990-06-18,25.75,25.75,25.5,25.5,21689.0,0.0,1.0,1.1093001138925,1.1093001138925,1.0985302098741,1.0985302098741,183000.9375
1990-06-19,25.75,25.75,25.25,25.62,57280.0,0.0,1.0,1.1093001138925,1.1093001138925,1.0877603058557,1.1036997638029,483300.0
1990-06-20,25.5,26.0,25.5,26.0,37594.0,0.0,1.0,1.0985302098741,1.1200700179108,1.0985302098741,1.1200700179108,317199.375
1990-06-21,25.5,25.75,25.5,25.5,43686.0,0.0,1.0,1.0985302098741,1.1093001138925,1.0985302098741,1.0985302098741,368600.625
1990-06-22,25.75,25.75,25.5,25.75,41079.0,0.0,1.0,1.1093001138925,1.1093001138925,1.0985302098741,1.1093001138925,346604.0625
1990-06-25,25.5,25.5,25.5,25.5,794.0,0.0,1.0,1.0985302098741,1.0985302098741,1.0985302098741,1.0985302098741,6699.375
1990-06-26,25.5,25.75,25.5,25.75,2394.0,0.0,1.0,1.0985302098741,1.1093001138925,1.0985302098741,1.1093001138925,20199.375
1990-06-27,26.0,27.0,26.0,26.25,55384.0,0.0,1.0,1.1200700179108,1.1631496339843,1.1200700179108,1.1308399219292,467302.5
1990-06-28,26.5,26.75,26.5,26.75,20397.0,0.0,1.0,1.1416098259476,1.152379729966,1.1416098259476,1.152379729966,172099.6875
1990-06-29,26.5,27.0,26.5,27.0,158483.0,0.0,1.0,1.1416098259476,1.1631496339843,1.1416098259476,1.1631496339843,1337200.3125
1990-07-02,26.75,27.0,26.37,26.37,33683.0,0.0,1.0,1.152379729966,1.1631496339843,1.136009475858,1.136009475858,284200.3125
1990-07-03,26.37,26.37,25.75,25.75,101286.0,0.0,1.0,1.136009475858,1.136009475858,1.1093001138925,1.1093001138925,854600.625
1990-07-05,25.75,26.0,25.62,26.0,26086.0,0.0,1.0,1.1093001138925,1.1200700179108,1.1036997638029,1.1200700179108,220100.625
1990-07-06,25.62,26.0,25.5,25.5,3793.0,0.0,1.0,1.1036997638029,1.1200700179108,1.0985302098741,1.0985302098741,32003.4375
1990-07-09,25.62,26.0,25.62,26.0,13393.0,0.0,1.0,1.1036997638029,1.1200700179108,1.1036997638029,1.1200700179108,113003.4375
1990-07-10,26.25,26.25,25.88,26.12,31194.0,0.0,1.0,1.1308399219292,1.1308399219292,1.114900463982,1.1252395718397,263199.375
1990-07-11,25.88,26.0,25.88,26.0,18489.0,0.0,1.0,1.114900463982,1.1200700179108,1.114900463982,1.1200700179108,156000.9375
1990-07-12,25.88,26.0,25.88,26.0,25991.0,0.0,1.0,1.114900463982,1.1200700179108,1.114900463982,1.1200700179108,219299.0625
1990-07-13,25.88,26.12,25.88,26.0,143076.0,0.0,1.0,1.114900463982,1.1252395718397,1.114900463982,1.1200700179108,1207203.75
1990-07-16,25.88,26.0,25.25,25.25,36681.0,0.0,1.0,1.114900463982,1.1200700179108,1.0877603058557,1.0877603058557,309495.9375
1990-07-17,25.0,25.25,24.5,24.5,37191.0,0.0,1.0,1.0769904018373,1.0877603058557,1.0554505938006,1.0554505938006,313799.0625
1990-07-18,24.5,24.75,24.25,24.25,55881.0,0.0,1.0,1.0554505938006,1.066220497819,1.0446806897822,1.0446806897822,471495.9375
1990-07-19,24.25,24.25,24.25,24.25,4184.0,0.0,1.0,1.0446806897822,1.0446806897822,1.0446806897822,1.0446806897822,35302.5
