Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1994-05-26,10.0,10.38,10.0,10.0,1594033.0,0.0,1.0,0.19102348018940635,0.19828237243660382,0.19102348018940635,0.19102348018940635,19128396.0
1994-05-27,10.0,10.38,10.0,10.0,931183.0,0.0,1.0,0.19102348018940635,0.19828237243660382,0.19102348018940635,0.19102348018940635,11174196.0
1994-05-31,10.38,10.38,10.0,10.38,465283.0,0.0,1.0,0.19828237243660382,0.19828237243660382,0.19102348018940635,0.19828237243660382,5583396.0
1994-06-01,10.38,10.38,10.0,10.0,325517.0,0.0,1.0,0.19828237243660382,0.19828237243660382,0.19102348018940635,0.19102348018940635,3906204.0
1994-06-02,10.0,10.38,10.0,10.0,672283.0,0.0,1.0,0.19102348018940635,0.19828237243660382,0.19102348018940635,0.19102348018940635,8067396.0
1994-06-03,10.0,10.38,10.0,10.38,129733.0,0.0,1.0,0.19102348018940635,0.19828237243660382,0.19102348018940635,0.19828237243660382,1556796.0
1994-06-06,10.13,10.38,10.13,10.38,99650.0,0.0,1.0,0.19350678543186864,0.19828237243660382,0.19350678543186864,0.19828237243660382,1195800.0
1994-06-07,10.38,10.38,10.0,10.13,262417.0,0.0,1.0,0.19828237243660382,0.19828237243660382,0.19102348018940635,0.19350678543186864,3149004.0
1994-06-08,10.0,10.38,10.0,10.06,510117.0,0.0,1.0,0.19102348018940635,0.19828237243660382,0.19102348018940635,0.1921696210705428,6121404.0
1994-06-09,10.0,10.0,9.375,9.75,1703733.0,0.0,1.0,0.19102348018940635,0.19102348018940635,0.17908451267756845,0.1862478931846712,20444796.0
1994-06-10,9.25,9.25,8.875,8.875,935900.0,0.0,1.0,0.17669671917520088,0.17669671917520088,0.16953333866809814,0.16953333866809814,11230800.0
1994-06-13,9.25,9.25,8.625,8.625,99067.0,0.0,1.0,0.17669671917520088,0.17669671917520088,0.16475775166336298,0.16475775166336298,1188804.0
1994-06-14,8.875,8.875,8.5,8.5,63683.0,0.0,1.0,0.16953333866809814,0.16953333866809814,0.1623699581609954,0.1623699581609954,764196.0
1994-06-15,8.5,8.75,8.5,8.5,38917.0,0.0,1.0,0.1623699581609954,0.16714554516573055,0.1623699581609954,0.1623699581609954,467004.0
1994-06-16,8.5,8.5,8.5,8.5,67817.0,0.0,1.0,0.1623699581609954,0.1623699581609954,0.1623699581609954,0.1623699581609954,813804.0
1994-06-17,8.5,8.625,8.25,8.5,537833.0,0.0,1.0,0.1623699581609954,0.16475775166336298,0.15759437115626024,0.1623699581609954,6453996.0
1994-06-20,8.5,8.5,8.5,8.5,483567.0,0.0,1.0,0.1623699581609954,0.1623699581609954,0.1623699581609954,0.1623699581609954,5802804.0
1994-06-21,8.5,8.5,7.875,8.25,195200.0,0.0,1.0,0.1623699581609954,0.1623699581609954,0.1504309906491575,0.15759437115626024,2342400.0
1994-06-22,8.016,8.125,7.875,7.875,477683.0,0.0,1.0,0.15312442171982812,0.15520657765389267,0.1504309906491575,0.1504309906491575,5732196.0
1994-06-23,8.25,8.25,7.75,7.75,514833.0,0.0,1.0,0.15759437115626024,0.15759437115626024,0.14804319714678993,0.14804319714678993,6177996.0
1994-06-24,7.75,7.75,7.5,7.75,177500.0,0.0,1.0,0.14804319714678993,0.14804319714678993,0.14326761014205477,0.14804319714678993,2130000.0
1994-06-27,7.5,7.5,7.0,7.125,626283.0,0.0,1.0,0.14326761014205477,0.14326761014205477,0.13371643613258444,0.13610422963495203,7515396.0
1994-06-28,7.375,7.5,7.0,7.375,371517.0,0.0,1.0,0.14087981663968718,0.14326761014205477,0.13371643613258444,0.14087981663968718,4458204.0
1994-06-29,7.375,7.375,7.125,7.25,306067.0,0.0,1.0,0.14087981663968718,0.14087981663968718,0.13610422963495203,0.13849202313731962,3672804.0
1994-06-30,7.125,7.5,7.125,7.375,227033.0,0.0,1.0,0.13610422963495203,0.14326761014205477,0.13610422963495203,0.14087981663968718,2724396.0
1994-07-01,7.25,7.5,7.25,7.5,14150.0,0.0,1.0,0.13849202313731962,0.14326761014205477,0.13849202313731962,0.14326761014205477,169800.0
1994-07-05,7.5,7.5,7.5,7.5,7650.0,0.0,1.0,0.14326761014205477,0.14326761014205477,0.14326761014205477,0.14326761014205477,91800.0
1994-07-06,7.5,7.625,7.25,7.375,985433.0,0.0,1.0,0.14326761014205477,0.14565540364442234,0.13849202313731962,0.14087981663968718,11825196.0
1994-07-07,7.563,7.75,7.5,7.625,555517.0,0.0,1.0,0.14447105806724803,0.14804319714678993,0.14326761014205477,0.14565540364442234,6666204.0
1994-07-08,7.75,7.75,7.5,7.75,413983.0,0.0,1.0,0.14804319714678993,0.14804319714678993,0.14326761014205477,0.14804319714678993,4967796.0
1994-07-11,7.75,7.75,7.5,7.625,192833.0,0.0,1.0,0.14804319714678993,0.14804319714678993,0.14326761014205477,0.14565540364442234,2313996.0
1994-07-12,7.625,7.75,7.188,7.75,582650.0,0.0,1.0,0.14565540364442234,0.14804319714678993,0.13730767756014528,0.14804319714678993,6991800.0
1994-07-13,7.75,7.75,7.5,7.625,276583.0,0.0,1.0,0.14804319714678993,0.14804319714678993,0.14326761014205477,0.14565540364442234,3318996.0
1994-07-14,7.75,7.75,7.625,7.75,129733.0,0.0,1.0,0.14804319714678993,0.14804319714678993,0.14565540364442234,0.14804319714678993,1556796.0
1994-07-15,7.625,7.75,7.625,7.75,37733.0,0.0,1.0,0.14565540364442234,0.14804319714678993,0.14565540364442234,0.14804319714678993,452796.0
1994-07-18,7.75,7.75,7.75,7.75,23583.0,0.0,1.0,0.14804319714678993,0.14804319714678993,0.14804319714678993,0.14804319714678993,282996.0
1994-07-19,7.75,8.5,7.75,8.25,779033.0,0.0,1.0,0.14804319714678993,0.1623699581609954,0.14804319714678993,0.15759437115626024,9348396.0
1994-07-20,8.5,8.5,8.25,8.375,107917.0,0.0,1.0,0.1623699581609954,0.1623699581609954,0.15759437115626024,0.15998216465862783,1295004.0
1994-07-21,8.375,8.5,8.25,8.5,62500.0,0.0,1.0,0.15998216465862783,0.1623699581609954,0.15759437115626024,0.1623699581609954,750000.0
1994-07-22,8.5,8.5,8.25,8.375,106150.0,0.0,1.0,0.1623699581609954,0.1623699581609954,0.15759437115626024,0.15998216465862783,1273800.0
1994-07-25,8.25,8.5,7.75,7.75,235300.0,0.0,1.0,0.15759437115626024,0.1623699581609954,0.14804319714678993,0.14804319714678993,2823600.0
1994-07-26,8.125,8.125,7.75,7.75,90217.0,0.0,1.0,0.15520657765389267,0.15520657765389267,0.14804319714678993,0.14804319714678993,1082604.0
1994-07-27,7.875,7.875,7.5,7.625,288367.0,0.0,1.0,0.1504309906491575,0.1504309906491575,0.14326761014205477,0.14565540364442234,3460404.0
1994-07-28,7.625,7.625,7.438,7.625,61917.0,0.0,1.0,0.14565540364442234,0.14565540364442234,0.14208326456488043,0.14565540364442234,743004.0
1994-07-29,7.625,7.625,7.625,7.625,5300.0,0.0,1.0,0.14565540364442234,0.14565540364442234,0.14565540364442234,0.14565540364442234,63600.0
1994-08-01,7.625,7.75,7.375,7.5,40683.0,0.0,1.0,0.14565540364442234,0.14804319714678993,0.14087981663968718,0.14326761014205477,488196.0
1994-08-02,7.5,7.75,7.5,7.625,47767.0,0.0,1.0,0.14326761014205477,0.14804319714678993,0.14326761014205477,0.14565540364442234,573204.0
