Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1995-10-13,10.5,11.25,10.5,10.5,555571.0,0.0,1.0,0.73679535290831,0.78942359240176,0.73679535290831,0.73679535290831,6328300.921875
1995-10-16,11.0,11.0,10.5,10.63,87186.0,0.0,1.0,0.77188084590395,0.77188084590395,0.73679535290831,0.74591758108718,993103.03125
1995-10-17,10.5,11.0,10.5,10.5,24257.0,0.0,1.0,0.73679535290831,0.77188084590395,0.73679535290831,0.73679535290831,276302.390625
1995-10-18,10.0,10.5,9.75,10.0,467209.0,0.0,1.0,0.70170985991268,0.73679535290831,0.68416711341486,0.70170985991268,5321802.515625
1995-10-19,10.13,10.25,10.0,10.13,100030.0,0.0,1.0,0.71083208809154,0.71925260641049,0.70170985991268,0.71083208809154,1139404.21875
1995-10-20,10.25,11.0,10.0,10.5,59742.0,0.0,1.0,0.71925260641049,0.77188084590395,0.70170985991268,0.73679535290831,680498.71875
1995-10-23,10.5,10.5,10.25,10.38,84385.0,0.0,1.0,0.73679535290831,0.73679535290831,0.71925260641049,0.72837483458936,961197.890625
1995-10-24,10.38,10.75,10.25,10.25,36793.0,0.0,1.0,0.72837483458936,0.75433809940613,0.71925260641049,0.71925260641049,419095.265625
1995-10-25,10.75,10.75,10.25,10.25,53860.0,0.0,1.0,0.75433809940613,0.75433809940613,0.71925260641049,0.71925260641049,613499.0625
1995-10-26,10.25,10.75,10.13,10.13,17435.0,0.0,1.0,0.71925260641049,0.75433809940613,0.71083208809154,0.71083208809154,198595.546875
1995-10-27,10.13,10.75,10.13,10.13,17181.0,0.0,1.0,0.71083208809154,0.75433809940613,0.71083208809154,0.71083208809154,195702.328125
1995-10-30,10.13,10.75,10.13,10.13,5224.0,0.0,1.0,0.71083208809154,0.75433809940613,0.71083208809154,0.71083208809154,59504.625
