Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1997-01-03,0.37,0.37,0.37,0.37,4600.0,0.0,1.0,0.74,0.74,0.74,0.74,2300.0
1997-01-06,0.4,0.4,0.37,0.4,109000.0,0.0,1.0,0.8,0.8,0.74,0.8,54500.0
1997-01-07,0.4,0.42,0.39,0.4,34000.0,0.0,1.0,0.8,0.84,0.78,0.8,17000.0
1997-01-08,0.48,0.48,0.43,0.48,202400.0,0.0,1.0,0.96,0.96,0.86,0.96,101200.0
1997-01-09,0.49,0.49,0.46,0.49,48200.0,0.0,1.0,0.98,0.98,0.92,0.98,24100.0
1997-01-10,0.46,0.49,0.46,0.46,46800.0,0.0,1.0,0.92,0.98,0.92,0.92,23400.0
1997-01-13,0.44,0.46,0.44,0.44,37600.0,0.0,1.0,0.88,0.92,0.88,0.88,18800.0
1997-01-14,0.42,0.46,0.42,0.42,32200.0,0.0,1.0,0.84,0.92,0.84,0.84,16100.0
1997-01-15,0.41,0.42,0.41,0.41,6400.0,0.0,1.0,0.82,0.84,0.82,0.82,3200.0
1997-01-16,0.41,0.43,0.4,0.41,110000.0,0.0,1.0,0.82,0.86,0.8,0.82,55000.0
1997-01-17,0.41,0.41,0.41,0.41,8800.0,0.0,1.0,0.82,0.82,0.82,0.82,4400.0
1997-01-20,0.41,0.41,0.41,0.41,27000.0,0.0,1.0,0.82,0.82,0.82,0.82,13500.0
1997-01-21,0.42,0.43,0.42,0.42,15200.0,0.0,1.0,0.84,0.86,0.84,0.84,7600.0
1997-01-22,0.45,0.47,0.43,0.45,67600.0,0.0,1.0,0.9,0.94,0.86,0.9,33800.0
1997-01-23,0.44,0.48,0.44,0.44,201800.0,0.0,1.0,0.88,0.96,0.88,0.88,100900.0
1997-01-24,0.49,0.49,0.44,0.49,93600.0,0.0,1.0,0.98,0.98,0.88,0.98,46800.0
1997-01-27,0.47,0.48,0.46,0.47,37400.0,0.0,1.0,0.94,0.96,0.92,0.94,18700.0
1997-01-28,0.47,0.49,0.47,0.47,67000.0,0.0,1.0,0.94,0.98,0.94,0.94,33500.0
1997-01-29,0.47,0.47,0.47,0.47,7800.0,0.0,1.0,0.94,0.94,0.94,0.94,3900.0
1997-01-30,0.48,0.5,0.47,0.48,71000.0,0.0,1.0,0.96,1.0,0.94,0.96,35500.0
1997-01-31,0.49,0.53,0.49,0.49,96400.0,0.0,1.0,0.98,1.06,0.98,0.98,48200.0
1997-02-03,0.49,0.52,0.48,0.49,114400.0,0.0,1.0,0.98,1.04,0.96,0.98,57200.0
1997-02-04,0.52,0.52,0.48,0.52,138400.0,0.0,1.0,1.04,1.04,0.96,1.04,69200.0
1997-02-05,0.51,0.53,0.51,0.51,37800.0,0.0,1.0,1.02,1.06,1.02,1.02,18900.0
1997-02-06,0.52,0.53,0.51,0.52,36000.0,0.0,1.0,1.04,1.06,1.02,1.04,18000.0
