Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1985-07-03,12.13,12.5,12.0,12.5,7104.0,0.0,1.25,1.7224528643085,1.7749926466493,1.7039929407833,1.7749926466493,26640.0
1985-07-05,12.63,13.13,12.63,13.13,9760.0,0.0,1.0,1.7934525701745,1.8644522760404,1.7934525701745,1.8644522760404,36600.0
1985-07-08,13.13,13.13,12.87,12.87,3600.0,0.0,1.0,1.8644522760404,1.8644522760404,1.8275324289901,1.8275324289901,13500.0
1985-07-09,12.87,12.87,12.5,12.5,4000.0,0.0,1.0,1.8275324289901,1.8275324289901,1.7749926466493,1.7749926466493,15000.0
1985-07-10,12.5,12.63,12.5,12.5,1520.0,0.0,1.0,1.7749926466493,1.7934525701745,1.7749926466493,1.7749926466493,5700.0
1985-07-11,12.5,12.63,12.5,12.63,4880.0,0.0,1.0,1.7749926466493,1.7934525701745,1.7749926466493,1.7934525701745,18300.0
1985-07-12,12.5,12.5,12.5,12.5,2160.0,0.0,1.0,1.7749926466493,1.7749926466493,1.7749926466493,1.7749926466493,8100.0
1985-07-15,12.5,12.63,12.5,12.63,3120.0,0.0,1.0,1.7749926466493,1.7934525701745,1.7749926466493,1.7934525701745,11700.0
1985-07-16,12.87,13.38,12.87,13.13,29200.0,0.0,1.0,1.8275324289901,1.8999521289734,1.8275324289901,1.8644522760404,109500.0
1985-07-17,13.13,13.5,13.13,13.38,33520.0,0.0,1.0,1.8644522760404,1.9169920583813,1.8644522760404,1.8999521289734,125700.0
1985-07-18,13.38,13.38,12.63,12.63,11120.0,0.0,1.0,1.8999521289734,1.8999521289734,1.7934525701745,1.7934525701745,41700.0
1985-07-19,12.87,13.0,12.87,13.0,1360.0,0.0,1.0,1.8275324289901,1.8459923525153,1.8275324289901,1.8459923525153,5100.0
1985-07-22,13.0,13.13,13.0,13.13,480.0,0.0,1.0,1.8459923525153,1.8644522760404,1.8459923525153,1.8644522760404,1800.0
1985-07-23,13.13,13.13,12.5,12.5,9280.0,0.0,1.0,1.8644522760404,1.8644522760404,1.7749926466493,1.7749926466493,34800.0
1985-07-24,12.5,12.5,12.25,12.5,5760.0,0.0,1.0,1.7749926466493,1.7749926466493,1.7394927937163,1.7749926466493,21600.0
1985-07-25,12.63,12.87,12.63,12.63,4400.0,0.0,1.0,1.7934525701745,1.8275324289901,1.7934525701745,1.7934525701745,16500.0
1985-07-26,12.63,12.63,12.5,12.5,4240.0,0.0,1.0,1.7934525701745,1.7934525701745,1.7749926466493,1.7749926466493,15900.0
1985-07-29,12.5,12.63,11.75,12.0,11200.0,0.0,1.0,1.7749926466493,1.7934525701745,1.6684930878504,1.7039929407833,42000.0
