Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1992-03-20,14.75,15.25,14.25,14.5,131400.0,0.0,1.0,7.375,7.625,7.125,7.25,262800.0
1992-03-23,14.5,15.25,14.5,14.5,21900.0,0.0,1.0,7.25,7.625,7.25,7.25,43800.0
1992-03-24,15.0,15.25,14.5,15.0,36800.0,0.0,1.0,7.5,7.625,7.25,7.5,73600.0
1992-03-25,15.25,15.25,14.5,15.25,14000.0,0.0,1.0,7.625,7.625,7.25,7.625,28000.0
1992-03-26,15.25,16.5,14.5,15.5,93900.0,0.0,1.0,7.625,8.25,7.25,7.75,187800.0
1992-03-27,15.5,16.0,15.25,15.75,12200.0,0.0,1.0,7.75,8.0,7.625,7.875,24400.0
1992-03-30,15.75,16.0,15.25,16.0,22900.0,0.0,1.0,7.875,8.0,7.625,8.0,45800.0
1992-03-31,16.0,16.0,15.0,15.5,19800.0,0.0,1.0,8.0,8.0,7.5,7.75,39600.0
1992-04-01,15.5,15.62,14.75,15.62,20000.0,0.0,1.0,7.75,7.81,7.375,7.81,40000.0
1992-04-02,15.62,16.0,15.12,15.5,13800.0,0.0,1.0,7.81,8.0,7.56,7.75,27600.0
1992-04-03,15.0,15.5,14.75,15.0,24100.0,0.0,1.0,7.5,7.75,7.375,7.5,48200.0
1992-04-06,14.75,15.25,14.75,14.75,5200.0,0.0,1.0,7.375,7.625,7.375,7.375,10400.0
1992-04-07,14.75,15.5,14.75,15.0,4800.0,0.0,1.0,7.375,7.75,7.375,7.5,9600.0
1992-04-08,14.75,14.75,14.0,14.75,28400.0,0.0,1.0,7.375,7.375,7.0,7.375,56800.0
1992-04-09,14.5,15.25,14.5,14.5,2200.0,0.0,1.0,7.25,7.625,7.25,7.25,4400.0
1992-04-10,15.25,15.25,14.75,15.25,13000.0,0.0,1.0,7.625,7.625,7.375,7.625,26000.0
1992-04-13,14.75,15.25,14.75,14.75,3100.0,0.0,1.0,7.375,7.625,7.375,7.375,6200.0
1992-04-14,15.5,15.5,15.25,15.25,600.0,0.0,1.0,7.75,7.75,7.625,7.625,1200.0
1992-04-15,15.0,15.5,15.0,15.5,5900.0,0.0,1.0,7.5,7.75,7.5,7.75,11800.0
1992-04-16,15.0,15.75,15.0,15.0,8500.0,0.0,1.0,7.5,7.875,7.5,7.5,17000.0
1992-04-20,15.0,15.75,14.75,15.0,15700.0,0.0,1.0,7.5,7.875,7.375,7.5,31400.0
1992-04-21,15.25,15.25,14.5,14.5,2000.0,0.0,1.0,7.625,7.625,7.25,7.25,4000.0
1992-04-22,15.25,15.25,14.75,15.0,3800.0,0.0,1.0,7.625,7.625,7.375,7.5,7600.0
1992-04-23,15.25,15.25,14.75,14.75,1000.0,0.0,1.0,7.625,7.625,7.375,7.375,2000.0
1992-04-24,14.5,15.25,14.5,15.25,3100.0,0.0,1.0,7.25,7.625,7.25,7.625,6200.0
1992-04-27,14.75,15.25,14.5,15.0,16900.0,0.0,1.0,7.375,7.625,7.25,7.5,33800.0
1992-04-28,14.5,15.0,14.5,14.5,22300.0,0.0,1.0,7.25,7.5,7.25,7.25,44600.0
1992-04-29,14.5,15.0,14.5,14.5,2800.0,0.0,1.0,7.25,7.5,7.25,7.25,5600.0
1992-04-30,14.5,14.88,14.5,14.5,42500.0,0.0,1.0,7.25,7.44,7.25,7.25,85000.0
1992-05-01,15.5,15.5,14.5,15.25,13300.0,0.0,1.0,7.75,7.75,7.25,7.625,26600.0
1992-05-04,14.5,14.75,14.5,14.75,700.0,0.0,1.0,7.25,7.375,7.25,7.375,1400.0
1992-05-05,15.5,15.5,14.5,14.5,1800.0,0.0,1.0,7.75,7.75,7.25,7.25,3600.0
1992-05-06,15.0,15.5,14.5,15.0,5200.0,0.0,1.0,7.5,7.75,7.25,7.5,10400.0
1992-05-07,14.5,15.25,14.5,15.25,2300.0,0.0,1.0,7.25,7.625,7.25,7.625,4600.0
1992-05-08,14.5,15.25,14.5,15.25,8500.0,0.0,1.0,7.25,7.625,7.25,7.625,17000.0
1992-05-11,15.0,16.25,15.0,15.5,28100.0,0.0,1.0,7.5,8.125,7.5,7.75,56200.0
1992-05-12,15.5,16.5,15.5,16.5,32100.0,0.0,1.0,7.75,8.25,7.75,8.25,64200.0
1992-05-13,15.75,16.5,15.5,15.5,3800.0,0.0,1.0,7.875,8.25,7.75,7.75,7600.0
1992-05-14,16.25,16.25,15.5,16.25,5700.0,0.0,1.0,8.125,8.125,7.75,8.125,11400.0
1992-05-15,16.0,16.0,15.25,16.0,8900.0,0.0,1.0,8.0,8.0,7.625,8.0,17800.0
1992-05-18,16.0,16.0,15.25,16.0,600.0,0.0,1.0,8.0,8.0,7.625,8.0,1200.0
1992-05-19,15.25,15.75,15.25,15.25,1500.0,0.0,1.0,7.625,7.875,7.625,7.625,3000.0
1992-05-20,16.0,16.0,15.75,16.0,2100.0,0.0,1.0,8.0,8.0,7.875,8.0,4200.0
1992-05-21,15.25,15.25,15.25,15.25,100.0,0.0,1.0,7.625,7.625,7.625,7.625,200.0
1992-05-22,15.25,15.5,15.25,15.38,13000.0,0.0,1.0,7.625,7.75,7.625,7.69,26000.0
1992-05-26,16.0,16.0,15.75,16.0,1200.0,0.0,1.0,8.0,8.0,7.875,8.0,2400.0
1992-05-27,15.75,15.75,15.0,15.0,5200.0,0.0,1.0,7.875,7.875,7.5,7.5,10400.0
1992-05-28,15.75,15.75,14.62,14.75,59800.0,0.0,1.0,7.875,7.875,7.31,7.375,119600.0
1992-05-29,14.5,14.62,14.5,14.5,3000.0,0.0,1.0,7.25,7.31,7.25,7.25,6000.0
1992-06-01,15.25,15.25,14.5,15.25,800.0,0.0,1.0,7.625,7.625,7.25,7.625,1600.0
1992-06-02,14.5,14.5,14.5,14.5,400.0,0.0,1.0,7.25,7.25,7.25,7.25,800.0
1992-06-03,14.5,15.0,14.5,15.0,17800.0,0.0,1.0,7.25,7.5,7.25,7.5,35600.0
1992-06-04,15.0,15.5,14.75,15.5,3200.0,0.0,1.0,7.5,7.75,7.375,7.75,6400.0
1992-06-05,15.5,15.5,14.75,14.75,20100.0,0.0,1.0,7.75,7.75,7.375,7.375,40200.0
1992-06-08,14.5,15.5,14.5,15.5,700.0,0.0,1.0,7.25,7.75,7.25,7.75,1400.0
1992-06-09,15.0,15.5,14.5,14.75,1800.0,0.0,1.0,7.5,7.75,7.25,7.375,3600.0
1992-06-10,15.5,15.5,15.5,15.5,900.0,0.0,1.0,7.75,7.75,7.75,7.75,1800.0
1992-06-11,14.75,15.5,14.75,15.5,1700.0,0.0,1.0,7.375,7.75,7.375,7.75,3400.0
1992-06-12,15.5,15.5,15.0,15.5,6700.0,0.0,1.0,7.75,7.75,7.5,7.75,13400.0
1992-06-15,15.5,15.5,15.0,15.0,2200.0,0.0,1.0,7.75,7.75,7.5,7.5,4400.0
1992-06-16,15.5,15.5,15.5,15.5,400.0,0.0,1.0,7.75,7.75,7.75,7.75,800.0
1992-06-17,15.5,15.5,14.75,14.75,1200.0,0.0,1.0,7.75,7.75,7.375,7.375,2400.0
1992-06-18,14.75,15.5,14.75,14.75,3200.0,0.0,1.0,7.375,7.75,7.375,7.375,6400.0
1992-06-19,14.75,14.75,14.75,14.75,2600.0,0.0,1.0,7.375,7.375,7.375,7.375,5200.0
1992-06-22,14.75,15.25,14.75,14.75,2400.0,0.0,1.0,7.375,7.625,7.375,7.375,4800.0
1992-06-23,15.0,15.5,14.75,15.5,6200.0,0.0,1.0,7.5,7.75,7.375,7.75,12400.0
1992-06-24,15.5,15.5,15.5,15.5,3100.0,0.0,1.0,7.75,7.75,7.75,7.75,6200.0
1992-06-25,15.0,15.0,14.75,14.75,1300.0,0.0,1.0,7.5,7.5,7.375,7.375,2600.0
1992-06-26,14.75,14.75,14.75,14.75,300.0,0.0,1.0,7.375,7.375,7.375,7.375,600.0
1992-06-29,14.75,14.75,14.75,14.75,100.0,0.0,1.0,7.375,7.375,7.375,7.375,200.0
1992-06-30,14.75,15.0,14.75,15.0,3100.0,0.0,1.0,7.375,7.5,7.375,7.5,6200.0
1992-07-01,15.0,15.5,14.75,15.5,1600.0,0.0,1.0,7.5,7.75,7.375,7.75,3200.0
1992-07-02,14.75,15.25,14.75,15.25,7800.0,0.0,1.0,7.375,7.625,7.375,7.625,15600.0
1992-07-06,14.75,15.25,14.75,15.25,15600.0,0.0,1.0,7.375,7.625,7.375,7.625,31200.0
1992-07-07,14.75,15.25,14.75,15.0,3100.0,0.0,1.0,7.375,7.625,7.375,7.5,6200.0
1992-07-08,14.75,15.25,14.75,15.25,4700.0,0.0,1.0,7.375,7.625,7.375,7.625,9400.0
1992-07-09,15.25,15.75,15.0,15.0,9100.0,0.0,1.0,7.625,7.875,7.5,7.5,18200.0
1992-07-10,15.25,15.75,15.0,15.75,1600.0,0.0,1.0,7.625,7.875,7.5,7.875,3200.0
1992-07-13,15.75,15.75,15.0,15.75,1700.0,0.0,1.0,7.875,7.875,7.5,7.875,3400.0
1992-07-14,15.75,16.25,15.25,15.5,23500.0,0.0,1.0,7.875,8.125,7.625,7.75,47000.0
1992-07-15,15.5,15.5,15.5,15.5,1200.0,0.0,1.0,7.75,7.75,7.75,7.75,2400.0
1992-07-16,15.5,16.25,15.5,16.0,1800.0,0.0,1.0,7.75,8.125,7.75,8.0,3600.0
1992-07-17,16.25,16.25,15.5,15.5,1000.0,0.0,1.0,8.125,8.125,7.75,7.75,2000.0
1992-07-20,15.5,16.0,15.5,15.5,1400.0,0.0,1.0,7.75,8.0,7.75,7.75,2800.0
1992-07-21,16.0,16.0,15.5,15.62,1000.0,0.0,1.0,8.0,8.0,7.75,7.81,2000.0
1992-07-22,15.5,16.25,15.5,15.5,16700.0,0.0,1.0,7.75,8.125,7.75,7.75,33400.0
1992-07-23,16.25,16.25,15.5,15.5,600.0,0.0,1.0,8.125,8.125,7.75,7.75,1200.0
1992-07-24,15.5,16.0,15.5,15.5,4000.0,0.0,1.0,7.75,8.0,7.75,7.75,8000.0
1992-07-27,15.5,16.25,15.5,15.75,2500.0,0.0,1.0,7.75,8.125,7.75,7.875,5000.0
1992-07-28,16.25,16.25,15.5,15.5,1600.0,0.0,1.0,8.125,8.125,7.75,7.75,3200.0
1992-07-29,16.25,16.25,15.5,16.25,3300.0,0.0,1.0,8.125,8.125,7.75,8.125,6600.0
1992-07-30,15.5,16.25,15.5,16.0,3800.0,0.0,1.0,7.75,8.125,7.75,8.0,7600.0
1992-07-31,15.5,16.0,15.5,15.5,3700.0,0.0,1.0,7.75,8.0,7.75,7.75,7400.0
