Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1995-02-01,1.12,1.12,1.12,1.12,500.0,0.0,1.0,0.14,0.14,0.14,0.14,4000.0
1995-02-02,1.12,1.12,1.12,1.12,11000.0,0.0,1.0,0.14,0.14,0.14,0.14,88000.0
1995-02-03,1.12,1.12,1.12,1.12,0.0,0.0,1.0,0.14,0.14,0.14,0.14,0.0
1995-02-06,1.12,1.12,1.12,1.12,0.0,0.0,1.0,0.14,0.14,0.14,0.14,0.0
1995-02-07,1.12,1.12,1.12,1.12,3000.0,0.0,1.0,0.14,0.14,0.14,0.14,24000.0
1995-02-08,1.12,1.12,1.12,1.12,4000.0,0.0,1.0,0.14,0.14,0.14,0.14,32000.0
1995-02-09,1.12,1.12,1.12,1.12,3000.0,0.0,1.0,0.14,0.14,0.14,0.14,24000.0
1995-02-10,1.12,1.38,1.12,1.38,10600.0,0.0,1.0,0.14,0.1725,0.14,0.1725,84800.0
1995-02-13,1.38,1.38,1.38,1.38,0.0,0.0,1.0,0.1725,0.1725,0.1725,0.1725,0.0
1995-02-14,1.12,1.12,1.12,1.12,1900.0,0.0,1.0,0.14,0.14,0.14,0.14,15200.0
1995-02-15,1.25,1.25,1.25,1.25,500.0,0.0,1.0,0.15625,0.15625,0.15625,0.15625,4000.0
1995-02-16,1.25,1.75,1.25,1.62,16800.0,0.0,1.0,0.15625,0.21875,0.15625,0.2025,134400.0
1995-02-17,1.62,1.62,1.62,1.62,0.0,0.0,1.0,0.2025,0.2025,0.2025,0.2025,0.0
1995-02-21,1.62,2.0,1.5,1.88,75600.0,0.0,1.0,0.2025,0.25,0.1875,0.235,604800.0
1995-02-22,1.75,1.75,1.62,1.62,1700.0,0.0,1.0,0.21875,0.21875,0.2025,0.2025,13600.0
1995-02-23,1.62,1.88,1.62,1.88,5500.0,0.0,1.0,0.2025,0.235,0.2025,0.235,44000.0
1995-02-24,1.88,1.88,1.62,1.75,12600.0,0.0,1.0,0.235,0.235,0.2025,0.21875,100800.0
1995-02-27,1.75,1.88,1.62,1.88,3600.0,0.0,1.0,0.21875,0.235,0.2025,0.235,28800.0
1995-02-28,1.88,1.88,1.88,1.88,0.0,0.0,1.0,0.235,0.235,0.235,0.235,0.0
1995-03-01,1.75,1.75,1.5,1.75,7300.0,0.0,1.0,0.21875,0.21875,0.1875,0.21875,58400.0
1995-03-02,1.75,1.75,1.25,1.62,14500.0,0.0,1.0,0.21875,0.21875,0.15625,0.2025,116000.0
1995-03-03,1.62,1.75,1.25,1.75,2300.0,0.0,1.0,0.2025,0.21875,0.15625,0.21875,18400.0
1995-03-06,1.75,1.75,1.25,1.5,2500.0,0.0,1.0,0.21875,0.21875,0.15625,0.1875,20000.0
1995-03-07,1.75,1.75,1.75,1.75,1000.0,0.0,1.0,0.21875,0.21875,0.21875,0.21875,8000.0
1995-03-08,1.75,1.75,1.25,1.5,14300.0,0.0,1.0,0.21875,0.21875,0.15625,0.1875,114400.0
1995-03-09,1.5,1.75,1.5,1.75,15000.0,0.0,1.0,0.1875,0.21875,0.1875,0.21875,120000.0
1995-03-10,1.75,1.75,1.25,1.25,700.0,0.0,1.0,0.21875,0.21875,0.15625,0.15625,5600.0
1995-03-13,1.5,1.88,1.5,1.88,44500.0,0.0,1.0,0.1875,0.235,0.1875,0.235,356000.0
1995-03-14,1.88,2.12,1.62,1.88,25600.0,0.0,1.0,0.235,0.265,0.2025,0.235,204800.0
1995-03-15,2.0,2.12,2.0,2.12,2100.0,0.0,1.0,0.25,0.265,0.25,0.265,16800.0
1995-03-16,2.12,2.25,1.88,2.12,35300.0,0.0,1.0,0.265,0.28125,0.235,0.265,282400.0
1995-03-17,2.12,2.25,2.12,2.25,11300.0,0.0,1.0,0.265,0.28125,0.265,0.28125,90400.0
