Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1994-08-18,7.0,7.0,7.0,7.0,0.0,0.0,1.0,5.25,5.25,5.25,5.25,0.0
1994-08-19,7.0,7.0,7.0,7.0,0.0,0.0,1.0,5.25,5.25,5.25,5.25,0.0
1994-08-22,7.0,7.0,7.0,7.0,0.0,0.0,1.0,5.25,5.25,5.25,5.25,0.0
1994-08-23,7.0,7.0,7.0,7.0,0.0,0.0,1.0,5.25,5.25,5.25,5.25,0.0
1994-08-24,7.0,7.0,7.0,7.0,0.0,0.0,1.0,5.25,5.25,5.25,5.25,0.0
1994-08-25,7.0,7.0,7.0,7.0,0.0,0.0,1.0,5.25,5.25,5.25,5.25,0.0
1994-08-26,7.0,7.0,7.0,7.0,0.0,0.0,1.0,5.25,5.25,5.25,5.25,0.0
1994-08-29,7.0,7.0,7.0,7.0,0.0,0.0,1.0,5.25,5.25,5.25,5.25,0.0
1994-08-30,7.0,7.0,7.0,7.0,0.0,0.0,1.0,5.25,5.25,5.25,5.25,0.0
1994-08-31,7.0,7.0,7.0,7.0,0.0,0.0,1.0,5.25,5.25,5.25,5.25,0.0
1994-09-01,7.0,7.0,7.0,7.0,0.0,0.0,1.0,5.25,5.25,5.25,5.25,0.0
1994-09-02,7.25,7.25,7.25,7.25,450.0,0.0,1.0,5.4375,5.4375,5.4375,5.4375,600.0
1994-09-06,7.25,7.25,7.25,7.25,0.0,0.0,1.0,5.4375,5.4375,5.4375,5.4375,0.0
1994-09-07,7.25,7.25,7.25,7.25,0.0,0.0,1.0,5.4375,5.4375,5.4375,5.4375,0.0
1994-09-08,6.75,6.75,6.75,6.75,600.0,0.0,1.0,5.0625,5.0625,5.0625,5.0625,800.0
1994-09-09,6.75,6.75,6.75,6.75,0.0,0.0,1.0,5.0625,5.0625,5.0625,5.0625,0.0
1994-09-12,6.75,6.75,6.75,6.75,0.0,0.0,1.0,5.0625,5.0625,5.0625,5.0625,0.0
