Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1993-05-04,3.5,4.0,3.5,4.0,7900.0,0.0,1.0,3.5,4.0,3.5,4.0,7900.0
1993-05-05,4.0,4.0,3.25,4.0,26100.0,0.0,1.0,4.0,4.0,3.25,4.0,26100.0
1993-05-06,4.0,4.0,3.62,4.0,1900.0,0.0,1.0,4.0,4.0,3.62,4.0,1900.0
1993-05-07,4.25,4.5,4.25,4.5,12100.0,0.0,1.0,4.25,4.5,4.25,4.5,12100.0
1993-05-10,4.5,4.75,4.25,4.25,29000.0,0.0,1.0,4.5,4.75,4.25,4.25,29000.0
1993-05-11,4.25,4.25,4.25,4.25,1100.0,0.0,1.0,4.25,4.25,4.25,4.25,1100.0
1993-05-12,4.75,4.75,4.75,4.75,100.0,0.0,1.0,4.75,4.75,4.75,4.75,100.0
1993-05-13,4.37,4.37,4.25,4.37,1800.0,0.0,1.0,4.37,4.37,4.25,4.37,1800.0
1993-05-14,4.38,4.38,4.38,4.38,0.0,0.0,1.0,4.38,4.38,4.38,4.38,0.0
1993-05-17,4.37,4.5,4.25,4.5,3600.0,0.0,1.0,4.37,4.5,4.25,4.5,3600.0
1993-05-18,4.5,4.5,4.5,4.5,0.0,0.0,1.0,4.5,4.5,4.5,4.5,0.0
1993-05-19,4.5,4.63,4.25,4.63,5600.0,0.0,1.0,4.5,4.63,4.25,4.63,5600.0
1993-05-20,4.63,4.75,4.25,4.75,5700.0,0.0,1.0,4.63,4.75,4.25,4.75,5700.0
1993-05-21,4.63,4.63,4.0,4.0,18200.0,0.0,1.0,4.63,4.63,4.0,4.0,18200.0
1993-05-24,4.0,4.25,3.75,4.125,35000.0,0.0,1.0,4.0,4.25,3.75,4.125,35000.0
1993-05-25,3.75,4.125,3.5,3.75,92300.0,0.0,1.0,3.75,4.125,3.5,3.75,92300.0
1993-05-26,3.5,3.75,3.125,3.25,117500.0,0.0,1.0,3.5,3.75,3.125,3.25,117500.0
1993-05-27,3.25,3.5,3.125,3.25,111800.0,0.0,1.0,3.25,3.5,3.125,3.25,111800.0
1993-05-28,3.0,3.5,2.75,3.25,43700.0,0.0,1.0,3.0,3.5,2.75,3.25,43700.0
1993-06-01,3.25,3.25,2.75,3.25,4000.0,0.0,1.0,3.25,3.25,2.75,3.25,4000.0
1993-06-02,2.75,3.25,2.625,3.25,461800.0,0.0,1.0,2.75,3.25,2.625,3.25,461800.0
1993-06-03,3.375,3.5,3.25,3.25,56400.0,0.0,1.0,3.375,3.5,3.25,3.25,56400.0
1993-06-04,3.25,3.625,3.25,3.625,99500.0,0.0,1.0,3.25,3.625,3.25,3.625,99500.0
1993-06-07,3.25,3.75,3.25,3.75,6700.0,0.0,1.0,3.25,3.75,3.25,3.75,6700.0
1993-06-08,3.375,3.625,3.25,3.375,50200.0,0.0,1.0,3.375,3.625,3.25,3.375,50200.0
1993-06-09,3.375,3.625,3.25,3.625,33600.0,0.0,1.0,3.375,3.625,3.25,3.625,33600.0
1993-06-10,3.625,3.625,3.375,3.5,64800.0,0.0,1.0,3.625,3.625,3.375,3.5,64800.0
1993-06-11,3.5,3.875,3.5,3.875,6200.0,0.0,1.0,3.5,3.875,3.5,3.875,6200.0
1993-06-14,3.5,3.688,3.5,3.5,4400.0,0.0,1.0,3.5,3.688,3.5,3.5,4400.0
1993-06-15,3.5,3.875,3.5,3.75,108600.0,0.0,1.0,3.5,3.875,3.5,3.75,108600.0
1993-06-16,3.563,3.813,3.5,3.5,7000.0,0.0,1.0,3.563,3.813,3.5,3.5,7000.0
1993-06-17,3.688,3.75,3.5,3.5,20500.0,0.0,1.0,3.688,3.75,3.5,3.5,20500.0
1993-06-18,3.5,3.625,3.5,3.625,9800.0,0.0,1.0,3.5,3.625,3.5,3.625,9800.0
1993-06-21,3.625,3.625,3.5,3.5,53800.0,0.0,1.0,3.625,3.625,3.5,3.5,53800.0
1993-06-22,3.5,3.625,3.5,3.5,9700.0,0.0,1.0,3.5,3.625,3.5,3.5,9700.0
1993-06-23,3.563,3.625,3.25,3.625,15800.0,0.0,1.0,3.563,3.625,3.25,3.625,15800.0
1993-06-24,3.25,3.5,3.25,3.5,7900.0,0.0,1.0,3.25,3.5,3.25,3.5,7900.0
1993-06-25,3.25,3.375,3.125,3.375,25100.0,0.0,1.0,3.25,3.375,3.125,3.375,25100.0
1993-06-28,3.5,3.5,3.125,3.125,7700.0,0.0,1.0,3.5,3.5,3.125,3.125,7700.0
1993-06-29,3.125,3.5,3.125,3.125,5900.0,0.0,1.0,3.125,3.5,3.125,3.125,5900.0
1993-06-30,3.125,3.375,3.0,3.0,40600.0,0.0,1.0,3.125,3.375,3.0,3.0,40600.0
1993-07-01,3.0,3.0,2.75,2.875,147300.0,0.0,1.0,3.0,3.0,2.75,2.875,147300.0
1993-07-02,2.875,3.0,2.75,3.0,15000.0,0.0,1.0,2.875,3.0,2.75,3.0,15000.0
1993-07-06,2.75,2.75,2.375,2.375,23300.0,0.0,1.0,2.75,2.75,2.375,2.375,23300.0
1993-07-07,2.75,2.75,2.0,2.0,24900.0,0.0,1.0,2.75,2.75,2.0,2.0,24900.0
1993-07-08,2.0,2.375,2.0,2.375,2800.0,0.0,1.0,2.0,2.375,2.0,2.375,2800.0
1993-07-09,2.375,2.75,2.125,2.75,27100.0,0.0,1.0,2.375,2.75,2.125,2.75,27100.0
1993-07-12,2.5,2.75,2.5,2.75,20400.0,0.0,1.0,2.5,2.75,2.5,2.75,20400.0
1993-07-13,2.625,3.0,2.625,3.0,17200.0,0.0,1.0,2.625,3.0,2.625,3.0,17200.0
1993-07-14,2.75,3.0,2.75,3.0,57000.0,0.0,1.0,2.75,3.0,2.75,3.0,57000.0
1993-07-15,2.75,3.0,2.75,3.0,29100.0,0.0,1.0,2.75,3.0,2.75,3.0,29100.0
1993-07-16,3.0,3.0,3.0,3.0,1700.0,0.0,1.0,3.0,3.0,3.0,3.0,1700.0
1993-07-19,2.875,3.0,2.75,2.75,38500.0,0.0,1.0,2.875,3.0,2.75,2.75,38500.0
1993-07-20,3.0,3.0,2.75,3.0,1400.0,0.0,1.0,3.0,3.0,2.75,3.0,1400.0
1993-07-21,3.0,3.0,2.75,3.0,124700.0,0.0,1.0,3.0,3.0,2.75,3.0,124700.0
1993-07-22,3.0,3.0,2.75,2.75,400.0,0.0,1.0,3.0,3.0,2.75,2.75,400.0
1993-07-23,3.0,3.0,2.75,3.0,11800.0,0.0,1.0,3.0,3.0,2.75,3.0,11800.0
1993-07-26,2.75,3.0,2.75,2.75,6900.0,0.0,1.0,2.75,3.0,2.75,2.75,6900.0
1993-07-27,2.75,2.875,2.75,2.75,2800.0,0.0,1.0,2.75,2.875,2.75,2.75,2800.0
1993-07-28,2.75,3.125,2.75,2.75,5500.0,0.0,1.0,2.75,3.125,2.75,2.75,5500.0
1993-07-29,3.0,3.0,2.75,2.75,1400.0,0.0,1.0,3.0,3.0,2.75,2.75,1400.0
1993-07-30,2.75,2.875,2.75,2.75,83400.0,0.0,1.0,2.75,2.875,2.75,2.75,83400.0
1993-08-02,2.75,3.125,2.75,2.75,3500.0,0.0,1.0,2.75,3.125,2.75,2.75,3500.0
1993-08-03,2.75,2.938,2.75,2.75,11700.0,0.0,1.0,2.75,2.938,2.75,2.75,11700.0
1993-08-04,2.75,2.875,2.75,2.875,1600.0,0.0,1.0,2.75,2.875,2.75,2.875,1600.0
1993-08-05,2.75,3.0,2.75,2.875,27100.0,0.0,1.0,2.75,3.0,2.75,2.875,27100.0
1993-08-06,2.75,3.25,2.75,2.875,17500.0,0.0,1.0,2.75,3.25,2.75,2.875,17500.0
1993-08-09,3.0,3.375,2.875,2.875,16300.0,0.0,1.0,3.0,3.375,2.875,2.875,16300.0
1993-08-10,2.875,3.5,2.875,3.5,36200.0,0.0,1.0,2.875,3.5,2.875,3.5,36200.0
1993-08-11,3.125,3.375,3.125,3.25,11400.0,0.0,1.0,3.125,3.375,3.125,3.25,11400.0
1993-08-12,3.125,3.125,3.125,3.125,2500.0,0.0,1.0,3.125,3.125,3.125,3.125,2500.0
1993-08-13,3.0,3.0,3.0,3.0,2000.0,0.0,1.0,3.0,3.0,3.0,3.0,2000.0
1993-08-16,3.188,3.375,3.0,3.375,10800.0,0.0,1.0,3.188,3.375,3.0,3.375,10800.0
1993-08-17,3.0,3.375,3.0,3.375,13900.0,0.0,1.0,3.0,3.375,3.0,3.375,13900.0
1993-08-18,3.375,3.375,3.0,3.375,7400.0,0.0,1.0,3.375,3.375,3.0,3.375,7400.0
1993-08-19,3.375,3.375,3.0,3.0,23000.0,0.0,1.0,3.375,3.375,3.0,3.0,23000.0
1993-08-20,3.375,3.375,3.375,3.375,3000.0,0.0,1.0,3.375,3.375,3.375,3.375,3000.0
1993-08-23,3.0,3.063,3.0,3.0,2100.0,0.0,1.0,3.0,3.063,3.0,3.0,2100.0
1993-08-24,2.875,2.875,2.875,2.875,100.0,0.0,1.0,2.875,2.875,2.875,2.875,100.0
1993-08-25,2.875,2.875,2.875,2.875,400.0,0.0,1.0,2.875,2.875,2.875,2.875,400.0
1993-08-26,2.875,3.0,2.875,2.875,13400.0,0.0,1.0,2.875,3.0,2.875,2.875,13400.0
1993-08-27,2.875,3.125,2.875,2.875,5200.0,0.0,1.0,2.875,3.125,2.875,2.875,5200.0
1993-08-30,3.0,3.0,3.0,3.0,7700.0,0.0,1.0,3.0,3.0,3.0,3.0,7700.0
1993-08-31,2.875,3.125,2.875,3.125,47600.0,0.0,1.0,2.875,3.125,2.875,3.125,47600.0
1993-09-01,3.0,3.125,3.0,3.125,4300.0,0.0,1.0,3.0,3.125,3.0,3.125,4300.0
1993-09-02,2.875,2.875,2.875,2.875,200.0,0.0,1.0,2.875,2.875,2.875,2.875,200.0
1993-09-03,2.875,3.25,2.875,3.25,3900.0,0.0,1.0,2.875,3.25,2.875,3.25,3900.0
1993-09-07,3.25,3.25,2.875,2.875,14400.0,0.0,1.0,3.25,3.25,2.875,2.875,14400.0
1993-09-08,2.875,3.125,2.875,2.875,24400.0,0.0,1.0,2.875,3.125,2.875,2.875,24400.0
1993-09-09,2.875,3.25,2.875,3.25,1000.0,0.0,1.0,2.875,3.25,2.875,3.25,1000.0
1993-09-10,3.125,3.125,2.875,2.875,1100.0,0.0,1.0,3.125,3.125,2.875,2.875,1100.0
1993-09-13,2.875,2.875,2.875,2.875,600.0,0.0,1.0,2.875,2.875,2.875,2.875,600.0
1993-09-14,2.875,3.0,2.875,3.0,40900.0,0.0,1.0,2.875,3.0,2.875,3.0,40900.0
