Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1984-09-07,42.5,43.0,42.5,42.5,1000.0,0.0,1.0,11.707040714225,11.84477060498,11.707040714225,11.707040714225,1500.0
1984-09-10,42.5,43.0,42.5,42.5,200.0,0.0,1.0,11.707040714225,11.84477060498,11.707040714225,11.707040714225,300.0
1984-09-11,42.5,43.0,42.5,42.5,2067.0,0.0,1.0,11.707040714225,11.84477060498,11.707040714225,11.707040714225,3100.5
1984-09-12,42.5,43.0,42.5,42.5,600.0,0.0,1.0,11.707040714225,11.84477060498,11.707040714225,11.707040714225,900.0
1984-09-13,42.75,43.0,42.75,42.75,5000.0,0.0,1.0,11.775905659602,11.84477060498,11.775905659602,11.775905659602,7500.0
1984-09-14,42.75,43.0,42.75,42.75,2800.0,0.0,1.0,11.775905659602,11.84477060498,11.775905659602,11.775905659602,4200.0
1984-09-17,42.75,43.25,42.75,42.75,2867.0,0.0,1.0,11.775905659602,11.913635550358,11.775905659602,11.775905659602,4300.5
1984-09-18,42.75,43.25,42.75,42.75,1067.0,0.0,1.0,11.775905659602,11.913635550358,11.775905659602,11.775905659602,1600.5
1984-09-19,42.75,43.25,42.75,42.75,2467.0,0.0,1.0,11.775905659602,11.913635550358,11.775905659602,11.775905659602,3700.5
1984-09-20,42.75,43.25,42.75,42.75,867.0,0.0,1.0,11.775905659602,11.913635550358,11.775905659602,11.775905659602,1300.5
1984-09-21,42.75,43.25,42.75,42.75,2200.0,0.0,1.0,11.775905659602,11.913635550358,11.775905659602,11.775905659602,3300.0
1984-09-24,42.75,43.5,42.75,42.75,3267.0,0.0,1.0,11.775905659602,11.982500495736,11.775905659602,11.775905659602,4900.5
1984-09-25,43.0,43.5,43.0,43.0,7067.0,0.0,1.0,11.84477060498,11.982500495736,11.84477060498,11.84477060498,10600.5
1984-09-26,43.0,43.5,43.0,43.0,3600.0,0.0,1.0,11.84477060498,11.982500495736,11.84477060498,11.84477060498,5400.0
1984-09-27,43.25,44.0,43.25,43.25,800.0,0.0,1.0,11.913635550358,12.120230386491,11.913635550358,11.913635550358,1200.0
1984-09-28,43.25,43.75,43.25,43.25,1067.0,0.0,1.0,11.913635550358,12.051365441114,11.913635550358,11.913635550358,1600.5
1984-10-01,43.25,43.75,43.25,43.25,467.0,0.0,1.0,11.913635550358,12.051365441114,11.913635550358,11.913635550358,700.5
1984-10-02,43.25,43.5,43.0,43.0,4667.0,0.0,1.0,11.913635550358,11.982500495736,11.84477060498,11.84477060498,7000.5
1984-10-03,43.0,43.25,42.75,42.75,1067.0,0.0,1.0,11.84477060498,11.913635550358,11.775905659602,11.775905659602,1600.5
1984-10-04,43.0,43.25,43.0,43.0,5400.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,8100.0
1984-10-05,43.0,43.25,43.0,43.0,200.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,300.0
1984-10-08,43.0,43.25,43.0,43.0,2067.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,3100.5
1984-10-09,43.0,43.25,43.0,43.0,1400.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,2100.0
1984-10-10,43.0,43.25,43.0,43.0,667.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,1000.5
1984-10-11,43.0,43.25,43.0,43.0,4800.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,7200.0
1984-10-12,43.0,43.25,43.0,43.0,2600.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,3900.0
1984-10-15,43.0,43.25,43.0,43.0,3000.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,4500.0
1984-10-16,43.0,43.25,43.0,43.0,800.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,1200.0
1984-10-17,43.0,43.25,43.0,43.0,7600.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,11400.0
1984-10-18,43.0,43.5,43.0,43.0,3067.0,0.0,1.0,11.84477060498,11.982500495736,11.84477060498,11.84477060498,4600.5
1984-10-19,43.0,43.25,43.0,43.0,3467.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,5200.5
1984-10-22,43.0,43.5,43.0,43.0,4667.0,0.0,1.0,11.84477060498,11.982500495736,11.84477060498,11.84477060498,7000.5
1984-10-23,43.0,43.5,43.0,43.0,1000.0,0.0,1.0,11.84477060498,11.982500495736,11.84477060498,11.84477060498,1500.0
1984-10-24,43.0,43.5,43.0,43.0,2000.0,0.0,1.0,11.84477060498,11.982500495736,11.84477060498,11.84477060498,3000.0
1984-10-25,43.0,43.25,43.0,43.0,3200.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,4800.0
1984-10-26,43.0,43.0,43.0,43.0,0.0,0.0,1.0,11.84477060498,11.84477060498,11.84477060498,11.84477060498,0.0
1984-10-29,43.0,43.25,43.0,43.0,1067.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,1600.5
1984-10-30,43.0,43.5,43.0,43.0,1467.0,0.0,1.0,11.84477060498,11.982500495736,11.84477060498,11.84477060498,2200.5
1984-10-31,43.0,43.25,43.0,43.0,11867.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,17800.5
1984-11-01,43.0,43.5,43.0,43.0,15467.0,0.0,1.0,11.84477060498,11.982500495736,11.84477060498,11.84477060498,23200.5
1984-11-02,43.0,43.0,43.0,43.0,0.0,0.0,1.0,11.84477060498,11.84477060498,11.84477060498,11.84477060498,0.0
1984-11-05,43.0,43.25,43.0,43.0,1800.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,2700.0
1984-11-06,43.0,43.25,43.0,43.0,2800.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,4200.0
1984-11-07,43.0,43.25,43.0,43.0,67.0,0.0,1.0,11.84477060498,11.913635550358,11.84477060498,11.84477060498,100.5
1984-11-08,43.0,43.5,43.0,43.0,2000.0,0.0,1.0,11.84477060498,11.982500495736,11.84477060498,11.84477060498,3000.0
