Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1996-01-03,23.0,24.0,23.0,23.88,15900.0,0.0,1.0,10.433102238787,10.886715379603,10.433102238787,10.832281802705,15900.0
1996-01-04,23.62,23.62,21.5,21.5,9300.0,0.0,1.0,10.714342386093,10.714342386093,9.7526825275614,9.7526825275614,9300.0
1996-01-05,21.62,22.75,21.62,22.75,59800.0,0.0,1.0,9.8071161044594,10.319698953582,9.8071161044594,10.319698953582,59800.0
1996-01-08,23.0,23.25,22.88,23.25,41400.0,0.0,1.0,10.433102238787,10.546505523991,10.378668661889,10.546505523991,41400.0
1996-01-09,23.25,24.0,23.25,23.5,90400.0,0.0,1.0,10.546505523991,10.886715379603,10.546505523991,10.659908809195,90400.0
1996-01-10,23.38,23.5,23.25,23.38,85500.0,0.0,1.0,10.605475232297,10.659908809195,10.546505523991,10.605475232297,85500.0
1996-01-11,23.12,23.12,22.5,22.75,21800.0,0.0,1.0,10.487535815685,10.487535815685,10.206295668378,10.319698953582,21800.0
1996-01-12,23.0,23.0,21.5,21.5,12000.0,0.0,1.0,10.433102238787,10.433102238787,9.7526825275614,9.7526825275614,12000.0
1996-01-15,21.5,21.75,21.5,21.5,101000.0,0.0,1.0,9.7526825275614,9.8660858127656,9.7526825275614,9.7526825275614,101000.0
1996-01-16,21.75,21.75,20.88,20.88,165200.0,0.0,1.0,9.8660858127656,9.8660858127656,9.471442380255,9.471442380255,165200.0
1996-01-17,21.0,21.5,21.0,21.5,361400.0,0.0,1.0,9.525875957153,9.7526825275614,9.525875957153,9.7526825275614,361400.0
1996-01-18,21.5,23.0,21.5,22.75,258000.0,0.0,1.0,9.7526825275614,10.433102238787,9.7526825275614,10.319698953582,258000.0
1996-01-19,22.5,23.62,22.5,23.5,538400.0,0.0,1.0,10.206295668378,10.714342386093,10.206295668378,10.659908809195,538400.0
1996-01-22,23.5,23.62,23.0,23.25,630400.0,0.0,1.0,10.659908809195,10.714342386093,10.433102238787,10.546505523991,630400.0
1996-01-23,23.25,23.62,23.0,23.38,224800.0,0.0,1.0,10.546505523991,10.714342386093,10.433102238787,10.605475232297,224800.0
1996-01-24,23.62,24.38,23.62,24.25,279100.0,0.0,1.0,10.714342386093,11.059088373114,10.714342386093,11.000118664808,279100.0
1996-01-25,24.12,24.75,24.0,24.25,215700.0,0.0,1.0,10.941148956501,11.226925235216,10.886715379603,11.000118664808,215700.0
1996-01-26,24.0,24.0,23.0,23.75,215000.0,0.0,1.0,10.886715379603,10.886715379603,10.433102238787,10.773312094399,215000.0
1996-01-29,23.75,23.75,23.25,23.75,353100.0,0.0,1.0,10.773312094399,10.773312094399,10.546505523991,10.773312094399,353100.0
1996-01-30,23.88,25.5,23.88,24.75,312200.0,0.0,1.0,10.832281802705,11.567135090829,10.832281802705,11.226925235216,312200.0
1996-01-31,24.75,25.0,24.62,25.0,318800.0,0.0,1.0,11.226925235216,11.34032852042,11.16795552691,11.34032852042,318800.0
1996-02-01,24.88,25.25,24.62,24.62,148000.0,0.0,1.0,11.285894943522,11.453731805624,11.16795552691,11.16795552691,148000.0
1996-02-02,24.75,24.88,24.38,24.5,92100.0,0.0,1.0,11.226925235216,11.285894943522,11.059088373114,11.113521950012,92100.0
