Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1991-05-10,23.75,24.38,23.12,23.75,2981400.0,0.0,1.0,5.9375,6.095,5.78,5.9375,11925600.0
1991-05-13,24.0,24.12,23.38,23.75,518000.0,0.0,1.0,6.0,6.03,5.845,5.9375,2072000.0
1991-05-14,24.0,24.12,23.62,23.88,363800.0,0.0,1.0,6.0,6.03,5.905,5.97,1455200.0
1991-05-15,23.88,24.25,23.12,23.25,289700.0,0.0,1.0,5.97,6.0625,5.78,5.8125,1158800.0
1991-05-16,23.75,24.88,23.5,24.88,231500.0,0.0,1.0,5.9375,6.22,5.875,6.22,926000.0
1991-05-17,24.62,24.62,24.12,24.5,114000.0,0.0,1.0,6.155,6.155,6.03,6.125,456000.0
1991-05-20,24.5,24.62,24.12,24.12,59000.0,0.0,1.0,6.125,6.155,6.03,6.03,236000.0
1991-05-21,24.38,24.62,24.12,24.12,81800.0,0.0,1.0,6.095,6.155,6.03,6.03,327200.0
1991-05-22,24.12,24.5,24.0,24.0,117400.0,0.0,1.0,6.03,6.125,6.0,6.0,469600.0
1991-05-23,24.12,24.5,24.12,24.5,74200.0,0.0,1.0,6.03,6.125,6.03,6.125,296800.0
1991-05-24,24.38,25.0,24.38,25.0,26200.0,0.0,1.0,6.095,6.25,6.095,6.25,104800.0
1991-05-28,25.5,25.5,25.0,25.0,71500.0,0.0,1.0,6.375,6.375,6.25,6.25,286000.0
1991-05-29,25.12,26.25,25.0,26.25,115300.0,0.0,1.0,6.28,6.5625,6.25,6.5625,461200.0
1991-05-30,26.12,26.38,26.0,26.0,120900.0,0.0,1.0,6.53,6.595,6.5,6.5,483600.0
1991-05-31,26.0,27.88,26.0,27.88,71000.0,0.0,1.0,6.5,6.97,6.5,6.97,284000.0
1991-06-03,27.62,27.88,27.0,27.62,87100.0,0.0,1.0,6.905,6.97,6.75,6.905,348400.0
1991-06-04,27.25,27.38,26.5,26.88,51000.0,0.0,1.0,6.8125,6.845,6.625,6.72,204000.0
1991-06-05,26.88,26.88,26.25,26.38,73400.0,0.0,1.0,6.72,6.72,6.5625,6.595,293600.0
1991-06-06,26.0,26.5,26.0,26.5,49800.0,0.0,1.0,6.5,6.625,6.5,6.625,199200.0
1991-06-07,26.75,26.75,26.25,26.62,25100.0,0.0,1.0,6.6875,6.6875,6.5625,6.655,100400.0
1991-06-10,26.5,27.12,26.38,27.12,45800.0,0.0,1.0,6.625,6.78,6.595,6.78,183200.0
1991-06-11,27.38,27.5,27.0,27.12,163900.0,0.0,1.0,6.845,6.875,6.75,6.78,655600.0
1991-06-12,27.0,27.12,26.5,26.5,31000.0,0.0,1.0,6.75,6.78,6.625,6.625,124000.0
1991-06-13,26.25,26.25,25.75,25.88,8300.0,0.0,1.0,6.5625,6.5625,6.4375,6.47,33200.0
1991-06-14,26.0,26.25,26.0,26.0,23200.0,0.0,1.0,6.5,6.5625,6.5,6.5,92800.0
1991-06-17,26.0,26.0,25.75,26.0,22400.0,0.0,1.0,6.5,6.5,6.4375,6.5,89600.0
1991-06-18,25.75,26.12,25.75,25.88,11300.0,0.0,1.0,6.4375,6.53,6.4375,6.47,45200.0
1991-06-19,25.88,26.0,25.75,25.75,21800.0,0.0,1.0,6.47,6.5,6.4375,6.4375,87200.0
1991-06-20,25.75,25.75,24.75,24.75,87900.0,0.0,1.0,6.4375,6.4375,6.1875,6.1875,351600.0
1991-06-21,24.88,25.25,24.88,25.12,48200.0,0.0,1.0,6.22,6.3125,6.22,6.28,192800.0
1991-06-24,25.0,25.5,24.88,25.25,27600.0,0.0,1.0,6.25,6.375,6.22,6.3125,110400.0
1991-06-25,25.12,25.25,24.75,25.25,35100.0,0.0,1.0,6.28,6.3125,6.1875,6.3125,140400.0
1991-06-26,25.0,25.25,25.0,25.25,7000.0,0.0,1.0,6.25,6.3125,6.25,6.3125,28000.0
1991-06-27,25.0,25.0,24.75,25.0,11300.0,0.0,1.0,6.25,6.25,6.1875,6.25,45200.0
1991-06-28,25.0,25.0,24.25,25.0,41300.0,0.0,1.0,6.25,6.25,6.0625,6.25,165200.0
1991-07-01,25.0,25.12,24.62,24.88,24900.0,0.0,1.0,6.25,6.28,6.155,6.22,99600.0
1991-07-02,24.75,25.0,24.75,25.0,2500.0,0.0,1.0,6.1875,6.25,6.1875,6.25,10000.0
1991-07-03,25.0,25.0,24.88,25.0,9200.0,0.0,1.0,6.25,6.25,6.22,6.25,36800.0
1991-07-05,24.88,24.88,24.75,24.88,17900.0,0.0,1.0,6.22,6.22,6.1875,6.22,71600.0
