Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1990-03-26,3.75,3.875,3.75,3.875,14300.0,0.0,1.0,3.75,3.875,3.75,3.875,14300.0
1990-03-27,3.875,4.0,3.875,4.0,60800.0,0.0,1.0,3.875,4.0,3.875,4.0,60800.0
1990-03-28,4.0,4.125,3.875,4.125,20000.0,0.0,1.0,4.0,4.125,3.875,4.125,20000.0
1990-03-29,4.125,4.125,3.875,3.875,21500.0,0.0,1.0,4.125,4.125,3.875,3.875,21500.0
1990-03-30,4.125,4.125,3.875,3.875,17100.0,0.0,1.0,4.125,4.125,3.875,3.875,17100.0
1990-04-02,4.0,4.0,3.625,3.875,19200.0,0.0,1.0,4.0,4.0,3.625,3.875,19200.0
1990-04-03,3.875,3.875,3.75,3.75,7700.0,0.0,1.0,3.875,3.875,3.75,3.75,7700.0
1990-04-04,3.875,3.875,3.625,3.625,13100.0,0.0,1.0,3.875,3.875,3.625,3.625,13100.0
1990-04-05,3.875,3.875,3.625,3.875,7500.0,0.0,1.0,3.875,3.875,3.625,3.875,7500.0
1990-04-06,3.75,4.125,3.688,4.125,57000.0,0.0,1.0,3.75,4.125,3.688,4.125,57000.0
1990-04-09,3.875,4.125,3.875,4.125,5700.0,0.0,1.0,3.875,4.125,3.875,4.125,5700.0
1990-04-10,3.875,4.125,3.875,4.063,44600.0,0.0,1.0,3.875,4.125,3.875,4.063,44600.0
1990-04-11,4.125,4.125,4.0,4.125,76900.0,0.0,1.0,4.125,4.125,4.0,4.125,76900.0
1990-04-12,4.125,4.125,4.0,4.125,143600.0,0.0,1.0,4.125,4.125,4.0,4.125,143600.0
1990-04-16,4.125,4.375,4.0,4.375,82300.0,0.0,1.0,4.125,4.375,4.0,4.375,82300.0
1990-04-17,4.375,4.375,3.875,3.938,64500.0,0.0,1.0,4.375,4.375,3.875,3.938,64500.0
1990-04-18,3.875,3.875,3.625,3.75,14600.0,0.0,1.0,3.875,3.875,3.625,3.75,14600.0
