Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1995-11-21,6.0,6.5,5.875,6.25,306900.0,0.0,1.0,6.0,6.5,5.875,6.25,306900.0
1995-11-22,6.5,7.5,6.25,6.625,137700.0,0.0,1.0,6.5,7.5,6.25,6.625,137700.0
1995-11-24,6.875,6.875,6.625,6.625,7000.0,0.0,1.0,6.875,6.875,6.625,6.625,7000.0
1995-11-27,7.0,7.0,6.625,7.0,33600.0,0.0,1.0,7.0,7.0,6.625,7.0,33600.0
1995-11-28,7.0,7.0,6.625,7.0,21700.0,0.0,1.0,7.0,7.0,6.625,7.0,21700.0
1995-11-29,7.0,7.0,6.625,6.875,53100.0,0.0,1.0,7.0,7.0,6.625,6.875,53100.0
1995-11-30,7.0,7.0,6.625,6.875,6300.0,0.0,1.0,7.0,7.0,6.625,6.875,6300.0
1995-12-01,6.625,7.0,6.625,7.0,1200.0,0.0,1.0,6.625,7.0,6.625,7.0,1200.0
1995-12-04,7.0,7.0,6.75,6.75,14100.0,0.0,1.0,7.0,7.0,6.75,6.75,14100.0
1995-12-05,6.625,7.0,6.625,6.875,9900.0,0.0,1.0,6.625,7.0,6.625,6.875,9900.0
1995-12-06,7.0,7.0,6.625,7.0,27700.0,0.0,1.0,7.0,7.0,6.625,7.0,27700.0
1995-12-07,7.0,7.0,6.625,6.75,2600.0,0.0,1.0,7.0,7.0,6.625,6.75,2600.0
1995-12-08,7.0,7.0,6.875,6.875,1100.0,0.0,1.0,7.0,7.0,6.875,6.875,1100.0
1995-12-11,6.75,6.875,6.625,6.875,22400.0,0.0,1.0,6.75,6.875,6.625,6.875,22400.0
1995-12-12,7.0,7.0,6.75,6.875,87200.0,0.0,1.0,7.0,7.0,6.75,6.875,87200.0
1995-12-13,6.688,7.0,6.688,6.75,7100.0,0.0,1.0,6.688,7.0,6.688,6.75,7100.0
1995-12-14,6.5,6.875,6.5,6.5,69000.0,0.0,1.0,6.5,6.875,6.5,6.5,69000.0
1995-12-15,6.625,6.875,6.5,6.625,55500.0,0.0,1.0,6.625,6.875,6.5,6.625,55500.0
1995-12-18,6.875,6.875,6.375,6.375,76900.0,0.0,1.0,6.875,6.875,6.375,6.375,76900.0
1995-12-19,6.25,6.625,6.25,6.563,10900.0,0.0,1.0,6.25,6.625,6.25,6.563,10900.0
1995-12-20,6.438,6.625,6.25,6.375,138500.0,0.0,1.0,6.438,6.625,6.25,6.375,138500.0
1995-12-21,6.625,6.625,6.375,6.5,51300.0,0.0,1.0,6.625,6.625,6.375,6.5,51300.0
