Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1996-05-02,6.62,7.75,6.5,7.5,557400.0,0.0,1.0,4.193911878391626,4.909791096304396,4.11788930657788,4.751410738359093,836100.0
1996-05-03,7.5,8.13,7.0,7.5,321800.0,0.0,1.0,4.751410738359093,5.150529240381257,4.434650022468486,4.751410738359093,482700.0
1996-05-06,8.5,8.5,7.0,7.0,87400.0,0.0,1.0,5.384932170140305,5.384932170140305,4.434650022468486,4.434650022468486,131100.0
1996-05-07,7.0,7.88,7.0,7.25,51067.0,0.0,1.0,4.434650022468486,4.992148882435953,4.434650022468486,4.593030380413789,76600.5
1996-05-08,7.0,7.5,7.0,7.0,66200.0,0.0,1.0,4.434650022468486,4.751410738359093,4.434650022468486,4.434650022468486,99300.0
1996-05-09,7.0,7.38,7.0,7.31,50667.0,0.0,1.0,4.434650022468486,4.675388166545347,4.434650022468486,4.631041666320662,76000.5
1996-05-10,7.0,7.47,7.0,7.25,100400.0,0.0,1.0,4.434650022468486,4.732405095405656,4.434650022468486,4.593030380413789,150600.0
1996-05-13,7.47,7.5,7.31,7.31,49400.0,0.0,1.0,4.732405095405656,4.751410738359093,4.631041666320662,4.631041666320662,74100.0
1996-05-14,7.31,7.5,7.12,7.19,105400.0,0.0,1.0,4.631041666320662,4.751410738359093,4.510672594282232,4.555019094506917,158100.0
1996-05-15,7.12,7.38,7.12,7.19,90400.0,0.0,1.0,4.510672594282232,4.675388166545347,4.510672594282232,4.555019094506917,135600.0
1996-05-16,7.38,7.75,7.12,7.62,105467.0,0.0,1.0,4.675388166545347,4.909791096304396,4.510672594282232,4.827433310172838,158200.5
1996-05-17,7.62,7.75,7.38,7.38,68200.0,0.0,1.0,4.827433310172838,4.909791096304396,4.675388166545347,4.675388166545347,102300.0
1996-05-20,7.75,7.75,7.25,7.38,24267.0,0.0,1.0,4.909791096304396,4.909791096304396,4.593030380413789,4.675388166545347,36400.5
