Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1992-02-26,22.25,24.0,22.25,23.25,97300.0,0.0,1.0,11.125,12.0,11.125,11.625,194600.0
1992-02-27,24.0,24.0,22.75,23.0,7800.0,0.0,1.0,12.0,12.0,11.375,11.5,15600.0
1992-02-28,23.5,24.0,23.25,23.63,24100.0,0.0,1.0,11.75,12.0,11.625,11.815,48200.0
1992-03-02,24.0,24.0,23.5,23.5,37400.0,0.0,1.0,12.0,12.0,11.75,11.75,74800.0
1992-03-03,23.5,24.25,23.5,24.0,117900.0,0.0,1.0,11.75,12.125,11.75,12.0,235800.0
1992-03-04,23.5,24.0,23.5,24.0,19600.0,0.0,1.0,11.75,12.0,11.75,12.0,39200.0
1992-03-05,23.63,24.0,23.0,23.5,73200.0,0.0,1.0,11.815,12.0,11.5,11.75,146400.0
1992-03-06,22.75,23.75,22.75,23.75,600.0,0.0,1.0,11.375,11.875,11.375,11.875,1200.0
1992-03-09,23.75,23.75,23.25,23.75,17600.0,0.0,1.0,11.875,11.875,11.625,11.875,35200.0
1992-03-10,23.75,25.25,23.25,25.0,112300.0,0.0,1.0,11.875,12.625,11.625,12.5,224600.0
1992-03-11,25.0,26.0,24.25,25.0,86900.0,0.0,1.0,12.5,13.0,12.125,12.5,173800.0
1992-03-12,24.75,25.0,24.5,24.5,364300.0,0.0,1.0,12.375,12.5,12.25,12.25,728600.0
1992-03-13,24.88,25.25,24.0,24.0,700.0,0.0,1.0,12.44,12.625,12.0,12.0,1400.0
1992-03-16,24.0,24.25,23.75,23.88,20400.0,0.0,1.0,12.0,12.125,11.875,11.94,40800.0
1992-03-17,23.88,24.88,23.88,24.5,90400.0,0.0,1.0,11.94,12.44,11.94,12.25,180800.0
1992-03-18,24.25,24.75,24.25,24.75,1000.0,0.0,1.0,12.125,12.375,12.125,12.375,2000.0
1992-03-19,25.25,25.25,24.13,24.25,431700.0,0.0,1.0,12.625,12.625,12.065,12.125,863400.0
1992-03-20,24.25,25.25,24.25,25.25,800.0,0.0,1.0,12.125,12.625,12.125,12.625,1600.0
1992-03-23,24.25,25.25,24.0,24.0,15100.0,0.0,1.0,12.125,12.625,12.0,12.0,30200.0
1992-03-24,24.0,24.25,21.0,21.25,223700.0,0.0,1.0,12.0,12.125,10.5,10.625,447400.0
1992-03-25,22.25,22.5,21.5,22.0,67300.0,0.0,1.0,11.125,11.25,10.75,11.0,134600.0
1992-03-26,22.5,22.5,21.25,21.5,29200.0,0.0,1.0,11.25,11.25,10.625,10.75,58400.0
1992-03-27,21.0,21.0,19.0,20.0,601800.0,0.0,1.0,10.5,10.5,9.5,10.0,1203600.0
1992-03-30,19.25,20.25,18.25,18.25,86800.0,0.0,1.0,9.625,10.125,9.125,9.125,173600.0
1992-03-31,18.25,19.5,18.25,19.0,259900.0,0.0,1.0,9.125,9.75,9.125,9.5,519800.0
1992-04-01,18.75,19.5,18.5,19.5,301800.0,0.0,1.0,9.375,9.75,9.25,9.75,603600.0
1992-04-02,19.5,19.5,18.0,18.0,107700.0,0.0,1.0,9.75,9.75,9.0,9.0,215400.0
1992-04-03,17.75,18.75,17.75,17.75,38000.0,0.0,1.0,8.875,9.375,8.875,8.875,76000.0
1992-04-06,17.75,18.75,17.75,18.75,131500.0,0.0,1.0,8.875,9.375,8.875,9.375,263000.0
1992-04-07,18.75,18.75,17.75,17.75,141200.0,0.0,1.0,9.375,9.375,8.875,8.875,282400.0
1992-04-08,18.0,18.25,17.0,18.0,23800.0,0.0,1.0,9.0,9.125,8.5,9.0,47600.0
1992-04-09,17.88,18.25,17.63,17.88,232800.0,0.0,1.0,8.94,9.125,8.815,8.94,465600.0
1992-04-10,18.0,18.75,18.0,18.0,277300.0,0.0,1.0,9.0,9.375,9.0,9.0,554600.0
1992-04-13,19.0,19.0,17.75,18.25,33700.0,0.0,1.0,9.5,9.5,8.875,9.125,67400.0
1992-04-14,18.25,18.75,17.75,17.75,167400.0,0.0,1.0,9.125,9.375,8.875,8.875,334800.0
1992-04-15,18.5,18.75,18.5,18.5,4200.0,0.0,1.0,9.25,9.375,9.25,9.25,8400.0
1992-04-16,18.25,18.5,17.5,18.0,76900.0,0.0,1.0,9.125,9.25,8.75,9.0,153800.0
1992-04-20,17.5,18.25,17.25,17.63,15200.0,0.0,1.0,8.75,9.125,8.625,8.815,30400.0
1992-04-21,18.25,19.0,17.0,17.25,273100.0,0.0,1.0,9.125,9.5,8.5,8.625,546200.0
1992-04-22,17.5,17.5,16.25,17.0,39100.0,0.0,1.0,8.75,8.75,8.125,8.5,78200.0
1992-04-23,16.75,16.88,15.75,16.63,211500.0,0.0,1.0,8.375,8.44,7.875,8.315,423000.0
1992-04-24,16.25,16.75,16.0,16.0,336600.0,0.0,1.0,8.125,8.375,8.0,8.0,673200.0
1992-04-27,17.0,17.25,16.5,16.88,269700.0,0.0,1.0,8.5,8.625,8.25,8.44,539400.0
1992-04-28,17.5,18.0,17.0,17.5,230600.0,0.0,1.0,8.75,9.0,8.5,8.75,461200.0
1992-04-29,18.75,19.0,18.0,18.0,93800.0,0.0,1.0,9.375,9.5,9.0,9.0,187600.0
1992-04-30,18.0,18.75,18.0,18.5,12500.0,0.0,1.0,9.0,9.375,9.0,9.25,25000.0
1992-05-01,18.5,18.5,18.0,18.5,6800.0,0.0,1.0,9.25,9.25,9.0,9.25,13600.0
1992-05-04,19.5,19.5,18.25,19.25,18700.0,0.0,1.0,9.75,9.75,9.125,9.625,37400.0
1992-05-05,19.25,19.5,19.0,19.0,82800.0,0.0,1.0,9.625,9.75,9.5,9.5,165600.0
1992-05-06,19.0,19.5,19.0,19.5,21000.0,0.0,1.0,9.5,9.75,9.5,9.75,42000.0
1992-05-07,19.5,19.5,19.0,19.13,55800.0,0.0,1.0,9.75,9.75,9.5,9.565,111600.0
1992-05-08,19.5,20.25,19.5,20.25,102700.0,0.0,1.0,9.75,10.125,9.75,10.125,205400.0
1992-05-11,20.25,21.0,20.0,20.75,55300.0,0.0,1.0,10.125,10.5,10.0,10.375,110600.0
1992-05-12,20.25,22.25,20.25,21.25,132700.0,0.0,1.0,10.125,11.125,10.125,10.625,265400.0
1992-05-13,21.5,22.0,21.25,21.25,11500.0,0.0,1.0,10.75,11.0,10.625,10.625,23000.0
