Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1991-09-04,10.4,11.72,10.4,10.4,479300.0,0.0,1.0,1.8258281579422,2.0575678856811,1.8258281579422,1.8258281579422,1917200.0
1991-09-05,10.4,10.88,10.4,10.4,262900.0,0.0,1.0,1.8258281579422,1.9100971498473,1.8258281579422,1.8258281579422,1051600.0
1991-09-06,10.4,10.56,10.08,10.08,195700.0,0.0,1.0,1.8258281579422,1.8539178219106,1.7696488300056,1.7696488300056,782800.0
1991-09-09,10.08,10.64,10.08,10.08,18600.0,0.0,1.0,1.7696488300056,1.8679626538948,1.7696488300056,1.7696488300056,74400.0
1991-09-10,10.08,10.56,10.08,10.56,53700.0,0.0,1.0,1.7696488300056,1.8539178219106,1.7696488300056,1.8539178219106,214800.0
1991-09-11,10.56,10.56,10.08,10.56,9700.0,0.0,1.0,1.8539178219106,1.8539178219106,1.7696488300056,1.8539178219106,38800.0
1991-09-12,10.56,10.72,10.24,10.72,43200.0,0.0,1.0,1.8539178219106,1.8820074858789,1.7977384939739,1.8820074858789,172800.0
1991-09-13,10.72,10.72,10.72,10.72,0.0,0.0,1.0,1.8820074858789,1.8820074858789,1.8820074858789,1.8820074858789,0.0
1991-09-16,10.72,10.72,10.72,10.72,0.0,0.0,1.0,1.8820074858789,1.8820074858789,1.8820074858789,1.8820074858789,0.0
1991-09-17,10.72,10.88,10.4,10.4,2300.0,0.0,1.0,1.8820074858789,1.9100971498473,1.8258281579422,1.8258281579422,9200.0
1991-09-18,10.56,10.88,10.56,10.56,3900.0,0.0,1.0,1.8539178219106,1.9100971498473,1.8539178219106,1.8539178219106,15600.0
1991-09-19,10.4,10.4,10.4,10.4,100.0,0.0,1.0,1.8258281579422,1.8258281579422,1.8258281579422,1.8258281579422,400.0
1991-09-20,10.4,10.4,10.4,10.4,900.0,0.0,1.0,1.8258281579422,1.8258281579422,1.8258281579422,1.8258281579422,3600.0
1991-09-23,10.4,10.88,10.4,10.72,7500.0,0.0,1.0,1.8258281579422,1.9100971498473,1.8258281579422,1.8820074858789,30000.0
1991-09-24,10.72,10.8,10.4,10.56,62700.0,0.0,1.0,1.8820074858789,1.8960523178631,1.8258281579422,1.8539178219106,250800.0
1991-09-25,10.56,10.8,10.4,10.8,67500.0,0.0,1.0,1.8539178219106,1.8960523178631,1.8258281579422,1.8960523178631,270000.0
1991-09-26,10.8,10.88,10.24,10.24,69700.0,0.0,1.0,1.8960523178631,1.9100971498473,1.7977384939739,1.7977384939739,278800.0
1991-09-27,10.48,10.72,10.48,10.72,23800.0,0.0,1.0,1.8398729899264,1.8820074858789,1.8398729899264,1.8820074858789,95200.0
1991-09-30,10.72,10.72,10.72,10.72,0.0,0.0,1.0,1.8820074858789,1.8820074858789,1.8820074858789,1.8820074858789,0.0
1991-10-01,10.64,10.64,10.24,10.24,50700.0,0.0,1.0,1.8679626538948,1.8679626538948,1.7977384939739,1.7977384939739,202800.0
1991-10-02,10.24,10.56,10.24,10.56,14000.0,0.0,1.0,1.7977384939739,1.8539178219106,1.7977384939739,1.8539178219106,56000.0
1991-10-03,10.4,10.4,10.4,10.4,1800.0,0.0,1.0,1.8258281579422,1.8258281579422,1.8258281579422,1.8258281579422,7200.0
1991-10-04,10.4,10.4,10.4,10.4,3900.0,0.0,1.0,1.8258281579422,1.8258281579422,1.8258281579422,1.8258281579422,15600.0
1991-10-07,10.72,10.72,10.72,10.72,700.0,0.0,1.0,1.8820074858789,1.8820074858789,1.8820074858789,1.8820074858789,2800.0
1991-10-08,10.64,10.64,10.4,10.64,14500.0,0.0,1.0,1.8679626538948,1.8679626538948,1.8258281579422,1.8679626538948,58000.0
1991-10-09,10.64,10.72,10.08,10.32,173500.0,0.0,1.0,1.8679626538948,1.8820074858789,1.7696488300056,1.8117833259581,694000.0
1991-10-10,10.24,10.24,10.08,10.08,16500.0,0.0,1.0,1.7977384939739,1.7977384939739,1.7696488300056,1.7696488300056,66000.0
1991-10-11,10.24,10.32,10.24,10.32,15700.0,0.0,1.0,1.7977384939739,1.8117833259581,1.7977384939739,1.8117833259581,62800.0
1991-10-14,10.32,10.56,10.24,10.56,32000.0,0.0,1.0,1.8117833259581,1.8539178219106,1.7977384939739,1.8539178219106,128000.0
1991-10-15,10.56,10.56,10.56,10.56,0.0,0.0,1.0,1.8539178219106,1.8539178219106,1.8539178219106,1.8539178219106,0.0
1991-10-16,10.4,10.4,10.08,10.24,94600.0,0.0,1.0,1.8258281579422,1.8258281579422,1.7696488300056,1.7977384939739,378400.0
1991-10-17,10.24,10.4,10.08,10.16,118600.0,0.0,1.0,1.7977384939739,1.8258281579422,1.7696488300056,1.7836936619897,474400.0
1991-10-18,10.56,10.56,10.56,10.56,100.0,0.0,1.0,1.8539178219106,1.8539178219106,1.8539178219106,1.8539178219106,400.0
1991-10-21,10.56,10.56,10.08,10.08,22500.0,0.0,1.0,1.8539178219106,1.8539178219106,1.7696488300056,1.7696488300056,90000.0
1991-10-22,10.08,10.4,10.08,10.08,16800.0,0.0,1.0,1.7696488300056,1.8258281579422,1.7696488300056,1.7696488300056,67200.0
1991-10-23,10.08,10.24,10.08,10.16,51800.0,0.0,1.0,1.7696488300056,1.7977384939739,1.7696488300056,1.7836936619897,207200.0
