Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1998-01-27,5.438,6.375,5.125,5.125,243200.0,0.0,1.0,5.438,6.375,5.125,5.125,243200.0
1998-01-28,5.125,5.5,5.0,5.125,105800.0,0.0,1.0,5.125,5.5,5.0,5.125,105800.0
1998-01-29,5.25,5.375,5.0,5.125,139200.0,0.0,1.0,5.25,5.375,5.0,5.125,139200.0
1998-01-30,4.875,5.125,4.875,5.0,85100.0,0.0,1.0,4.875,5.125,4.875,5.0,85100.0
1998-02-02,5.25,5.25,4.5,4.5,141600.0,0.0,1.0,5.25,5.25,4.5,4.5,141600.0
1998-02-03,4.75,4.75,3.75,4.063,140500.0,0.0,1.0,4.75,4.75,3.75,4.063,140500.0
1998-02-04,3.75,4.063,3.75,3.813,82500.0,0.0,1.0,3.75,4.063,3.75,3.813,82500.0
1998-02-05,4.0,4.063,3.813,4.0,107500.0,0.0,1.0,4.0,4.063,3.813,4.0,107500.0
1998-02-06,4.063,4.625,4.0,4.0,52100.0,0.0,1.0,4.063,4.625,4.0,4.0,52100.0
1998-02-09,4.375,4.375,4.0,4.0,20600.0,0.0,1.0,4.375,4.375,4.0,4.0,20600.0
1998-02-10,4.0,4.0,3.813,4.0,69900.0,0.0,1.0,4.0,4.0,3.813,4.0,69900.0
1998-02-11,3.969,4.0,3.813,3.813,125300.0,0.0,1.0,3.969,4.0,3.813,3.813,125300.0
1998-02-12,3.875,3.875,3.625,3.625,75900.0,0.0,1.0,3.875,3.875,3.625,3.625,75900.0
1998-02-13,3.625,3.813,3.25,3.5,31700.0,0.0,1.0,3.625,3.813,3.25,3.5,31700.0
1998-02-17,3.25,3.5,2.625,2.75,108200.0,0.0,1.0,3.25,3.5,2.625,2.75,108200.0
1998-02-18,2.875,2.875,2.531,2.531,30600.0,0.0,1.0,2.875,2.875,2.531,2.531,30600.0
1998-02-19,2.531,2.531,2.125,2.25,63500.0,0.0,1.0,2.531,2.531,2.125,2.25,63500.0
1998-02-20,2.219,2.313,2.125,2.313,45500.0,0.0,1.0,2.219,2.313,2.125,2.313,45500.0
1998-02-23,2.25,2.313,2.0,2.125,55600.0,0.0,1.0,2.25,2.313,2.0,2.125,55600.0
1998-02-24,2.0,2.25,2.0,2.031,44500.0,0.0,1.0,2.0,2.25,2.0,2.031,44500.0
1998-02-25,2.031,2.125,2.0,2.094,11400.0,0.0,1.0,2.031,2.125,2.0,2.094,11400.0
1998-02-26,2.031,2.125,2.0,2.0,31500.0,0.0,1.0,2.031,2.125,2.0,2.0,31500.0
1998-02-27,2.125,2.125,2.0,2.0,3600.0,0.0,1.0,2.125,2.125,2.0,2.0,3600.0
1998-03-02,2.125,2.25,2.031,2.25,60100.0,0.0,1.0,2.125,2.25,2.031,2.25,60100.0
1998-03-03,2.25,2.25,2.125,2.188,30900.0,0.0,1.0,2.25,2.25,2.125,2.188,30900.0
1998-03-04,2.125,2.219,2.031,2.031,10900.0,0.0,1.0,2.125,2.219,2.031,2.031,10900.0
1998-03-05,2.25,2.25,2.031,2.031,41200.0,0.0,1.0,2.25,2.25,2.031,2.031,41200.0
1998-03-06,2.031,2.063,1.969,1.969,53000.0,0.0,1.0,2.031,2.063,1.969,1.969,53000.0
1998-03-09,2.063,2.063,1.656,1.656,33700.0,0.0,1.0,2.063,2.063,1.656,1.656,33700.0
1998-03-10,1.656,1.75,1.625,1.625,23200.0,0.0,1.0,1.656,1.75,1.625,1.625,23200.0
1998-03-11,1.625,1.75,1.531,1.75,33000.0,0.0,1.0,1.625,1.75,1.531,1.75,33000.0
1998-03-12,1.563,1.75,1.438,1.5,68600.0,0.0,1.0,1.563,1.75,1.438,1.5,68600.0
1998-03-13,1.5,2.0,1.5,1.969,84600.0,0.0,1.0,1.5,2.0,1.5,1.969,84600.0
1998-03-16,2.0,2.094,1.813,1.813,58900.0,0.0,1.0,2.0,2.094,1.813,1.813,58900.0
1998-03-17,1.938,2.063,1.75,1.75,42300.0,0.0,1.0,1.938,2.063,1.75,1.75,42300.0
1998-03-18,1.75,1.813,1.531,1.563,26700.0,0.0,1.0,1.75,1.813,1.531,1.563,26700.0
1998-03-19,2.0,2.25,1.656,1.969,114400.0,0.0,1.0,2.0,2.25,1.656,1.969,114400.0
1998-03-20,1.875,2.0,1.75,1.781,55000.0,0.0,1.0,1.875,2.0,1.75,1.781,55000.0
1998-03-23,2.0,2.0,1.531,1.563,81000.0,0.0,1.0,2.0,2.0,1.531,1.563,81000.0
1998-03-24,1.875,1.875,1.688,1.75,41500.0,0.0,1.0,1.875,1.875,1.688,1.75,41500.0
1998-03-25,1.875,1.875,1.563,1.875,42900.0,0.0,1.0,1.875,1.875,1.563,1.875,42900.0
1998-03-26,1.594,1.719,1.563,1.594,71500.0,0.0,1.0,1.594,1.719,1.563,1.594,71500.0
1998-03-27,1.625,1.719,1.563,1.563,26100.0,0.0,1.0,1.625,1.719,1.563,1.563,26100.0
1998-03-30,1.75,1.75,1.406,1.438,57600.0,0.0,1.0,1.75,1.75,1.406,1.438,57600.0
1998-03-31,1.438,1.625,1.438,1.438,5300.0,0.0,1.0,1.438,1.625,1.438,1.438,5300.0
1998-04-01,1.438,1.563,1.313,1.328,60200.0,0.0,1.0,1.438,1.563,1.313,1.328,60200.0
1998-04-02,1.313,1.469,1.25,1.313,45100.0,0.0,1.0,1.313,1.469,1.25,1.313,45100.0
1998-04-03,1.25,1.375,1.25,1.281,25200.0,0.0,1.0,1.25,1.375,1.25,1.281,25200.0
1998-04-06,1.47,1.47,1.31,1.31,47200.0,0.0,1.0,1.47,1.47,1.31,1.31,47200.0
1998-04-07,1.469,1.469,1.313,1.313,42900.0,0.0,1.0,1.469,1.469,1.313,1.313,42900.0
1998-04-08,1.281,1.344,1.281,1.344,16200.0,0.0,1.0,1.281,1.344,1.281,1.344,16200.0
1998-04-09,1.281,1.406,1.281,1.313,27900.0,0.0,1.0,1.281,1.406,1.281,1.313,27900.0
