Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1998-06-03,16.0,16.0,16.0,16.0,0.0,0.0,1.0,16.0,16.0,16.0,16.0,0.0
1998-06-04,16.0,16.0,16.0,16.0,0.0,0.0,1.0,16.0,16.0,16.0,16.0,0.0
1998-06-05,16.0,16.0,16.0,16.0,0.0,0.0,1.0,16.0,16.0,16.0,16.0,0.0
1998-06-08,15.75,16.38,15.75,16.38,4400.0,0.0,1.0,15.75,16.38,15.75,16.38,4400.0
1998-06-09,16.38,16.38,16.38,16.38,0.0,0.0,1.0,16.38,16.38,16.38,16.38,0.0
1998-06-10,15.75,15.88,15.75,15.75,2200.0,0.0,1.0,15.75,15.88,15.75,15.75,2200.0
1998-06-11,15.75,15.75,15.75,15.75,100.0,0.0,1.0,15.75,15.75,15.75,15.75,100.0
1998-06-12,15.75,15.75,15.5,15.63,6100.0,0.0,1.0,15.75,15.75,15.5,15.63,6100.0
1998-06-15,15.5,15.5,15.5,15.5,300.0,0.0,1.0,15.5,15.5,15.5,15.5,300.0
1998-06-16,15.5,15.5,15.5,15.5,500.0,0.0,1.0,15.5,15.5,15.5,15.5,500.0
1998-06-17,15.5,16.13,15.5,15.5,8800.0,0.0,1.0,15.5,16.13,15.5,15.5,8800.0
1998-06-18,15.75,15.75,15.75,15.75,1800.0,0.0,1.0,15.75,15.75,15.75,15.75,1800.0
1998-06-19,15.5,15.5,15.5,15.5,1500.0,0.0,1.0,15.5,15.5,15.5,15.5,1500.0
1998-06-22,15.5,15.5,15.5,15.5,0.0,0.0,1.0,15.5,15.5,15.5,15.5,0.0
1998-06-23,15.5,15.63,15.38,15.63,24200.0,0.0,1.0,15.5,15.63,15.38,15.63,24200.0
1998-06-24,15.25,15.5,15.25,15.25,2400.0,0.0,1.0,15.25,15.5,15.25,15.25,2400.0
1998-06-25,15.25,15.25,15.25,15.25,0.0,0.0,1.0,15.25,15.25,15.25,15.25,0.0
1998-06-26,14.75,14.75,14.75,14.75,1600.0,0.0,1.0,14.75,14.75,14.75,14.75,1600.0
1998-06-29,14.75,14.75,14.75,14.75,0.0,0.0,1.0,14.75,14.75,14.75,14.75,0.0
1998-06-30,14.5,15.0,13.5,13.5,8200.0,0.0,1.0,14.5,15.0,13.5,13.5,8200.0
1998-07-01,13.63,14.25,13.63,13.63,8300.0,0.0,1.0,13.63,14.25,13.63,13.63,8300.0
1998-07-02,13.5,14.5,13.5,14.5,2100.0,0.0,1.0,13.5,14.5,13.5,14.5,2100.0
1998-07-06,13.5,13.5,13.5,13.5,500.0,0.0,1.0,13.5,13.5,13.5,13.5,500.0
