Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1997-09-10,5.5,5.73,5.02,5.5,288900.0,0.0,1.0,5.5,5.73,5.02,5.5,288900.0
1997-09-11,5.5,5.5,5.12,5.5,104400.0,0.0,1.0,5.5,5.5,5.12,5.5,104400.0
1997-09-12,5.5,6.0,5.31,5.75,108100.0,0.0,1.0,5.5,6.0,5.31,5.75,108100.0
1997-09-15,6.13,6.13,5.62,5.62,85100.0,0.0,1.0,6.13,6.13,5.62,5.62,85100.0
1997-09-16,5.75,5.87,5.38,5.38,113200.0,0.0,1.0,5.75,5.87,5.38,5.38,113200.0
1997-09-17,5.38,5.62,5.38,5.38,24300.0,0.0,1.0,5.38,5.62,5.38,5.38,24300.0
1997-09-18,5.38,5.62,5.38,5.5,9200.0,0.0,1.0,5.38,5.62,5.38,5.5,9200.0
1997-09-19,5.5,5.75,5.38,5.5,20300.0,0.0,1.0,5.5,5.75,5.38,5.5,20300.0
1997-09-22,5.62,5.75,5.38,5.38,37000.0,0.0,1.0,5.62,5.75,5.38,5.38,37000.0
1997-09-23,5.5,5.62,5.38,5.38,23100.0,0.0,1.0,5.5,5.62,5.38,5.38,23100.0
1997-09-24,5.38,5.5,5.38,5.38,36200.0,0.0,1.0,5.38,5.5,5.38,5.38,36200.0
1997-09-25,5.5,5.87,5.44,5.62,53300.0,0.0,1.0,5.5,5.87,5.44,5.62,53300.0
1997-09-26,5.44,5.62,5.44,5.5,31800.0,0.0,1.0,5.44,5.62,5.44,5.5,31800.0
1997-09-29,5.75,5.75,5.5,5.5,5500.0,0.0,1.0,5.75,5.75,5.5,5.5,5500.0
1997-09-30,5.5,5.62,5.38,5.38,79200.0,0.0,1.0,5.5,5.62,5.38,5.38,79200.0
1997-10-01,5.38,5.5,5.38,5.38,7500.0,0.0,1.0,5.38,5.5,5.38,5.38,7500.0
1997-10-02,5.5,5.5,5.38,5.5,8400.0,0.0,1.0,5.5,5.5,5.38,5.5,8400.0
1997-10-03,5.5,5.62,5.38,5.62,28100.0,0.0,1.0,5.5,5.62,5.38,5.62,28100.0
1997-10-06,5.62,5.62,5.38,5.38,5500.0,0.0,1.0,5.62,5.62,5.38,5.38,5500.0
1997-10-07,5.38,5.75,5.38,5.75,98200.0,0.0,1.0,5.38,5.75,5.38,5.75,98200.0
1997-10-08,5.75,7.0,5.75,6.28,176600.0,0.0,1.0,5.75,7.0,5.75,6.28,176600.0
1997-10-09,6.5,6.56,6.25,6.44,117500.0,0.0,1.0,6.5,6.56,6.25,6.44,117500.0
1997-10-10,6.5,6.5,5.94,6.0,183100.0,0.0,1.0,6.5,6.5,5.94,6.0,183100.0
1997-10-13,6.13,6.13,5.87,6.06,75400.0,0.0,1.0,6.13,6.13,5.87,6.06,75400.0
1997-10-14,6.06,6.13,5.75,5.75,50800.0,0.0,1.0,6.06,6.13,5.75,5.75,50800.0
1997-10-15,5.87,6.0,5.75,6.0,14600.0,0.0,1.0,5.87,6.0,5.75,6.0,14600.0
1997-10-16,6.0,6.38,5.87,5.87,122100.0,0.0,1.0,6.0,6.38,5.87,5.87,122100.0
1997-10-17,5.87,6.06,5.75,5.81,32500.0,0.0,1.0,5.87,6.06,5.75,5.81,32500.0
1997-10-20,6.0,6.0,5.69,5.69,11500.0,0.0,1.0,6.0,6.0,5.69,5.69,11500.0
1997-10-21,5.87,5.87,5.62,5.62,29500.0,0.0,1.0,5.87,5.87,5.62,5.62,29500.0
1997-10-22,5.75,5.75,5.75,5.75,4000.0,0.0,1.0,5.75,5.75,5.75,5.75,4000.0
1997-10-23,5.75,5.75,5.62,5.62,15200.0,0.0,1.0,5.75,5.75,5.62,5.62,15200.0
1997-10-24,5.87,6.0,5.81,5.81,35500.0,0.0,1.0,5.87,6.0,5.81,5.81,35500.0
1997-10-27,5.69,6.0,5.5,5.5,35300.0,0.0,1.0,5.69,6.0,5.5,5.5,35300.0
1997-10-28,5.25,5.62,5.12,5.38,56800.0,0.0,1.0,5.25,5.62,5.12,5.38,56800.0
1997-10-29,5.62,5.62,5.25,5.25,40600.0,0.0,1.0,5.62,5.62,5.25,5.25,40600.0
1997-10-30,5.25,5.5,5.0,5.38,13600.0,0.0,1.0,5.25,5.5,5.0,5.38,13600.0
1997-10-31,5.12,5.5,5.12,5.12,25300.0,0.0,1.0,5.12,5.5,5.12,5.12,25300.0
1997-11-03,5.12,5.5,5.12,5.5,7900.0,0.0,1.0,5.12,5.5,5.12,5.5,7900.0
1997-11-04,5.5,5.5,5.25,5.25,23400.0,0.0,1.0,5.5,5.5,5.25,5.25,23400.0
1997-11-05,5.5,5.5,5.25,5.25,9100.0,0.0,1.0,5.5,5.5,5.25,5.25,9100.0
