Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1995-08-18,2.12,2.12,2.12,2.12,0.0,0.0,1.0,2.12,2.12,2.12,2.12,0.0
1995-08-21,2.12,2.12,2.12,2.12,0.0,0.0,1.0,2.12,2.12,2.12,2.12,0.0
1995-08-22,2.12,2.12,2.0,2.12,19500.0,0.0,1.0,2.12,2.12,2.0,2.12,19500.0
1995-08-23,2.12,2.12,2.0,2.0,1700.0,0.0,1.0,2.12,2.12,2.0,2.0,1700.0
1995-08-24,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0
1995-08-25,2.0,2.0,2.0,2.0,4300.0,0.0,1.0,2.0,2.0,2.0,2.0,4300.0
1995-08-28,2.0,2.0,2.0,2.0,100.0,0.0,1.0,2.0,2.0,2.0,2.0,100.0
1995-08-29,2.12,2.12,2.12,2.12,3000.0,0.0,1.0,2.12,2.12,2.12,2.12,3000.0
1995-08-30,2.0,2.0,2.0,2.0,200.0,0.0,1.0,2.0,2.0,2.0,2.0,200.0
1995-08-31,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0
1995-09-01,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0
1995-09-05,2.0,2.12,1.88,2.0,55600.0,0.0,1.0,2.0,2.12,1.88,2.0,55600.0
1995-09-06,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0
1995-09-07,2.0,2.12,2.0,2.0,25100.0,0.0,1.0,2.0,2.12,2.0,2.0,25100.0
1995-09-08,2.12,2.12,2.12,2.12,2500.0,0.0,1.0,2.12,2.12,2.12,2.12,2500.0
1995-09-11,2.12,2.12,2.12,2.12,0.0,0.0,1.0,2.12,2.12,2.12,2.12,0.0
1995-09-12,2.12,2.12,2.12,2.12,0.0,0.0,1.0,2.12,2.12,2.12,2.12,0.0
1995-09-13,2.0,2.0,2.0,2.0,5200.0,0.0,1.0,2.0,2.0,2.0,2.0,5200.0
1995-09-14,2.0,2.12,2.0,2.12,32500.0,0.0,1.0,2.0,2.12,2.0,2.12,32500.0
1995-09-15,2.12,2.12,2.12,2.12,4900.0,0.0,1.0,2.12,2.12,2.12,2.12,4900.0
1995-09-18,2.12,2.12,2.0,2.12,45800.0,0.0,1.0,2.12,2.12,2.0,2.12,45800.0
