Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1999-06-17,13.5,14.5,12.13,12.19,2348300.0,0.0,1.0,6.75,7.25,6.065,6.095,4696600.0
1999-06-18,12.19,12.38,12.0,12.31,439800.0,0.0,1.0,6.095,6.19,6.0,6.155,879600.0
1999-06-21,12.38,12.38,12.0,12.13,73700.0,0.0,1.0,6.19,6.19,6.0,6.065,147400.0
1999-06-22,12.13,12.25,12.13,12.25,56200.0,0.0,1.0,6.065,6.125,6.065,6.125,112400.0
1999-06-23,12.25,13.0,12.0,12.06,460800.0,0.0,1.0,6.125,6.5,6.0,6.03,921600.0
1999-06-24,12.0,12.06,12.0,12.0,181700.0,0.0,1.0,6.0,6.03,6.0,6.0,363400.0
1999-06-25,12.0,12.25,11.5,12.06,133400.0,0.0,1.0,6.0,6.125,5.75,6.03,266800.0
1999-06-28,12.0,12.0,11.5,11.5,69000.0,0.0,1.0,6.0,6.0,5.75,5.75,138000.0
1999-06-29,11.88,11.94,11.5,11.63,69100.0,0.0,1.0,5.94,5.97,5.75,5.815,138200.0
1999-06-30,11.63,12.25,11.63,11.88,20400.0,0.0,1.0,5.815,6.125,5.815,5.94,40800.0
1999-07-01,12.25,12.38,12.0,12.38,22500.0,0.0,1.0,6.125,6.19,6.0,6.19,45000.0
1999-07-02,12.5,13.38,12.0,12.63,163100.0,0.0,1.0,6.25,6.69,6.0,6.315,326200.0
1999-07-06,12.69,13.0,12.38,12.88,132100.0,0.0,1.0,6.345,6.5,6.19,6.44,264200.0
1999-07-07,12.88,13.0,12.5,12.5,26700.0,0.0,1.0,6.44,6.5,6.25,6.25,53400.0
1999-07-08,12.5,13.0,12.5,12.75,57700.0,0.0,1.0,6.25,6.5,6.25,6.375,115400.0
1999-07-09,12.5,13.5,12.5,13.5,39400.0,0.0,1.0,6.25,6.75,6.25,6.75,78800.0
1999-07-12,12.5,13.5,12.5,13.38,22800.0,0.0,1.0,6.25,6.75,6.25,6.69,45600.0
1999-07-13,13.38,15.5,13.13,15.25,256500.0,0.0,1.0,6.69,7.75,6.565,7.625,513000.0
1999-07-14,15.5,16.5,15.0,16.0,238800.0,0.0,1.0,7.75,8.25,7.5,8.0,477600.0
1999-07-15,16.0,17.25,15.0,16.63,128600.0,0.0,1.0,8.0,8.625,7.5,8.315,257200.0
1999-07-16,16.63,17.25,15.5,16.75,68800.0,0.0,1.0,8.315,8.625,7.75,8.375,137600.0
1999-07-19,17.13,18.0,17.0,17.0,171400.0,0.0,1.0,8.565,9.0,8.5,8.5,342800.0
1999-07-20,17.13,17.13,16.63,16.88,117700.0,0.0,1.0,8.565,8.565,8.315,8.44,235400.0
1999-07-21,16.75,17.25,16.75,17.0,128800.0,0.0,1.0,8.375,8.625,8.375,8.5,257600.0
1999-07-22,16.88,17.25,16.88,17.13,93100.0,0.0,1.0,8.44,8.625,8.44,8.565,186200.0
1999-07-23,17.25,17.31,16.69,17.31,105000.0,0.0,1.0,8.625,8.655,8.345,8.655,210000.0
1999-07-26,17.22,17.31,17.13,17.25,37200.0,0.0,1.0,8.61,8.655,8.565,8.625,74400.0
1999-07-27,17.13,17.25,16.88,17.13,54300.0,0.0,1.0,8.565,8.625,8.44,8.565,108600.0
1999-07-28,17.38,18.5,17.31,17.88,61800.0,0.0,1.0,8.69,9.25,8.655,8.94,123600.0
1999-07-29,18.0,18.0,17.25,17.38,58300.0,0.0,1.0,9.0,9.0,8.625,8.69,116600.0
1999-07-30,18.0,18.31,17.38,18.31,86700.0,0.0,1.0,9.0,9.155,8.69,9.155,173400.0
1999-08-02,18.5,20.69,18.13,20.38,71600.0,0.0,1.0,9.25,10.345,9.065,10.19,143200.0
1999-08-03,21.0,21.5,20.63,21.0,88600.0,0.0,1.0,10.5,10.75,10.315,10.5,177200.0
1999-08-04,20.81,21.13,19.63,19.88,51000.0,0.0,1.0,10.405,10.565,9.815,9.94,102000.0
1999-08-05,20.13,20.13,19.13,19.38,130000.0,0.0,1.0,10.065,10.065,9.565,9.69,260000.0
1999-08-06,19.31,20.0,19.25,19.75,60400.0,0.0,1.0,9.655,10.0,9.625,9.875,120800.0
1999-08-09,19.81,20.75,19.81,20.5,56400.0,0.0,1.0,9.905,10.375,9.905,10.25,112800.0
1999-08-10,20.44,21.88,20.25,21.38,50000.0,0.0,1.0,10.22,10.94,10.125,10.69,100000.0
1999-08-11,21.5,24.0,21.25,23.0,78400.0,0.0,1.0,10.75,12.0,10.625,11.5,156800.0
1999-08-12,23.19,23.25,22.38,23.0,28900.0,0.0,1.0,11.595,11.625,11.19,11.5,57800.0
1999-08-13,23.0,23.25,22.75,22.88,23500.0,0.0,1.0,11.5,11.625,11.375,11.44,47000.0
1999-08-16,23.5,23.5,22.5,23.25,52000.0,0.0,1.0,11.75,11.75,11.25,11.625,104000.0
1999-08-17,23.25,24.63,23.13,24.25,53200.0,0.0,1.0,11.625,12.315,11.565,12.125,106400.0
1999-08-18,24.19,24.63,22.75,22.75,10700.0,0.0,1.0,12.095,12.315,11.375,11.375,21400.0
1999-08-19,22.5,22.5,19.75,20.75,173300.0,0.0,1.0,11.25,11.25,9.875,10.375,346600.0
1999-08-20,21.13,21.25,20.0,20.75,41600.0,0.0,1.0,10.565,10.625,10.0,10.375,83200.0
1999-08-23,20.88,21.0,20.0,20.0,22400.0,0.0,1.0,10.44,10.5,10.0,10.0,44800.0
1999-08-24,19.88,21.25,19.88,21.0,84900.0,0.0,1.0,9.94,10.625,9.94,10.5,169800.0
1999-08-25,21.5,24.13,21.0,23.5,77800.0,0.0,1.0,10.75,12.065,10.5,11.75,155600.0
1999-08-26,22.94,29.13,22.94,26.5,162000.0,0.0,1.0,11.47,14.565,11.47,13.25,324000.0
1999-08-27,26.56,27.25,25.5,26.5,55400.0,0.0,1.0,13.28,13.625,12.75,13.25,110800.0
