Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1999-05-12,20.0,20.81,19.62,20.0,4504800.0,0.0,1.0,1156.0,1202.8179999999998,1134.036,1156.0,77937.71626297578
1999-05-13,20.0,21.25,19.75,21.06,417900.0,0.0,0.01730103806228374,20.0,21.25,19.75,21.06,417900.0
1999-05-14,21.19,21.19,19.25,20.12,308800.0,0.0,1.0,21.19,21.19,19.25,20.12,308800.0
1999-05-17,20.25,20.38,19.75,20.0,147400.0,0.0,1.0,20.25,20.38,19.75,20.0,147400.0
1999-05-18,20.38,20.5,19.0,19.62,236900.0,0.0,1.0,20.38,20.5,19.0,19.62,236900.0
1999-05-19,19.88,20.25,19.5,19.56,140100.0,0.0,1.0,19.88,20.25,19.5,19.56,140100.0
1999-05-20,19.81,19.94,19.69,19.88,75200.0,0.0,1.0,19.81,19.94,19.69,19.88,75200.0
1999-05-21,19.81,20.12,19.81,20.0,57800.0,0.0,1.0,19.81,20.12,19.81,20.0,57800.0
1999-05-24,20.12,20.5,20.0,20.25,60300.0,0.0,1.0,20.12,20.5,20.0,20.25,60300.0
1999-05-25,20.25,20.38,20.0,20.0,120900.0,0.0,1.0,20.25,20.38,20.0,20.0,120900.0
1999-05-26,19.88,19.88,19.19,19.38,91700.0,0.0,1.0,19.88,19.88,19.19,19.38,91700.0
1999-05-27,19.44,19.44,18.88,18.94,224600.0,0.0,1.0,19.44,19.44,18.88,18.94,224600.0
1999-05-28,18.94,19.81,18.94,19.81,155900.0,0.0,1.0,18.94,19.81,18.94,19.81,155900.0
1999-06-01,19.56,19.56,19.31,19.5,13300.0,0.0,1.0,19.56,19.56,19.31,19.5,13300.0
1999-06-02,19.31,19.44,19.25,19.31,27200.0,0.0,1.0,19.31,19.44,19.25,19.31,27200.0
1999-06-03,19.31,19.62,19.31,19.38,81500.0,0.0,1.0,19.31,19.62,19.31,19.38,81500.0
1999-06-04,19.25,19.44,19.25,19.31,84300.0,0.0,1.0,19.25,19.44,19.25,19.31,84300.0
1999-06-07,19.38,19.5,19.31,19.5,28100.0,0.0,1.0,19.38,19.5,19.31,19.5,28100.0
1999-06-08,19.38,20.0,19.38,19.95,59500.0,0.0,1.0,19.38,20.0,19.38,19.95,59500.0
1999-06-09,19.5,19.94,19.38,19.94,65900.0,0.0,1.0,19.5,19.94,19.38,19.94,65900.0
1999-06-10,19.94,20.0,19.62,19.62,67400.0,0.0,1.0,19.94,20.0,19.62,19.62,67400.0
1999-06-11,19.62,19.62,19.19,19.62,104900.0,0.0,1.0,19.62,19.62,19.19,19.62,104900.0
1999-06-14,19.5,19.5,18.38,18.38,88900.0,0.0,1.0,19.5,19.5,18.38,18.38,88900.0
1999-06-15,18.25,18.38,17.88,17.88,241700.0,0.0,1.0,18.25,18.38,17.88,17.88,241700.0
1999-06-16,18.0,18.0,17.75,17.75,12000.0,0.0,1.0,18.0,18.0,17.75,17.75,12000.0
1999-06-17,18.0,18.0,17.88,18.0,49700.0,0.0,1.0,18.0,18.0,17.88,18.0,49700.0
1999-06-18,17.88,17.94,17.62,17.62,10500.0,0.0,1.0,17.88,17.94,17.62,17.62,10500.0
1999-06-21,17.62,17.69,17.5,17.69,19000.0,0.0,1.0,17.62,17.69,17.5,17.69,19000.0
1999-06-22,17.62,18.12,17.62,18.12,32600.0,0.0,1.0,17.62,18.12,17.62,18.12,32600.0
1999-06-23,18.0,18.12,17.88,18.06,52000.0,0.0,1.0,18.0,18.12,17.88,18.06,52000.0
1999-06-24,18.0,18.0,17.62,17.62,92000.0,0.0,1.0,18.0,18.0,17.62,17.62,92000.0
1999-06-25,17.56,18.0,17.56,17.75,114000.0,0.0,1.0,17.56,18.0,17.56,17.75,114000.0
1999-06-28,17.69,18.06,17.69,18.0,44900.0,0.0,1.0,17.69,18.06,17.69,18.0,44900.0
1999-06-29,18.0,18.25,17.94,18.12,104400.0,0.0,1.0,18.0,18.25,17.94,18.12,104400.0
1999-06-30,18.0,20.5,18.0,20.5,210600.0,0.0,1.0,18.0,20.5,18.0,20.5,210600.0
1999-07-01,20.25,20.25,19.0,19.56,158200.0,0.0,1.0,20.25,20.25,19.0,19.56,158200.0
1999-07-02,19.44,20.0,19.38,20.0,44700.0,0.0,1.0,19.44,20.0,19.38,20.0,44700.0
1999-07-06,20.25,22.19,20.19,22.19,112000.0,0.0,1.0,20.25,22.19,20.19,22.19,112000.0
1999-07-07,22.25,22.38,21.19,21.69,88300.0,0.0,1.0,22.25,22.38,21.19,21.69,88300.0
1999-07-08,21.69,22.44,21.38,21.94,95300.0,0.0,1.0,21.69,22.44,21.38,21.94,95300.0
1999-07-09,21.94,22.88,21.75,22.88,235200.0,0.0,1.0,21.94,22.88,21.75,22.88,235200.0
1999-07-12,22.75,22.75,21.5,22.62,62200.0,0.0,1.0,22.75,22.75,21.5,22.62,62200.0
1999-07-13,22.5,22.62,22.38,22.5,34400.0,0.0,1.0,22.5,22.62,22.38,22.5,34400.0
1999-07-14,22.5,22.5,21.38,21.62,24000.0,0.0,1.0,22.5,22.5,21.38,21.62,24000.0
1999-07-15,21.38,21.44,20.62,20.88,228600.0,0.0,1.0,21.38,21.44,20.62,20.88,228600.0
1999-07-16,20.75,21.19,20.75,21.12,15800.0,0.0,1.0,20.75,21.19,20.75,21.12,15800.0
1999-07-19,21.5,21.5,20.88,20.88,27100.0,0.0,1.0,21.5,21.5,20.88,20.88,27100.0
1999-07-20,20.62,20.62,19.5,20.12,25600.0,0.0,1.0,20.62,20.62,19.5,20.12,25600.0
1999-07-21,20.0,20.12,18.0,18.25,1028400.0,0.0,1.0,20.0,20.12,18.0,18.25,1028400.0
1999-07-22,18.06,18.5,17.62,18.38,322100.0,0.0,1.0,18.06,18.5,17.62,18.38,322100.0
1999-07-23,18.38,18.38,18.25,18.31,10500.0,0.0,1.0,18.38,18.38,18.25,18.31,10500.0
1999-07-26,18.25,18.38,17.94,18.06,84600.0,0.0,1.0,18.25,18.38,17.94,18.06,84600.0
1999-07-27,18.19,18.31,18.0,18.06,65300.0,0.0,1.0,18.19,18.31,18.0,18.06,65300.0
1999-07-28,18.0,18.12,18.0,18.0,45200.0,0.0,1.0,18.0,18.12,18.0,18.0,45200.0
1999-07-29,17.94,18.0,17.81,17.81,11100.0,0.0,1.0,17.94,18.0,17.81,17.81,11100.0
1999-07-30,17.88,18.0,17.75,18.0,16600.0,0.0,1.0,17.88,18.0,17.75,18.0,16600.0
1999-08-02,18.06,18.06,17.69,17.94,18700.0,0.0,1.0,18.06,18.06,17.69,17.94,18700.0
1999-08-03,18.0,18.0,17.56,17.75,10900.0,0.0,1.0,18.0,18.0,17.56,17.75,10900.0
1999-08-04,17.62,17.62,16.81,16.88,15400.0,0.0,1.0,17.62,17.62,16.81,16.88,15400.0
1999-08-05,16.75,16.94,16.69,16.88,11400.0,0.0,1.0,16.75,16.94,16.69,16.88,11400.0
1999-08-06,16.94,17.25,16.88,17.25,14600.0,0.0,1.0,16.94,17.25,16.88,17.25,14600.0
1999-08-09,17.06,17.06,16.69,16.88,10800.0,0.0,1.0,17.06,17.06,16.69,16.88,10800.0
1999-08-10,16.62,16.88,16.19,16.88,44700.0,0.0,1.0,16.62,16.88,16.19,16.88,44700.0
1999-08-11,16.88,17.5,16.88,17.5,41100.0,0.0,1.0,16.88,17.5,16.88,17.5,41100.0
1999-08-12,17.38,17.38,16.94,17.25,66300.0,0.0,1.0,17.38,17.38,16.94,17.25,66300.0
1999-08-13,17.38,17.38,17.0,17.38,138800.0,0.0,1.0,17.38,17.38,17.0,17.38,138800.0
1999-08-16,17.38,17.5,17.25,17.38,38700.0,0.0,1.0,17.38,17.5,17.25,17.38,38700.0
1999-08-17,17.25,17.38,17.0,17.12,91700.0,0.0,1.0,17.25,17.38,17.0,17.12,91700.0
1999-08-18,17.19,17.19,16.75,17.0,95400.0,0.0,1.0,17.19,17.19,16.75,17.0,95400.0
1999-08-19,16.88,16.88,16.62,16.81,12400.0,0.0,1.0,16.88,16.88,16.62,16.81,12400.0
1999-08-20,16.81,16.88,16.81,16.88,4900.0,0.0,1.0,16.81,16.88,16.81,16.88,4900.0
1999-08-23,16.88,16.88,15.88,15.88,56700.0,0.0,1.0,16.88,16.88,15.88,15.88,56700.0
1999-08-24,15.94,15.94,15.0,15.5,190900.0,0.0,1.0,15.94,15.94,15.0,15.5,190900.0
1999-08-25,15.38,15.5,15.38,15.38,5700.0,0.0,1.0,15.38,15.5,15.38,15.38,5700.0
1999-08-26,15.44,15.5,15.25,15.25,3700.0,0.0,1.0,15.44,15.5,15.25,15.25,3700.0
1999-08-27,15.25,15.44,15.06,15.25,17200.0,0.0,1.0,15.25,15.44,15.06,15.25,17200.0
1999-08-30,15.25,15.25,14.94,15.0,22100.0,0.0,1.0,15.25,15.25,14.94,15.0,22100.0
1999-08-31,14.75,14.75,12.38,12.62,742900.0,0.0,1.0,14.75,14.75,12.38,12.62,742900.0
1999-09-01,13.75,14.38,13.75,14.31,642400.0,0.0,1.0,13.75,14.38,13.75,14.31,642400.0
1999-09-02,14.31,14.75,14.19,14.5,156400.0,0.0,1.0,14.31,14.75,14.19,14.5,156400.0
1999-09-03,14.81,14.88,14.5,14.75,141600.0,0.0,1.0,14.81,14.88,14.5,14.75,141600.0
1999-09-07,14.88,15.81,14.88,15.81,154400.0,0.0,1.0,14.88,15.81,14.88,15.81,154400.0
1999-09-08,15.75,15.81,15.56,15.81,48000.0,0.0,1.0,15.75,15.81,15.56,15.81,48000.0
1999-09-09,15.94,16.5,15.94,16.5,49000.0,0.0,1.0,15.94,16.5,15.94,16.5,49000.0
1999-09-10,16.62,17.25,16.62,17.25,55200.0,0.0,1.0,16.62,17.25,16.62,17.25,55200.0
1999-09-13,17.19,17.44,16.88,16.88,27000.0,0.0,1.0,17.19,17.44,16.88,16.88,27000.0
1999-09-14,16.75,16.75,15.88,15.88,99400.0,0.0,1.0,16.75,16.75,15.88,15.88,99400.0
1999-09-15,16.0,16.56,15.88,16.56,48800.0,0.0,1.0,16.0,16.56,15.88,16.56,48800.0
1999-09-16,16.62,16.69,16.5,16.62,14000.0,0.0,1.0,16.62,16.69,16.5,16.62,14000.0
1999-09-17,16.62,16.75,16.5,16.75,21800.0,0.0,1.0,16.62,16.75,16.5,16.75,21800.0
1999-09-20,16.88,17.12,16.81,16.81,23900.0,0.0,1.0,16.88,17.12,16.81,16.81,23900.0
1999-09-21,16.88,16.94,16.75,16.94,20200.0,0.0,1.0,16.88,16.94,16.75,16.94,20200.0
1999-09-22,16.81,16.88,16.75,16.75,16300.0,0.0,1.0,16.81,16.88,16.75,16.75,16300.0
1999-09-23,16.69,16.69,15.75,15.81,113900.0,0.0,1.0,16.69,16.69,15.75,15.81,113900.0
1999-09-24,15.62,15.69,15.0,15.0,101900.0,0.0,1.0,15.62,15.69,15.0,15.0,101900.0
1999-09-27,15.0,15.06,14.56,14.56,69800.0,0.0,1.0,15.0,15.06,14.56,14.56,69800.0
